variant,representation,scope,lapse_global,decay,distance,selection_spread,edit_blend,age_actionable,margin,in_sample_selection_nll,in_sample_expected_selection_f1,in_sample_map_selection_f1,in_sample_exact_subset_accuracy,in_sample_cardinality_mae,in_sample_amount_mae,in_sample_direction_accuracy,in_sample_zero_amount_mae,cv_selection_nll,cv_expected_selection_f1,cv_map_selection_f1,cv_exact_subset_accuracy,cv_cardinality_mae,cv_amount_mae,cv_direction_accuracy,cv_zero_amount_mae,participant,xai,testing_cases,selected_by_cv
counterfactual_prototype,counterfactual,prototype,0.01,0.0,nan,0.025,0.5,0,0.0,2.0778018496597994,0.1626788258872872,0.05,0.05,0.0,0.09570762339111077,0.45,0.10458603533720498,2.0778018496597994,0.1626788258872872,0.05,0.05,0.0,0.09570762339111079,0.45,0.10458603533720501,R_5meYpVpIaQ4Mrnr,counterfactual,20,0
additive_exemplar,additive,exemplar,0.01,1.0,24.0,0.025,0.0,0,0.2,1.9927135393472313,0.1860305591885646,0.15,0.15,0.0,0.20044958305834282,0.85,0.3377218177735499,2.0810444845310303,0.16195919964133104,0.1,0.1,0.0,0.20045813448790364,0.85,0.33772181777355,R_60AvEj9fZiC8nae,attribution,20,0
additive_prototype,additive,prototype,0.01,4.0,nan,0.025,0.0,1,0.2,2.070474691915845,0.1669220185044921,0.15,0.15,0.0,0.14989053637334246,0.95,0.3377218177735499,2.070474691915845,0.16692201850449212,0.15,0.15,0.0,0.1498905363733425,0.95,0.33772181777355,R_60AvEj9fZiC8nae,attribution,20,0
base_exemplar,base,exemplar,0.01,0.0,0.0,0.05,0.0,1,0.1,1.3147309583602318,0.32340880693968477,0.55,0.55,0.0,0.11294696240798348,0.95,0.3377218177735499,1.380642286759018,0.3109102568735088,0.5,0.5,0.0,0.12373294456341977,0.95,0.33772181777355,R_60AvEj9fZiC8nae,attribution,20,0
base_prototype,base,prototype,0.01,0.0,nan,0.05,0.0,1,0.1,1.3147309583602318,0.32340880693968477,0.55,0.55,0.0,0.11294696240798348,0.95,0.3377218177735499,1.3261270217817567,0.31647507208520953,0.55,0.55,0.0,0.11294696240798352,0.95,0.33772181777355,R_60AvEj9fZiC8nae,attribution,20,1
additive_exemplar,additive,exemplar,0.01,0.0,0.0,0.025,0.0,0,0.05,1.510637557562088,0.2677057515880859,0.3,0.3,0.0,0.18282440205735978,0.65,0.2353075445634,1.6847620077736771,0.23549954087250216,0.3,0.3,0.0,0.1950306169379858,0.65,0.2353075445634,R_61LUcA8btLtAme9,counterfactual,20,0
additive_prototype,additive,prototype,0.01,0.0,nan,0.025,0.0,0,0.05,1.510637557562088,0.2677057515880859,0.3,0.3,0.0,0.18282440205735978,0.65,0.2353075445634,1.510637557562088,0.2677057515880859,0.3,0.3,0.0,0.19445126353528436,0.65,0.2353075445634,R_61LUcA8btLtAme9,counterfactual,20,0
base_exemplar,base,exemplar,0.01,0.0,0.0,0.025,0.0,0,0.0,1.3847003210370241,0.28684017398894923,0.4,0.4,0.0,0.14973988187477358,0.7,0.2353075445634,1.4000281681777278,0.29244146560194506,0.4,0.4,0.0,0.14973988187477358,0.7,0.2353075445634,R_61LUcA8btLtAme9,counterfactual,20,0
base_prototype,base,prototype,0.01,0.0,nan,0.025,0.0,0,0.0,1.3847003210370241,0.28684017398894923,0.4,0.4,0.0,0.14973988187477358,0.7,0.2353075445634,1.4000281681777278,0.29244146560194506,0.4,0.4,0.0,0.14973988187477358,0.7,0.2353075445634,R_61LUcA8btLtAme9,counterfactual,20,0
counterfactual_exemplar,counterfactual,exemplar,0.01,2.0,0.0,0.05,0.75,0,0.05,1.3220084908847751,0.30668402608763423,0.5,0.5,0.0,0.06383540199742165,0.95,0.2353075445634,1.3528713224087063,0.30674775086632083,0.5,0.5,0.0,0.06397215765170096,0.95,0.2353075445634,R_61LUcA8btLtAme9,counterfactual,20,0
counterfactual_prototype,counterfactual,prototype,0.01,2.0,nan,0.05,0.75,0,0.05,1.3220084908847751,0.30668402608763423,0.5,0.5,0.0,0.06383540199742165,0.95,0.2353075445634,1.3528713224087063,0.30674775086632083,0.5,0.5,0.0,0.06397215765170096,0.95,0.2353075445634,R_61LUcA8btLtAme9,counterfactual,20,1
base_exemplar,base,exemplar,0.01,0.0,0.0,0.05,0.0,0,0.0,1.277229317558891,0.3246549138300077,0.45,0.45,0.0,0.1104456956437502,0.8,0.22169618323725998,1.2891182473769363,0.3227859145895624,0.45,0.45,0.0,0.11318504954181022,0.8,0.22169618323726,R_68hRmSDsu9B7qfv,none,20,0
base_prototype,base,prototype,0.01,0.0,nan,0.05,0.0,0,0.0,1.277229317558891,0.3246549138300077,0.45,0.45,0.0,0.1104456956437502,0.8,0.22169618323725998,1.2772293175588907,0.3246549138300076,0.45,0.45,0.0,0.1104456956437502,0.8,0.22169618323726,R_68hRmSDsu9B7qfv,none,20,1
base_exemplar,base,exemplar,0.01,0.0,24.0,0.025,0.0,0,0.025,1.3428652501633793,0.3067058306808478,0.35,0.35,0.0,0.11252771942889592,0.85,0.19114953588164502,1.4660170082603348,0.2918667163346689,0.3,0.3,0.0,0.11671704594615798,0.85,0.191149535881645,R_6AFu63hQCRQWzlx,none,20,0
base_prototype,base,prototype,0.01,0.0,nan,0.025,0.0,0,0.0,1.3671189610263583,0.290880157777974,0.35,0.35,0.0,0.13022178636845247,0.9,0.19114953588164502,1.445854489333688,0.2871845026120212,0.3,0.3,0.0,0.1302217863684525,0.9,0.191149535881645,R_6AFu63hQCRQWzlx,none,20,1
additive_exemplar,additive,exemplar,0.01,1.0,24.0,0.025,0.0,0,0.2,2.0977490894489157,0.16079756073081872,0.1,0.1,0.0,0.15820856106578038,0.95,0.35141926444570004,2.2501823296770715,0.12351726917475996,0.05,0.05,0.0,0.15955162007662557,0.95,0.35141926444570004,R_6ikddGkEAp6v5rs,attribution,20,0
additive_prototype,additive,prototype,0.01,4.0,nan,0.025,0.0,1,0.2,2.1603695633756645,0.14195623775099458,0.1,0.1,0.0,0.14101678651836974,1.0,0.35141926444570004,2.1603695633756645,0.14195623775099464,0.1,0.1,0.0,0.1410167865183697,1.0,0.35141926444570004,R_6ikddGkEAp6v5rs,attribution,20,0
base_exemplar,base,exemplar,0.01,0.0,12.0,0.025,0.0,1,0.2,1.4230442721562842,0.27847863509623133,0.35,0.35,0.0,0.10386644615190302,1.0,0.35141926444570004,1.4445497902178475,0.280725975058039,0.35,0.35,0.0,0.10386644615190303,1.0,0.35141926444570004,R_6ikddGkEAp6v5rs,attribution,20,1
base_prototype,base,prototype,0.01,0.0,nan,0.025,0.0,1,0.1,1.4687860381743574,0.2620338794057955,0.35,0.35,0.0,0.11283655803893519,1.0,0.35141926444570004,1.4687860381743574,0.2620338794057955,0.35,0.35,0.0,0.12228584154553288,1.0,0.35141926444570004,R_6ikddGkEAp6v5rs,attribution,20,0
additive_exemplar,additive,exemplar,0.01,1.0,12.0,0.025,0.0,1,0.1,1.510068813279037,0.29350458635086335,0.4,0.4,0.0,0.18387417240572204,0.85,0.35035820149715,1.6031333927943432,0.27308980272852745,0.3,0.3,0.0,0.21087878462028273,0.85,0.35035820149714997,R_6odNeloeBdVKGdj,counterfactual,20,0
additive_prototype,additive,prototype,0.01,0.0,nan,0.025,0.0,1,0.1,1.5689271519093975,0.2716272456303882,0.4,0.4,0.0,0.17857331995417763,0.85,0.35035820149715,1.6717853323401433,0.25368307364408976,0.35,0.35,0.0,0.20498312607949484,0.85,0.35035820149714997,R_6odNeloeBdVKGdj,counterfactual,20,0
base_exemplar,base,exemplar,0.01,0.25,12.0,0.05,0.0,1,0.1,1.2286409137887924,0.35612154003464774,0.45,0.45,0.0,0.22475453350589855,0.85,0.35035820149715,1.4443160705521443,0.339594874865658,0.45,0.45,0.0,0.2413688208335115,0.85,0.35035820149714997,R_6odNeloeBdVKGdj,counterfactual,20,1
base_prototype,base,prototype,0.01,0.0,nan,0.05,0.0,1,0.05,1.2882089537522847,0.3242149945689631,0.45,0.45,0.0,0.22226574237520852,0.85,0.35035820149715,1.482369482138676,0.3146788258744341,0.45,0.45,0.0,0.23226574237520853,0.85,0.35035820149714997,R_6odNeloeBdVKGdj,counterfactual,20,0
counterfactual_exemplar,counterfactual,exemplar,0.01,0.0,24.0,0.025,0.0,0,0.025,1.5025118801077828,0.2750728420163325,0.55,0.55,0.0,0.24132772252687168,0.75,0.35035820149715,1.6422727216750865,0.23535021572553627,0.3,0.3,0.0,0.24060972911844453,0.8,0.35035820149714997,R_6odNeloeBdVKGdj,counterfactual,20,0
counterfactual_prototype,counterfactual,prototype,0.01,2.0,nan,0.025,0.25,0,0.05,1.5330953177600672,0.260441270156085,0.3,0.3,0.0,0.21583350227534956,0.8,0.35035820149715,1.5603913525413595,0.25191058369961333,0.25,0.25,0.0,0.2224551175067667,0.8,0.35035820149714997,R_6odNeloeBdVKGdj,counterfactual,20,0
additive_exemplar,additive,exemplar,0.01,1.0,24.0,0.025,0.0,0,0.3,1.4713910845833655,0.32583284605599044,0.4,0.4,0.0,0.2415936460575893,0.7,0.35306915898798996,1.4713910845833658,0.3258328460559904,0.4,0.4,0.0,0.25177596578622813,0.7,0.3530691589879901,R_6wXGfWyjo5t4lnH,attribution,20,0
additive_prototype,additive,prototype,0.01,0.0,nan,0.025,0.0,0,0.3,1.6920893780070236,0.27589854428374644,0.35,0.35,0.0,0.24870938588602506,0.75,0.35306915898798996,1.6920893780070236,0.2758985442837465,0.35,0.35,0.0,0.2680572119730077,0.75,0.3530691589879901,R_6wXGfWyjo5t4lnH,attribution,20,0
base_exemplar,base,exemplar,0.01,0.0,6.0,0.05,0.0,0,0.1,1.3110932909737452,0.342748236405846,0.45,0.45,0.0,0.23899385593541175,0.75,0.35306915898798996,1.5096573060876328,0.29284905210523615,0.4,0.4,0.0,0.2603816835263821,0.75,0.3530691589879901,R_6wXGfWyjo5t4lnH,attribution,20,0
