model family,instance id,original label,target label,feature_pair,nearest_training_source,distance_to_nearest_training,none_success,none_boundary_improvement,none_edit_l1,none_plausibility,none_target_confidence_gain,none_map_prob,attribution_success,attribution_boundary_improvement,attribution_edit_l1,attribution_plausibility,attribution_target_confidence_gain,attribution_map_prob,counterfactual_success,counterfactual_boundary_improvement,counterfactual_edit_l1,counterfactual_plausibility,counterfactual_target_confidence_gain,counterfactual_map_prob,cf_minus_none_boundary_improvement,cf_minus_attr_boundary_improvement,attr_minus_none_boundary_improvement,cf_minus_none_success,cf_minus_attr_success,cf_specific_score
feature contribution,160207,No Diabetes,Diabetes,Glucose|Insulin,train:171,0.0576,0.42857142857142855,0.08747836028645722,0.27380870028851895,0.9535495601616729,0.40127779351314463,0.3764359894698287,0.3968253968253968,0.0974009349855944,0.3479437974023743,0.9492632686502025,0.38784777878253923,0.47970543298196994,0.4444444444444444,0.11188530124092197,0.4127698086484725,0.9483123848499218,0.44757067357161145,0.45644950885221336,0.024406940954464745,0.014484366255327563,0.009922574699137182,0.015873015873015872,0.047619047619047616,0.04524051355899866
feature contribution,160212,Diabetes,No Diabetes,Blood Pressure|Insulin,train:146,0.1118,0.8571428571428571,-0.19425745547244377,0.42341815967984564,0.9328774806284666,0.8357406881726381,0.4528168817057289,0.7619047619047619,-0.16266575473744482,0.36959868447883537,0.942115574704182,0.7406918915386477,0.45401409712996976,0.6507936507936508,-0.14079266049328276,0.366582202221734,0.9438950754688431,0.6513225212601679,0.5040101959549405,0.05346479497916101,0.02187309424416206,0.03159170073499895,-0.20634920634920628,-0.11111111111111105,0.043591857477291336
feature contribution,160209,No Diabetes,Diabetes,Glucose|Insulin,train:171,0.0625,0.5238095238095238,0.07102937180094514,0.3197056619765468,0.9413141784491508,0.511637175863248,0.39425741786991364,0.38095238095238093,0.08870074628775786,0.3796156434343663,0.9400892177647449,0.3903839649776709,0.46447835176800534,0.49206349206349204,0.09757180039123961,0.4334962908462362,0.9409892953255962,0.48736110573771957,0.46158211705976504,0.026542428590294473,0.008871054103481754,0.01767137448681272,-0.0317460317460318,0.1111111111111111,0.04334999063028416
weighted examples,160204,Diabetes,No Diabetes,Glucose|Insulin,test:371,0.0706,0.19047619047619047,-0.05819990587394932,0.20368937687761438,0.9605668971356406,0.2218884311843503,0.5078396929275527,0.19047619047619047,-0.056257360746845314,0.20320927124086668,0.96066291826299,0.22775252798915355,0.49720837174962806,0.47619047619047616,-0.06679019539284753,0.26452597727919436,0.9602344531242429,0.4452132913331765,0.47536250122310053,-0.00859028951889821,-0.010532834646002215,0.0019425451271040048,0.2857142857142857,0.2857142857142857,0.038019732977956716
feature contribution,160201,Diabetes,No Diabetes,Blood Pressure|Insulin,train:25,0.0877,0.42857142857142855,0.11396759022639984,0.27839187069075666,0.9254120428153016,0.33414856441258706,0.4241199423376066,0.42857142857142855,0.10636359634064643,0.4084037431399614,0.9245834444818176,0.3982314202365474,0.4789597729855406,0.3968253968253968,0.13107676769088664,0.46381314085369413,0.9261539876013705,0.3793073524649731,0.46520587992909995,0.0171091774644868,0.024713171350240204,-0.0076039938857534045,-0.031746031746031744,-0.031746031746031744,0.03547314246552065
feature contribution,160219,No Diabetes,Diabetes,BMI|Age,train:18,0.1365,0.09523809523809523,-0.024422630061841744,0.6825042950335364,0.9457950097520631,0.13092068183311434,0.4732035900476871,0.1111111111111111,-0.015270611139918958,0.47987261471426895,0.9543511657985514,0.1438415823582973,0.48464230607210207,0.2698412698412698,-0.022752152267395118,0.5174316803814862,0.955207503909219,0.25645819020326527,0.5079767897076984,0.0016704777944466266,-0.007481541127476159,0.009152018921922786,0.1746031746031746,0.15873015873015872,0.0275222700003038
weighted examples,160217,No Diabetes,Diabetes,Glucose|Age,train:18,0.1436,0.7142857142857143,-0.0805578533509324,0.4656317136445015,0.95176894149963,0.5891106406813409,0.34390654719197694,0.47619047619047616,-0.07222972836778589,0.4508207455971486,0.9548618730634795,0.35617805402910374,0.3470417727308669,0.42328042328042326,-0.049499600693525506,0.40293181749617907,0.957293228192561,0.3277161179220647,0.5199316844393258,0.0310582526574069,0.022730127674260386,0.008328124983146515,-0.29100529100529104,-0.05291005291005291,0.01939684594013289
feature contribution,160200,Diabetes,No Diabetes,Glucose|Blood Pressure,test:371,0.0674,0.2857142857142857,0.0042799766500709385,0.17081626406849665,0.9346939367448753,0.30424421345515873,0.41091306196538546,0.30158730158730157,0.00417466688566891,0.1701562073321235,0.9348966508126346,0.30332795327445417,0.42024464349829804,0.3333333333333333,0.00931617586727765,0.1886009918516221,0.9361060329170199,0.3334199673134279,0.4334559937553568,0.005036199217206712,0.00514150898160874,-0.00010530976440202826,0.047619047619047616,0.031746031746031744,0.018114216135323387
feature contribution,160203,Diabetes,No Diabetes,Glucose|BMI,test:371,0.0762,0.5714285714285714,-0.06728738390785298,0.301154428162933,0.9479295483611297,0.5573959871598108,0.3954888430237083,0.4126984126984127,-0.04299161169049526,0.21472514418631902,0.9621866794828738,0.41227403196596907,0.45449545778180633,0.42857142857142855,-0.0412292730346101,0.21918460360700537,0.9611232751585111,0.43158879495797886,0.4751672248607087,0.026058110873242876,0.001762338655885154,0.024295772217357722,-0.14285714285714285,0.015873015873015872,0.015122036830715332
feature contribution,160208,No Diabetes,Diabetes,Glucose|BMI,train:201,0.0682,0.19047619047619047,0.02767967176888006,0.29909511130800015,0.9578434779216742,0.21249396844819174,0.4818643156021559,0.19047619047619047,0.03195532850250065,0.32322097126937266,0.9537450393452925,0.20588838364055245,0.4719190199655363,0.31746031746031744,0.023880809483651597,0.35269135742265795,0.9538289718569598,0.3406420240234628,0.5241291745209108,-0.0037988622852284624,-0.008074519018849053,0.0042756567336205906,0.12698412698412698,0.12698412698412698,0.013523444092747881
feature contribution,160214,Diabetes,No Diabetes,Insulin|BMI,train:220,0.1066,0.5714285714285714,-0.10225516045732329,0.22365953250956744,0.9672611498039059,0.5553621800766879,0.4945076358213412,0.47619047619047616,-0.08924385743436886,0.19149726406706566,0.972089282783203,0.4707748749061816,0.4978006466845487,0.47619047619047616,-0.08457590421813951,0.19198139339260115,0.9711741002047164,0.47039767545801947,0.51312869145341,0.017679256239183774,0.0046679532162293425,0.013011303022954432,-0.09523809523809523,0.0,0.012823399931603592
feature contribution,160202,Diabetes,No Diabetes,Glucose|Insulin,test:371,0.0725,0.42857142857142855,-0.06449940601475186,0.16054667499426828,0.9721907373864992,0.4152586341444827,0.39745865887173193,0.42857142857142855,-0.06292882367698659,0.16178931609960548,0.9720602213196969,0.4160984442536544,0.40511284263580855,0.42857142857142855,-0.0585808972160703,0.16507005542610131,0.9726984764149417,0.41575498666187694,0.47192326137402585,0.005918508798681561,0.004347926460916286,0.001570582337765275,0.0,0.0,0.010266435259597848
