variant,representation,scope,lapse_global,decay,distance,selection_spread,edit_blend,age_actionable,margin,in_sample_selection_nll,in_sample_expected_selection_f1,in_sample_map_selection_f1,in_sample_exact_subset_accuracy,in_sample_cardinality_mae,in_sample_amount_mae,in_sample_direction_accuracy,in_sample_zero_amount_mae,cv_selection_nll,cv_expected_selection_f1,cv_map_selection_f1,cv_exact_subset_accuracy,cv_cardinality_mae,cv_amount_mae,cv_direction_accuracy,cv_zero_amount_mae,participant,xai,testing_cases,selected_by_cv,locked_feature,fixed_cardinality
additive_prototype,additive,prototype,0.5,0.0,nan,0.25,0.0,1,0.0,1.3617893360405149,0.2647466144619063,0.35,0.35,0.0,0.3100697992951854,0.45,0.38542719733265,1.4411050420576796,0.2417024472540003,0.35,0.35,0.0,0.3500697992951854,0.45,0.38542719733264996,R_1OjmG5nvdTRtewc,attribution,20,0,glucose,1
base_exemplar,base,exemplar,0.5,1.0,12.0,8.0,0.0,1,0.0,1.14218629409945,0.3286693981830417,0.35,0.35,0.0,0.33891043550477307,0.55,0.38542719733265,1.14218629409945,0.3286693981830417,0.35,0.35,0.0,0.398910435504773,0.55,0.38542719733264996,R_1OjmG5nvdTRtewc,attribution,20,1,glucose,1
base_prototype,base,prototype,0.5,1.0,nan,8.0,0.0,1,0.025,1.1804925440943108,0.31371276140785076,0.3,0.3,0.0,0.3397918419325031,0.55,0.38542719733265,1.2188313085297513,0.3042547271419506,0.35,0.35,0.0,0.37344620851723287,0.55,0.38542719733264996,R_1OjmG5nvdTRtewc,attribution,20,0,glucose,1
additive_exemplar,additive,exemplar,0.5,4.0,0.0,0.025,0.0,1,0.0,1.400373216755153,0.2465200429212177,0.05,0.05,0.0,0.26395355064365167,0.35,0.2937317045132,1.4037014851236813,0.2456871390045213,0.0,0.0,0.0,0.23378828750216157,0.45,0.29373170451319996,R_1PwbPFGEhHmTJ93,attribution,20,0,glucose,1
additive_prototype,additive,prototype,0.5,4.0,nan,0.025,0.0,1,0.0,1.400373216755153,0.2465200429212177,0.05,0.05,0.0,0.26395355064365167,0.35,0.2937317045132,1.4028928889098013,0.24588461719147087,0.0,0.0,0.0,0.25959874495681057,0.35,0.29373170451319996,R_1PwbPFGEhHmTJ93,attribution,20,1,glucose,1
base_exemplar,base,exemplar,0.5,0.0,6.0,0.25,0.0,1,0.05,1.3650275488913104,0.2598260408660734,0.4,0.4,0.0,0.21627197742523122,0.7,0.2937317045132,1.526297045367294,0.22718898060153117,0.35,0.35,0.0,0.23840042971295947,0.6,0.29373170451319996,R_1PwbPFGEhHmTJ93,attribution,20,0,glucose,1
base_prototype,base,prototype,0.5,0.0,nan,0.25,0.0,1,0.025,1.3705075508465088,0.25803289718391514,0.35,0.35,0.0,0.22261612181364804,0.65,0.2937317045132,1.4690561269455342,0.23894416513903569,0.35,0.35,0.0,0.22796217212310516,0.65,0.29373170451319996,R_1PwbPFGEhHmTJ93,attribution,20,0,glucose,1
additive_exemplar,additive,exemplar,0.5,4.0,24.0,0.1,0.0,1,0.0,1.3829908874618237,0.2518387446298416,0.25,0.25,0.0,0.15216361230628164,0.75,0.27589411490278903,1.4044528012328943,0.2461156459481491,0.25,0.25,0.0,0.16308120004536225,0.75,0.275894114902789,R_1TwJkRL8eUlAzCN,counterfactual,20,0,glucose,1
additive_prototype,additive,prototype,0.5,4.0,nan,0.025,0.0,1,0.0,1.3875087949862313,0.24974562817016124,0.2,0.2,0.0,0.12314362471968118,0.8,0.27589411490278903,1.397236835070267,0.2474273891337539,0.2,0.2,0.0,0.14410954436731557,0.75,0.275894114902789,R_1TwJkRL8eUlAzCN,counterfactual,20,0,glucose,1
base_exemplar,base,exemplar,0.5,0.0,0.0,8.0,0.0,1,0.05,1.3371244605431034,0.2718334038308313,0.3,0.3,0.0,0.21858468605672673,0.7,0.27589411490278903,1.3371244605431034,0.2718334038308313,0.3,0.3,0.0,0.2306154746017602,0.7,0.275894114902789,R_1TwJkRL8eUlAzCN,counterfactual,20,0,glucose,1
