participant,xai,mean_boundary_distance,median_boundary_distance,success_rate,mean_proximity,direction_rate,feature_change_prevalence_1,feature_change_prevalence_2,feature_change_prevalence_3,feature_change_prevalence_4,feature_change_prevalence_5,mean_signed_change_x1,mean_signed_change_x2,mean_signed_change_x3,mean_signed_change_x4,mean_signed_change_x5,PC1,PC2,PC3,kmeans_k2,kmeans_k3,kmeans_k4,kmeans_k5,kmeans_k6,kmeans_k7,kmeans_k8,agglomerative_k2
R_3CPW0AmZIfESbrT,counterfactual,0.09407859665905749,0.07010694081935,0.4,0.5152088544351999,0.65,0.05,0.65,0.5,0.7,0.0,0.011902737629649999,-0.0380434782609,0.21477769529000001,0.05198819893235499,0.0,1.9434387224926715,2.9901215285168186,1.6937130068284056,1,1,3,1,1,4,5,1
R_3ENoszlL5q7JglI,none,0.171135646306865,0.1594359987135,0.95,0.8978499994710999,1.0,0.95,0.2,0.9,0.7,0.0,0.097772487672275,-0.003260869565185,0.207972449063735,-0.10690207923571,0.0,6.128161127887848,2.583133985495898,-2.142897945906725,1,1,3,1,2,4,2,1
R_3FXVdEYgbSYjhFQ,counterfactual,0.1834396725513,0.17520744375699998,0.75,0.7872591837962999,0.9,0.75,0.8,0.35,0.65,0.05,0.007651759904849995,-0.06739130434780001,0.004227501443529996,0.07937636976681499,-0.0162162162162,5.660948063459918,0.8073970985653917,-1.4553131090672289,1,1,3,1,1,4,5,1
R_3Fo0QmOVx6lcU4W,counterfactual,0.11611202759073128,0.095540307408,0.1,0.17676166366351004,0.55,0.1,0.25,0.55,0.1,0.0,-0.008927053222234999,-0.07391304347824999,0.035263548626575,-0.025590615341400003,0.0,-4.78246204020841,-0.962847425164255,2.0675988020048113,1,3,2,2,6,2,4,1
R_3OpQ58fnUhzHRsd,none,0.150716795927065,0.08804998509475001,0.3,0.5455019970598102,0.6,0.3,0.35,0.7,0.25,0.0,0.08714504335995,-0.034782608695615,0.31056669141305,-0.028081624051700005,0.0,-1.1468461070036866,4.44051532460719,4.767296332582676,1,1,2,2,6,2,3,1
R_3P1hvuTtye32D8u,attribution,0.133311648224815,0.1033882292219,0.55,0.47758983160115004,0.7,0.6,0.7,0.1,0.3,0.15,-0.15686107804796498,-0.2010869565217,-0.008661222469695,-0.0731427367238,-0.0378378378378,-3.1519605270266022,-5.218059481347487,-0.44548954389800854,1,3,1,5,5,1,1,1
R_3P5ccqI6lMcShWV,attribution,0.1428459461758333,0.14589354940299998,0.9,0.70698244924115,1.0,0.7,0.75,0.4,0.55,0.0,0.047610950518599995,-0.06195652173918,0.019487750556835,0.04909848271995,0.0,4.182120034127992,1.528775982280991,-3.2959746240296224,1,1,3,1,1,4,2,1
R_3Qv0QTQ49yAIRot,attribution,0.11742589628418651,0.0775407908473,0.55,0.2908554693741,0.8,0.05,0.75,0.2,0.0,0.0,-0.0106274443122,-0.026086956521750006,0.07805411201845,0.0,0.0,0.20632318827872678,0.4958218941938975,2.1352211853014467,1,1,2,2,1,2,5,1
R_3pZ1OVs4kWTC7GB,none,0.12354808259950949,0.1432198859755,0.35,0.38581151771598,0.85,0.65,0.35,0.35,0.05,0.0,0.22615201496345,-0.030434782608780003,0.032376474469955,0.006500000000000001,0.0,-1.9170838370495131,2.4050872599053057,3.42331509687163,1,1,2,2,6,2,4,1
R_5ASRudX4WuOaMDD,counterfactual,0.134351490348595,0.1173808502155,0.5,0.5197301827753501,0.9,0.5,0.35,0.5,0.7,0.0,-0.11732698520659998,-0.002173913043495,-0.0013404272869849993,-0.07126819331265,0.0,1.5533448453039032,-1.9519197290169372,-1.7861954536942346,1,1,3,1,1,4,2,1
R_5CNiW73tAkn7Lk5,none,0.09718563624953401,0.081131529548,0.65,0.54363926934395,1.0,0.45,0.05,0.7,0.7,0.0,0.0038258799524000047,-0.01304347826085,0.12208199290607999,-0.008202023040124998,0.0,2.67155678900788,1.7327935050862806,-1.1967763650341985,1,1,3,1,2,4,2,1
R_5F38AMuOCY994Y9,none,0.1471716526973275,0.108680708381,0.5,0.45374526013729993,0.7,0.4,0.85,0.0,0.75,0.0,-0.083319163407615,-0.20108695652185,0.0,-0.16933914020787,0.0,-2.4792732469898597,-5.702413640072757,-0.8432953138758927,1,3,1,5,5,1,1,1
R_5F38MGbZJklp6TP,attribution,0.10993345115144151,0.07374200469100001,0.35,0.221136545406425,0.8,0.3,0.7,0.1,0.4,0.0,-0.05398741710599,-0.10217391304345999,0.015054029530650001,-0.049921185726304995,0.0,-1.751876472688917,-2.118869590974857,0.6472151607624067,1,3,2,2,6,2,4,1
R_5FwCR03V97gle4L,attribution,0.1043004130152285,0.0750799962295,0.55,0.50071722419605,0.95,0.85,0.45,0.1,0.6,0.0,0.046760754973599994,-0.09565217391304501,0.0032995133217870003,0.09148847991017499,0.0,2.427350718375817,1.2250956686553662,-2.4922114164862417,1,1,3,1,1,4,2,1
R_5L0xQQar3o8Bvr3,counterfactual,0.13056298822454998,0.110442407731,0.35,0.28131281515434,0.55,0.05,0.2,0.85,0.25,0.1,0.00382587995239,0.033695652173849996,0.17250268085465,0.0591264400113,0.01216216216215,-2.5128051885975338,3.8993753023788034,3.1279147924971604,1,1,2,2,6,2,3,1
R_5cuU4NG0z68t0DW,counterfactual,0.10221548471967398,0.06391006050940001,0.7,0.5100932442371,0.8,0.65,0.55,0.25,0.8,0.0,0.06036388369326499,-0.006521739130455001,0.010104759547969999,0.09997330710878498,0.0,1.7866644413593251,2.860194661567745,-0.9742354595324678,1,1,3,1,1,4,2,1
R_5faag2PFpaGyI6V,counterfactual,0.08535400085186,0.04413103499775,0.4,0.6542550072483,0.85,0.95,0.85,0.8,0.7,0.15,0.15048461146061998,-0.004347826086969999,0.03536665841784,0.09476159033441,-0.01756756756755,0.9363922517664641,3.6895882177782378,-0.6464183644555407,1,1,3,1,1,4,2,1
