model family,model family label,xai,xai label,parameter,parameter label,parameter value,metric,metric label,factorial case-evaluations,mean,10th percentile,90th percentile
feature contribution,Feature-contribution family,attribution,Feature attribution,rho,Signed change margin (ρ),0.2,boundary improvement,Boundary-distance improvement,360,-0.03699827082382965,-0.23478518281677255,0.14557818934097527
feature contribution,Feature-contribution family,attribution,Feature attribution,rho,Signed change margin (ρ),0.2,edit L1,Normalized edit distance (L1),360,0.6649324659066747,0.4134048026780683,0.972154572032091
feature contribution,Feature-contribution family,attribution,Feature attribution,rho,Signed change margin (ρ),0.2,plausibility,Plausibility,360,0.9220019767471339,0.8790909573264966,0.9540848155874939
feature contribution,Feature-contribution family,attribution,Feature attribution,rho,Signed change margin (ρ),0.2,success,Counterfactual success rate,360,0.6361111111111111,0.0,1.0
feature contribution,Feature-contribution family,attribution,Feature attribution,rho,Signed change margin (ρ),0.2,target confidence gain,Target-confidence gain,360,0.5954768358092206,-1.880622657870479e-05,0.9979351787744529
feature contribution,Feature-contribution family,attribution,Feature attribution,rho,Signed change margin (ρ),0.3,actionability,Actionability rate,360,0.7777777777777778,0.0,1.0
feature contribution,Feature-contribution family,attribution,Feature attribution,rho,Signed change margin (ρ),0.3,boundary improvement,Boundary-distance improvement,360,-0.07512931999125606,-0.2873519701454965,0.11834135196761046
feature contribution,Feature-contribution family,attribution,Feature attribution,rho,Signed change margin (ρ),0.3,edit L1,Normalized edit distance (L1),360,0.8300529410118789,0.5189080830547977,1.1543630488992513
feature contribution,Feature-contribution family,attribution,Feature attribution,rho,Signed change margin (ρ),0.3,plausibility,Plausibility,360,0.9079254742107932,0.858778824837782,0.9533087721730912
feature contribution,Feature-contribution family,attribution,Feature attribution,rho,Signed change margin (ρ),0.3,success,Counterfactual success rate,360,0.6166666666666667,0.0,1.0
feature contribution,Feature-contribution family,attribution,Feature attribution,rho,Signed change margin (ρ),0.3,target confidence gain,Target-confidence gain,360,0.5889927674923974,-0.012799558189128877,0.9979351825905393
feature contribution,Feature-contribution family,counterfactual,Counterfactual example,age actionable,Age actionable,0.0,actionability,Actionability rate,1260,1.0,1.0,1.0
feature contribution,Feature-contribution family,counterfactual,Counterfactual example,age actionable,Age actionable,0.0,boundary improvement,Boundary-distance improvement,1260,-0.004198180014196816,-0.18458083236230344,0.16081483392384577
feature contribution,Feature-contribution family,counterfactual,Counterfactual example,age actionable,Age actionable,0.0,edit L1,Normalized edit distance (L1),1260,0.3872943737009372,0.0,0.9092273857508093
feature contribution,Feature-contribution family,counterfactual,Counterfactual example,age actionable,Age actionable,0.0,plausibility,Plausibility,1260,0.9473374291162048,0.9023276421175661,1.0
feature contribution,Feature-contribution family,counterfactual,Counterfactual example,age actionable,Age actionable,0.0,success,Counterfactual success rate,1260,0.3896825396825397,0.0,1.0
feature contribution,Feature-contribution family,counterfactual,Counterfactual example,age actionable,Age actionable,0.0,target confidence gain,Target-confidence gain,1260,0.3785532867545784,-1.261515336636876e-10,0.9878126279708948
feature contribution,Feature-contribution family,counterfactual,Counterfactual example,age actionable,Age actionable,1.0,actionability,Actionability rate,1260,0.6738095238095239,0.0,1.0
feature contribution,Feature-contribution family,counterfactual,Counterfactual example,age actionable,Age actionable,1.0,boundary improvement,Boundary-distance improvement,1260,0.020127750789493002,-0.09628504815462495,0.17026937338339518
feature contribution,Feature-contribution family,counterfactual,Counterfactual example,age actionable,Age actionable,1.0,edit L1,Normalized edit distance (L1),1260,0.3797314299745315,0.0,0.905226730074228
feature contribution,Feature-contribution family,counterfactual,Counterfactual example,age actionable,Age actionable,1.0,plausibility,Plausibility,1260,0.9495368407313365,0.9062008751024777,1.0
feature contribution,Feature-contribution family,counterfactual,Counterfactual example,age actionable,Age actionable,1.0,success,Counterfactual success rate,1260,0.3738095238095238,0.0,1.0
feature contribution,Feature-contribution family,counterfactual,Counterfactual example,age actionable,Age actionable,1.0,target confidence gain,Target-confidence gain,1260,0.3599087126371556,0.0,0.9819264187972632
feature contribution,Feature-contribution family,counterfactual,Counterfactual example,alpha,Global relevance reliance (α),0.0,actionability,Actionability rate,840,0.8,0.0,1.0
feature contribution,Feature-contribution family,counterfactual,Counterfactual example,alpha,Global relevance reliance (α),0.0,boundary improvement,Boundary-distance improvement,840,0.02464355647334411,-0.1091612132664313,0.1987130157947171
feature contribution,Feature-contribution family,counterfactual,Counterfactual example,alpha,Global relevance reliance (α),0.0,edit L1,Normalized edit distance (L1),840,0.4175964982270983,0.0,0.9756934351508244
feature contribution,Feature-contribution family,counterfactual,Counterfactual example,alpha,Global relevance reliance (α),0.0,plausibility,Plausibility,840,0.9530636063543583,0.9149959414348916,1.0
feature contribution,Feature-contribution family,counterfactual,Counterfactual example,alpha,Global relevance reliance (α),0.0,success,Counterfactual success rate,840,0.3904761904761905,0.0,1.0
feature contribution,Feature-contribution family,counterfactual,Counterfactual example,alpha,Global relevance reliance (α),0.0,target confidence gain,Target-confidence gain,840,0.377032030921903,0.0,0.9844640865310629
feature contribution,Feature-contribution family,counterfactual,Counterfactual example,alpha,Global relevance reliance (α),0.5,actionability,Actionability rate,840,0.8273809523809523,0.0,1.0
feature contribution,Feature-contribution family,counterfactual,Counterfactual example,alpha,Global relevance reliance (α),0.5,boundary improvement,Boundary-distance improvement,840,0.014148169909150392,-0.11811045088106613,0.1758786441150405
feature contribution,Feature-contribution family,counterfactual,Counterfactual example,alpha,Global relevance reliance (α),0.5,edit L1,Normalized edit distance (L1),840,0.38666255413466477,0.0,0.92975037806726
feature contribution,Feature-contribution family,counterfactual,Counterfactual example,alpha,Global relevance reliance (α),0.5,plausibility,Plausibility,840,0.9519056851903058,0.9101053079826684,1.0
feature contribution,Feature-contribution family,counterfactual,Counterfactual example,alpha,Global relevance reliance (α),0.5,success,Counterfactual success rate,840,0.38333333333333336,0.0,1.0
feature contribution,Feature-contribution family,counterfactual,Counterfactual example,alpha,Global relevance reliance (α),0.5,target confidence gain,Target-confidence gain,840,0.37272745195721635,0.0,0.9854776316137485
feature contribution,Feature-contribution family,counterfactual,Counterfactual example,alpha,Global relevance reliance (α),1.0,actionability,Actionability rate,840,0.8833333333333333,0.0,1.0
feature contribution,Feature-contribution family,counterfactual,Counterfactual example,alpha,Global relevance reliance (α),1.0,boundary improvement,Boundary-distance improvement,840,-0.014897370219550218,-0.16547331787006914,0.10952310353095687
feature contribution,Feature-contribution family,counterfactual,Counterfactual example,alpha,Global relevance reliance (α),1.0,edit L1,Normalized edit distance (L1),840,0.3462796531514401,0.0,0.8390130688293608
feature contribution,Feature-contribution family,counterfactual,Counterfactual example,alpha,Global relevance reliance (α),1.0,plausibility,Plausibility,840,0.940342113226648,0.8763544665216857,1.0
feature contribution,Feature-contribution family,counterfactual,Counterfactual example,alpha,Global relevance reliance (α),1.0,success,Counterfactual success rate,840,0.37142857142857144,0.0,1.0
feature contribution,Feature-contribution family,counterfactual,Counterfactual example,alpha,Global relevance reliance (α),1.0,target confidence gain,Target-confidence gain,840,0.3579335162084817,-1.880622656587061e-05,0.9894924770486746
feature contribution,Feature-contribution family,counterfactual,Counterfactual example,eta,Explanation reliance (η),0.0,actionability,Actionability rate,840,0.6726190476190477,0.0,1.0
feature contribution,Feature-contribution family,counterfactual,Counterfactual example,eta,Explanation reliance (η),0.0,boundary improvement,Boundary-distance improvement,840,-0.0043301113503200215,-0.15552572482426089,0.10936581321796603
