participant,domain,xai,testing cases,model family,k,locked feature,eta,alpha,rho,lambda,beta,age actionable,immutable index,in-sample loss,in-sample selection_f1,in-sample amount_mae,in-sample direction_accuracy,in-sample selection_nll,5-fold CV loss,5-fold CV selection_f1,5-fold CV amount_mae,5-fold CV direction_accuracy,5-fold CV selection_nll,selected family by CV
R_60AvEj9fZiC8nae,diabetes,attribution,20,feature contribution,observed per instance,glucose,0.5,0.5,0.15,nan,nan,1,0,0.25858386156767477,0.5746143477462491,0.09178207088159866,1.0,0.702015575479041,0.30093403310395683,0.5091800736309631,0.1110481398388768,1.0,0.8306116034711988,1
R_60AvEj9fZiC8nae,diabetes,attribution,20,weighted examples,observed per instance,glucose,1.0,nan,0.05,2.0,0.0,1,0,0.3390238853622872,0.41447576523407087,0.0925235359586452,0.95,1.1389588102640344,0.35054802139708957,0.40428356724957215,0.10537961004375121,0.9,1.2377263476222506,0
R_61LUcA8btLtAme9,diabetes,counterfactual,20,feature contribution,observed per instance,glucose,0.0,0.5,0.15,nan,nan,1,0,0.35681713238071655,0.4256473090297276,0.1392815737911607,0.95,1.0731418614147756,0.4060690024572148,0.3421862538128197,0.15432425872724945,0.95,1.2336279649527389,0
R_61LUcA8btLtAme9,diabetes,counterfactual,20,weighted examples,observed per instance,glucose,0.0,nan,0.1,0.0,1.0,1,0,0.3803134389652826,0.32147834008597626,0.08210521801654133,0.95,1.135485095579495,0.3866984043382482,0.3118039019898306,0.08520071066632706,0.95,1.169447322409162,1
R_68hRmSDsu9B7qfv,diabetes,none,20,feature contribution,observed per instance,glucose,0.0,1.0,0.0,nan,nan,1,0,0.44483792032913894,0.31196482901868045,0.20164066967695832,0.65,1.0768658374051145,0.44483792032913894,0.3119648290186805,0.2016406696769583,0.65,1.0768658374051145,1
R_68hRmSDsu9B7qfv,diabetes,none,20,weighted examples,observed per instance,glucose,0.0,nan,0.0,0.0,0.0,1,0,0.429655254370504,0.25295487104593506,0.11226537978694309,0.8,1.8354596093440054,0.429655254370504,0.252954871045935,0.11226537978694309,0.8,1.8354596093440059,0
R_6AFu63hQCRQWzlx,diabetes,none,20,feature contribution,observed per instance,glucose,0.0,0.5,0.1,nan,nan,1,0,0.3624124472465509,0.45151932021227703,0.17634421470537875,1.0,1.0123922010507393,0.39203304204628403,0.39709904573061217,0.18116512982318037,1.0,1.2230228645952124,1
R_6AFu63hQCRQWzlx,diabetes,none,20,weighted examples,observed per instance,glucose,0.0,nan,0.0,6.0,0.0,1,0,0.4164653482002185,0.27663396406903396,0.10956466046947103,0.9,1.7305228905018637,0.4191444774314004,0.2721141205945656,0.1104030754573662,0.9,1.7577484746856964,0
R_6ikddGkEAp6v5rs,diabetes,attribution,20,feature contribution,observed per instance,glucose,1.0,0.5,0.2,nan,nan,1,0,0.2607872288040465,0.6329041257390543,0.1544785833471472,0.9,0.5529975102913579,0.2732872288040465,0.6329041257390542,0.1794785833471472,0.9,0.552997510291358,1
R_6ikddGkEAp6v5rs,diabetes,attribution,20,weighted examples,observed per instance,glucose,0.5,nan,0.1,6.0,0.0,1,0,0.3307176865483516,0.38910979483397623,0.050545167930679404,1.0,1.142539641766876,0.34067157784095864,0.37451032369409043,0.05585347937600763,1.0,1.1914585699456448,0
R_6odNeloeBdVKGdj,diabetes,counterfactual,20,feature contribution,observed per instance,glucose,0.0,0.5,0.0,nan,nan,1,0,0.4500020103438199,0.4064026729236442,0.3064066936112842,0.6,1.180102737199586,0.47681330869327354,0.35382812921917883,0.307454746605726,0.6,1.4142645588180516,1
R_6odNeloeBdVKGdj,diabetes,counterfactual,20,weighted examples,observed per instance,glucose,1.0,nan,0.1,2.0,1.0,1,0,0.5277634264255464,0.26523799146078286,0.3207648443118755,0.5,1.3467305637314282,0.5384624739238968,0.223986093249339,0.3009110410971324,0.7,1.831170485211161,0
R_6wXGfWyjo5t4lnH,diabetes,attribution,20,feature contribution,observed per instance,glucose,0.0,0.5,0.05,nan,nan,1,0,0.46423484315789265,0.380354932376091,0.3088246186918765,0.6,1.225103729015089,0.5052133137214725,0.3118538651169972,0.3222804925599421,0.6,1.391686949192678,1
R_6wXGfWyjo5t4lnH,diabetes,attribution,20,weighted examples,observed per instance,glucose,1.0,nan,0.15,6.0,0.0,1,0,0.4450014728283936,0.3503903336572156,0.2403932793140028,0.75,1.5157240941758434,0.4610990920767257,0.3503903336572156,0.272588517810667,0.75,1.5157240941758434,0
R_71RY4LPSIYx8Hst,diabetes,none,20,feature contribution,observed per instance,glucose,0.0,1.0,0.0,nan,nan,1,0,0.4538334981214295,0.2974500610574247,0.20511705730028362,0.75,1.3041662438248838,0.4563334981214294,0.2974500610574248,0.2101170573002836,0.75,1.3041662438248836,1
R_71RY4LPSIYx8Hst,diabetes,none,20,weighted examples,observed per instance,glucose,0.0,nan,0.0,6.0,0.0,1,0,0.4820661223252909,0.2119742859773755,0.17610653062795723,0.55,2.0938148472931086,0.4820661223252909,0.21197428597737544,0.17610653062795723,0.55,2.093814847293109,0
R_7HbIET5CgcoCLFJ,diabetes,attribution,20,feature contribution,observed per instance,glucose,1.0,0.5,0.3,nan,nan,1,0,0.31625305751756166,0.5502137649387013,0.1827198799738246,0.85,0.8870380551716567,0.3837566398368065,0.4269841365421578,0.19449741621577088,0.8,1.15704752036897,1
R_7HbIET5CgcoCLFJ,diabetes,attribution,20,weighted examples,observed per instance,glucose,0.5,nan,0.05,6.0,0.0,1,0,0.368120251267996,0.4266707621327937,0.16291126466878578,0.8,1.1400713729462644,0.38116862046341404,0.4040739128454076,0.16641115377223575,0.8,1.2288815849828816,0
R_7KJVcP40lic0MLg,diabetes,counterfactual,20,feature contribution,observed per instance,glucose,1.0,1.0,0.1,nan,nan,1,0,0.42728576500547166,0.3258243678925973,0.1803958979035406,0.95,1.121673482683592,0.43215068031917026,0.32143942176499807,0.18574078240333874,0.95,1.140097652411022,0
R_7KJVcP40lic0MLg,diabetes,counterfactual,20,weighted examples,observed per instance,glucose,0.0,nan,0.2,0.0,1.0,1,0,0.39892864793207405,0.32740757877163423,0.1252648746357826,0.95,1.1170574550879933,0.40028942343081236,0.3274075787716343,0.12798642563325907,0.95,1.117057455087993,1
R_7OLfrecF1gIsoj7,diabetes,counterfactual,20,feature contribution,observed per instance,glucose,0.5,0.5,0.0,nan,nan,1,0,0.38162620533508324,0.4105420574754216,0.17379446814558822,0.9,1.0640968849360508,0.42142980206209096,0.35706013233511086,0.19991973645929279,0.9,1.1657292281216982,0
R_7OLfrecF1gIsoj7,diabetes,counterfactual,20,weighted examples,observed per instance,glucose,0.0,nan,0.05,0.0,1.0,1,0,0.39005043719020943,0.32860334413278436,0.10870421851320337,0.9,1.1132691836082436,0.39255043719020943,0.32860334413278447,0.11370421851320334,0.9,1.1132691836082431,1
R_7Qh7ofV2bDyshsg,diabetes,attribution,20,feature contribution,observed per instance,glucose,0.0,1.0,0.0,nan,nan,1,0,0.5456934599811744,0.3061434613574888,0.39753038131983764,0.0,1.0923880120959253,0.5456934599811742,0.30614346135748893,0.39753038131983764,0.0,1.0923880120959253,1
R_7Qh7ofV2bDyshsg,diabetes,attribution,20,weighted examples,observed per instance,glucose,1.0,nan,0.0,6.0,0.0,1,0,0.5037423129681141,0.26446068057521954,0.27194530651144777,0.45,1.8081814490189843,0.5037423129681141,0.2644606805752196,0.2719453065114478,0.45,1.8081814490189843,0
R_7Yxs9v5sGmNaIqa,diabetes,attribution,20,feature contribution,observed per instance,glucose,0.0,1.0,0.0,nan,nan,1,0,0.5777386931086579,0.24709610106354116,0.40257348728085696,0.45,1.4140529983124874,0.5778424504784709,0.2549217979348827,0.41060669889182444,0.45,1.5888030310772188,0
R_7Yxs9v5sGmNaIqa,diabetes,attribution,20,weighted examples,observed per instance,glucose,1.0,nan,0.3,6.0,0.0,1,0,0.5043471429054149,0.3308988453652156,0.3395931311760457,0.7,1.5062788561725025,0.5345502487995506,0.33089884536521563,0.39999934296431666,0.7,1.5062788561725025,1
R_7dLf87GYWh7ib3L,diabetes,none,20,feature contribution,observed per instance,glucose,0.0,1.0,0.3,nan,nan,1,0,0.42060458039149573,0.3109165188253036,0.15212567960829487,1.0,1.2112976766547194,0.4116842692631333,0.3285293382763964,0.1518978768026631,1.0,1.3528167475289885,1
R_7dLf87GYWh7ib3L,diabetes,none,20,weighted examples,observed per instance,glucose,0.0,nan,0.3,0.0,0.0,1,0,0.5159799719727622,0.27218058598340855,0.30414052992893315,0.75,1.850872587998655,0.5269060221559726,0.26706550617366503,0.3208775504856102,0.75,1.8886704447273104,0
R_7g5abNEr7vFVyvi,diabetes,attribution,20,feature contribution,observed per instance,glucose,0.0,1.0,0.0,nan,nan,1,0,0.5668104133067079,0.25334570587710475,0.38696653249052027,0.05,1.4088155564186522,0.5689121472256414,0.2412282338936135,0.37905252834489644,0.05,1.5520962416916564,1
R_7g5abNEr7vFVyvi,diabetes,attribution,20,weighted examples,observed per instance,glucose,1.0,nan,0.0,2.0,0.0,1,0,0.5534539808540769,0.17883795903237037,0.28574592074052396,0.25,2.142453777599888,0.5521795090485815,0.16537477496950076,0.26973379306666373,0.3,2.2309662135457353,0
R_7hgRhwQwSRyqBIR,diabetes,none,20,feature contribution,observed per instance,glucose,0.0,0.5,0.0,nan,nan,1,0,0.4504244981970105,0.3565397252557033,0.25738872164972426,0.5,1.3260536685726554,0.4504244981970105,0.3565397252557033,0.25738872164972426,0.5,1.3260536685726554,1
R_7hgRhwQwSRyqBIR,diabetes,none,20,weighted examples,observed per instance,glucose,0.0,nan,0.05,0.0,0.0,1,0,0.4647367166429178,0.2597033981575406,0.1891768314433761,0.65,1.8138415263302528,0.4697141941203736,0.2597033981575406,0.19913178639828782,0.65,1.8138415263302528,0
R_7hmrIdn7RLRi2Rz,diabetes,none,20,feature contribution,observed per instance,glucose,0.0,0.5,0.25,nan,nan,1,0,0.369110484640664,0.41006986690554914,0.14829083618687694,1.0,1.1098575040302314,0.4040145600800885,0.3669685827312183,0.17499770289139546,1.0,1.292684493763967,1
R_7hmrIdn7RLRi2Rz,diabetes,none,20,weighted examples,observed per instance,glucose,0.0,nan,0.25,0.0,0.0,1,0,0.46300004215707896,0.26210116528114047,0.18810124959529861,0.85,1.732474790481767,0.4797117538687692,0.2621011652811405,0.22152467301867884,0.85,1.732474790481767,0
R_7kuDqbBN7bMoK74,diabetes,attribution,20,feature contribution,observed per instance,glucose,0.0,0.0,0.1,nan,nan,1,0,0.4255640035081032,0.33752855346786165,0.188656560484068,0.9,1.386397579650311,0.46039340227409,0.2906983872642009,0.21148519181238065,0.7,1.6799106234775025,0
R_7kuDqbBN7bMoK74,diabetes,attribution,20,weighted examples,observed per instance,glucose,0.0,nan,0.0,6.0,0.0,1,0,0.4225308324295952,0.3468786119456114,0.19194027680480188,0.7,1.4130551160486418,0.4381283695043371,0.33549354586500424,0.2117502848736784,0.7,1.4666738248857532,1
R_7syu0dQm97V3Ah8,diabetes,none,20,feature contribution,observed per instance,glucose,0.0,1.0,0.0,nan,nan,1,0,0.40585116430215173,0.3561048101657657,0.16780713877006914,0.7,1.053083904493356,0.40585116430215173,0.3561048101657657,0.16780713877006914,0.7,1.053083904493356,1
R_7syu0dQm97V3Ah8,diabetes,none,20,weighted examples,observed per instance,glucose,0.0,nan,0.05,6.0,0.0,1,0,0.4312028373981412,0.21964460838135808,0.08205028317764043,0.85,2.036892578547029,0.43735318918302984,0.21964460838135808,0.09435098674741779,0.85,2.036892578547029,0
