participant,xai,case,instance id,selected model family,possible subsets,mean selection F1,mean amount MAE,mean direction accuracy,observed success,simulated success,observed target confidence gain,simulated target confidence gain,observed boundary improvement,simulated boundary improvement,observed plausibility,simulated plausibility,observed actionability,simulated actionability,observed edit L1,simulated edit L1
R_5gkJQXcSCkjRBmu,none,5,160210,weighted examples,6,0.6705562935953426,0.1838160976325184,1.0,1.0,0.9015385294977803,0.988590824858,0.92510409157354,0.0174688291137,-0.10041996081714091,0.956107100049,0.9324857776357627,1.0,1.0,0.586733318412,0.7919465790385434
R_5gkJQXcSCkjRBmu,none,6,160214,weighted examples,4,0.047878592211712714,0.2814988059439785,1.0,1.0,0.29147395524837844,0.995959993101,0.5123038476265193,-0.134298944215,0.00024129713025115396,0.945267771846,0.9531672290370201,1.0,1.0,0.27366114077,0.2997176167081967
R_5gkJQXcSCkjRBmu,none,7,160213,weighted examples,6,0.7210779966063445,0.1737166482582689,1.0,1.0,0.7482186380325055,0.986751290005,0.759288622822254,-0.0430617683703,-0.07153516843857183,0.937612440779,0.9172067909273993,1.0,0.9999999999999999,0.997397290396,0.7584526977764265
R_5gkJQXcSCkjRBmu,none,8,160202,weighted examples,6,0.4870561240615055,0.2070208164985065,1.0,1.0,0.332545032934312,0.975108056812,0.5060081949567394,-0.119406520069,-0.01843869797409891,0.917324907697,0.9359983205411823,1.0,1.0,0.641894767705,0.34744626420416136
R_5gkJQXcSCkjRBmu,none,9,160211,weighted examples,4,0.8231282161660582,0.1745551646623389,1.0,1.0,1.0,0.981716597728,0.9554055874188494,-0.0532295462903,-0.05260655382509527,0.94905433089,0.9147375111659078,1.0,1.0,1.3776658614530002,0.9392918016403435
R_5gkJQXcSCkjRBmu,none,10,160204,weighted examples,6,0.5029952103879668,0.21654639160424366,0.17421993944721825,1.0,0.19859208976313752,0.968508636068,0.341352610775554,-0.185667937376,-0.02597438571186391,0.924082048576,0.9372521918886346,1.0,1.0,0.37958975712,0.31595758913118865
R_5gkJQXcSCkjRBmu,none,11,160215,weighted examples,4,0.14300968422046118,0.32131141849306133,1.0,0.0,0.1362717027488563,-0.0691990165057,0.06773807109348334,-0.0105174080802,-0.09121075702592159,0.963082064221,0.9562615001027821,1.0,0.9999999999999999,0.314572351641,0.40404648662262804
R_5gkJQXcSCkjRBmu,none,12,160205,weighted examples,4,0.890539312975992,0.12205255418606734,1.0,1.0,0.15367702844673092,0.982056671071,0.24475141180148446,0.205139979523,0.2270193733911962,0.944389376381,0.9421958923776672,1.0,1.0,1.11392271388,1.3185057399659577
R_5gkJQXcSCkjRBmu,none,13,160208,weighted examples,4,0.8306037556706326,0.1283091814385322,1.0,1.0,0.46419334010758095,0.939677052916,0.5688273089911156,0.0201689901722,0.04654967422959873,0.966291900602,0.9339046085324672,1.0,1.0,0.761101139929,0.8839908057338248
R_5gkJQXcSCkjRBmu,none,14,160209,weighted examples,4,0.8755925624972012,0.08005579503685611,1.0,1.0,0.17681444969329857,0.75925827021,0.4743596853028649,0.184320100362,0.17329167671805074,0.954394387542,0.9385036488236822,1.0,0.9999999999999999,1.009876928644,1.0938612135865666
