participant,xai,wave,slope_type,outcome,slope
R_3Fo0QmOVx6lcU4W,counterfactual,original_36,test_trial,edit_l1,0.06572734085450137
R_3Fo0QmOVx6lcU4W,counterfactual,original_36,test_trial,target_helpful_shap,0.05063288828493619
R_3Fo0QmOVx6lcU4W,counterfactual,original_36,test_trial,cf_demo_cosine,0.04431945522890848
R_3Fo0QmOVx6lcU4W,counterfactual,original_36,test_trial,attribution_feature_overlap,-0.026013299085723605
R_3Fo0QmOVx6lcU4W,counterfactual,original_36,test_trial,response_time,-0.020221004489304067
R_3OpQ58fnUhzHRsd,none,new_26,test_trial,boundary_new,0.045334820457562375
R_3OpQ58fnUhzHRsd,none,new_26,test_trial,boundary_improvement,-0.02056856375092333
R_3OpQ58fnUhzHRsd,none,new_26,test_trial,success,-0.13873759512385925
R_3OpQ58fnUhzHRsd,none,new_26,test_trial,confidence_gain,-0.12274855818872145
R_3OpQ58fnUhzHRsd,none,new_26,test_trial,edit_l1,0.09776300627226853
R_3OpQ58fnUhzHRsd,none,new_26,test_trial,target_helpful_shap,0.06412678880379499
R_3OpQ58fnUhzHRsd,none,new_26,test_trial,cf_demo_cosine,0.14662234828222045
R_3OpQ58fnUhzHRsd,none,new_26,test_trial,attribution_feature_overlap,-0.013006649542861836
R_3OpQ58fnUhzHRsd,none,new_26,test_trial,response_time,-1.8517740376166258
R_3P1hvuTtye32D8u,attribution,new_26,test_trial,boundary_new,0.05026474634335574
R_3P1hvuTtye32D8u,attribution,new_26,test_trial,boundary_improvement,-0.0206386486126672
R_3P1hvuTtye32D8u,attribution,new_26,test_trial,success,-0.26446854070485665
R_3P1hvuTtye32D8u,attribution,new_26,test_trial,confidence_gain,-0.2669609847977188
R_3P1hvuTtye32D8u,attribution,new_26,test_trial,edit_l1,-0.05534897718557941
R_3P1hvuTtye32D8u,attribution,new_26,test_trial,target_helpful_shap,-0.21072840366138704
R_3P1hvuTtye32D8u,attribution,new_26,test_trial,cf_demo_cosine,-0.2230807804347114
R_3P1hvuTtye32D8u,attribution,new_26,test_trial,attribution_feature_overlap,-0.12392446647782215
R_3P1hvuTtye32D8u,attribution,new_26,test_trial,response_time,-3.2942288141193914
R_3P5ccqI6lMcShWV,attribution,new_26,test_trial,boundary_new,-0.020226703877401223
R_3P5ccqI6lMcShWV,attribution,new_26,test_trial,boundary_improvement,0.028102063002438126
R_3P5ccqI6lMcShWV,attribution,new_26,test_trial,success,-0.09538209664765329
R_3P5ccqI6lMcShWV,attribution,new_26,test_trial,confidence_gain,-0.06833588937936276
R_3P5ccqI6lMcShWV,attribution,new_26,test_trial,edit_l1,0.07028508024124565
R_3P5ccqI6lMcShWV,attribution,new_26,test_trial,target_helpful_shap,0.0825651253377984
R_3P5ccqI6lMcShWV,attribution,new_26,test_trial,cf_demo_cosine,0.024924249630874796
R_3P5ccqI6lMcShWV,attribution,new_26,test_trial,attribution_feature_overlap,0.02384552416191329
R_3P5ccqI6lMcShWV,attribution,new_26,test_trial,response_time,-2.3200914610569074
R_3Qv0QTQ49yAIRot,attribution,original_36,test_trial,boundary_new,0.03761907199883569
R_3Qv0QTQ49yAIRot,attribution,original_36,test_trial,boundary_improvement,-0.024299492055174034
R_3Qv0QTQ49yAIRot,attribution,original_36,test_trial,success,-0.15174424466672104
R_3Qv0QTQ49yAIRot,attribution,original_36,test_trial,confidence_gain,-0.15101605474816723
R_3Qv0QTQ49yAIRot,attribution,original_36,test_trial,edit_l1,0.0508078960083651
R_3Qv0QTQ49yAIRot,attribution,original_36,test_trial,target_helpful_shap,-0.03745356180460688
R_3Qv0QTQ49yAIRot,attribution,original_36,test_trial,cf_demo_cosine,0.016854406524699033
R_3Qv0QTQ49yAIRot,attribution,original_36,test_trial,attribution_feature_overlap,0.002167774923810303
R_3Qv0QTQ49yAIRot,attribution,original_36,test_trial,response_time,-4.39435724575373
R_3pZ1OVs4kWTC7GB,none,original_36,test_trial,boundary_new,0.000965381342057028
R_3pZ1OVs4kWTC7GB,none,original_36,test_trial,boundary_improvement,0.04217031100830394
R_3pZ1OVs4kWTC7GB,none,original_36,test_trial,success,0.23845524161913303
R_3pZ1OVs4kWTC7GB,none,original_36,test_trial,confidence_gain,0.2250219584633257
R_3pZ1OVs4kWTC7GB,none,original_36,test_trial,edit_l1,-0.01731658270597673
R_3pZ1OVs4kWTC7GB,none,original_36,test_trial,target_helpful_shap,0.18442185329285116
R_3pZ1OVs4kWTC7GB,none,original_36,test_trial,cf_demo_cosine,0.1138594494237377
R_3pZ1OVs4kWTC7GB,none,original_36,test_trial,attribution_feature_overlap,0.019509974314292654
R_3pZ1OVs4kWTC7GB,none,original_36,test_trial,response_time,-1.6107521504877023
