slope_type,outcome,comparison,n_a,n_b,mean_a,mean_b,difference,ci_low,ci_high,permutation_p,welch_p,hedges_g,q_global,q_within_slope_type
nearest_training_distance,cf_demo_cosine,counterfactual - attribution,27,16,-0.049234721689435545,-0.03467844826792814,-0.014556273421507407,-0.08587176403585497,0.054891269428251045,0.68525,0.6992375765355097,-0.1248039734641692,0.9553522727272727,0.9069230769230769
test_trial,response_time,attribution - none,16,19,-2.322410980225386,-2.6804847267008736,0.35807374647548773,-1.3394523723303682,2.0963962715885076,0.709,0.6902090552412705,0.1288570573400401,0.9553522727272727,0.997
test_trial,confidence_gain,counterfactual - none,27,19,-0.10599978274741735,-0.1252260495618062,0.01922626681438884,-0.08268897534250606,0.11610562936354608,0.7195,0.7209986603387655,0.10392503963489617,0.9553522727272727,0.997
nearest_training_distance,target_helpful_shap,attribution - none,16,19,-0.021186075400386927,-0.0160581300942743,-0.005127945306112627,-0.03364635782297192,0.02312387416863886,0.7235,0.7321001282241109,-0.11225312204043358,0.9553522727272727,0.9069230769230769
original_boundary_distance,target_centroid_progress,counterfactual - attribution,27,16,0.07926950591690653,0.07030370266128903,0.008965803255617494,-0.040876691870402215,0.06031936886582472,0.72475,0.742503421951315,0.10807604006181036,0.9553522727272727,0.868
nearest_training_distance,attribution_feature_overlap,counterfactual - attribution,27,16,-0.00824057289492456,-0.018867294336447918,0.010626721441523358,-0.05513569004156162,0.07202492646857905,0.743,0.7551415523830182,0.09705126435174868,0.9647910447761194,0.9069230769230769
nearest_training_distance,cf_demo_feature_jaccard,counterfactual - attribution,27,16,-0.00824057289492456,-0.018867294336447918,0.010626721441523358,-0.05711868613688146,0.07442918259437063,0.7595,0.7551415523830182,0.09705126435174868,0.9655348101265824,0.9069230769230769
test_trial,cf_demo_cosine,attribution - none,16,19,-0.06855618462060084,-0.05404514928491146,-0.014511035335689378,-0.11713152702937282,0.08930629673867718,0.7785,0.7865364545637515,-0.0889751677662509,0.9655348101265824,0.997
nearest_training_distance,target_helpful_shap,counterfactual - none,27,19,-0.020482632119428263,-0.0160581300942743,-0.0044245020251539625,-0.03426212244387111,0.027008537193469,0.786,0.7854338191631971,-0.07766976954740826,0.9655348101265824,0.9069230769230769
original_boundary_distance,target_helpful_shap,attribution - none,16,19,-0.011082197685930953,-0.015041767806270362,0.003959570120339409,-0.024501737283744805,0.03149919021880755,0.7915,0.7890824543999524,0.08648126783659972,0.9655348101265824,0.868
original_boundary_distance,cf_demo_cosine,counterfactual - none,27,19,0.07086257604527856,0.06433837604127676,0.006524200004001793,-0.04145050841236876,0.0577044871016373,0.8195,0.8087805215159111,0.06917077055428185,0.9655348101265824,0.868
original_boundary_distance,edit_l1,counterfactual - attribution,27,16,0.056321981150436455,0.05031826964349485,0.006003711506941602,-0.043043813251285326,0.050947306832824855,0.825,0.80050444267633,0.06736666814001488,0.9655348101265824,0.868
test_trial,target_helpful_shap,counterfactual - attribution,27,16,-0.043731487211319954,-0.05177193564579022,0.008040448434470264,-0.06992508504168969,0.08391816817821773,0.852,0.8416640848818377,0.05658790995937301,0.9655348101265824,0.997
