wave,metric,comparison,n_a,n_b,mean_a,mean_b,difference,ci_low,ci_high,permutation_p,welch_p,hedges_g,q_within_wave
original_36,select_Glucose,counterfactual - none,15,11,0.51,0.5954545454545455,-0.08545454545454545,-0.29246969696969694,0.1312272727272725,0.46175,0.43877592275242117,-0.2962132670631826,0.6538285714285714
original_36,select_Glucose,attribution - none,10,11,0.33,0.5954545454545455,-0.26545454545454544,-0.44955681818181825,-0.08181818181818185,0.01825,0.014637393401180938,-1.1145612614170428,0.37599999999999995
original_36,select_Glucose,counterfactual - attribution,15,10,0.51,0.33,0.18,-0.011708333333333432,0.3533333333333332,0.106,0.07803633818182702,0.6700880059582939,0.492
original_36,select_Blood Pressure,counterfactual - none,15,11,0.4666666666666667,0.35,0.1166666666666667,-0.094310606060606,0.3264393939393936,0.31475,0.3136838334182277,0.40278872284038475,0.6091199999999999
original_36,select_Blood Pressure,attribution - none,10,11,0.475,0.35,0.125,-0.08104545454545456,0.31820454545454535,0.2755,0.2767240683561491,0.4630097846965868,0.6091199999999999
original_36,select_Blood Pressure,counterfactual - attribution,15,10,0.4666666666666667,0.475,-0.008333333333333304,-0.18833333333333324,0.1716666666666667,0.96775,0.9321412066213147,-0.03238023693260903,0.9883404255319148
original_36,select_Insulin,counterfactual - none,15,11,0.4833333333333333,0.5545454545454546,-0.07121212121212128,-0.24577272727272725,0.105492424242424,0.4675,0.4605586096790495,-0.28445979491118917,0.6538285714285714
original_36,select_Insulin,attribution - none,10,11,0.37,0.5545454545454546,-0.18454545454545457,-0.4077386363636364,0.0445681818181817,0.1435,0.1521855361615698,-0.6405865628657739,0.492
original_36,select_Insulin,counterfactual - attribution,15,10,0.4833333333333333,0.37,0.11333333333333329,-0.12833333333333335,0.3366666666666666,0.3415,0.36041780713370164,0.39075412200995946,0.6304615384615386
original_36,select_BMI,counterfactual - none,15,11,0.49666666666666665,0.5909090909090908,-0.09424242424242418,-0.30033333333333345,0.11274242424242416,0.421,0.4044365027641814,-0.32596646612788494,0.6538285714285714
original_36,select_BMI,attribution - none,10,11,0.4,0.5909090909090908,-0.1909090909090908,-0.4195909090909091,0.029590909090908894,0.1235,0.1237743700088119,-0.6741818078956244,0.492
original_36,select_BMI,counterfactual - attribution,15,10,0.49666666666666665,0.4,0.09666666666666662,-0.10845833333333332,0.3083749999999998,0.3995,0.39462303557533807,0.33915174823108357,0.6538285714285714
original_36,select_Age,counterfactual - none,15,11,0.14333333333333334,0.08636363636363636,0.056969696969696976,-0.09849242424242427,0.21489393939393914,0.559,0.5094783277353789,0.2408047445854992,0.7251891891891892
original_36,select_Age,attribution - none,10,11,0.045,0.08636363636363636,-0.041363636363636366,-0.15954545454545455,0.05681818181818181,0.628,0.4949823274500742,-0.28544158598652336,0.7729230769230769
original_36,select_Age,counterfactual - attribution,15,10,0.14333333333333334,0.045,0.09833333333333334,-0.03166666666666666,0.25170833333333303,0.31725,0.2027450207876175,0.4436638884310314,0.6091199999999999
