moderator,level_contrast,instances_level_a,instances_level_b,outcome,condition_comparison,n_a,n_b,mean_a,mean_b,difference,ci_low,ci_high,permutation_p,welch_p,hedges_g,q_global,q_within_moderator
control_empirical_difficulty_group,control_easy - control_hard,10,10,target_helpful_shap,attribution - none,16,19,0.0356431237516875,0.012560193753157893,0.023082929998529608,-0.04414566661201182,0.08971186454557127,0.4992,0.5053380020988256,0.2250095346311272,0.9349732620320855,0.9362
target_label_group,Diabetes - No Diabetes,10,10,attribution_feature_overlap,counterfactual - attribution,27,16,-0.03574074074074074,-0.06760416666666666,0.03186342592592592,-0.05437152777777779,0.1203446180555555,0.4994,0.49980107708726973,0.21469095554212875,0.9349732620320855,0.9766
target_label_group,Diabetes - No Diabetes,10,10,target_centroid_progress,counterfactual - none,27,19,0.018073624413117564,-0.040490858302422265,0.05856448271553983,-0.09918706095555038,0.21599176000305745,0.5006,0.49157845368079667,0.2014841655478949,0.9349732620320855,0.9766
oracle_pair_uses_age_group,age_pair - no_age_pair,3,17,edit_l1,counterfactual - attribution,27,16,0.02273783329060705,-0.018568588113942283,0.041306421404549334,-0.06806924438636056,0.13716520997529014,0.5022,0.43648626769615073,0.21595479868272638,0.9349732620320855,0.8280000000000001
prediction_confidence_bucket,higher_confidence - lower_confidence,10,10,confidence_gain,attribution - none,16,19,-0.07784110791185572,-0.1083458056865287,0.030504697774672976,-0.05745004728418896,0.11692758171822444,0.5032,0.5092305149547045,0.21908907418822052,0.9349732620320855,0.7484347826086956
exogenous_geometry_k2,geometry_1 - geometry_2,15,5,cf_demo_cosine,counterfactual - attribution,27,16,-0.03925469864331438,0.03484579064298786,-0.07410048928630224,-0.2956468057128023,0.1441236515219136,0.507,0.5303345551918848,-0.20352669414494717,0.9349732620320855,0.9566
exogenous_geometry_k2,geometry_1 - geometry_2,15,5,cf_demo_cosine,attribution - none,16,19,0.03484579064298786,-0.044370811486204385,0.07921660212919224,-0.14908204125624627,0.30531423514335093,0.5076,0.5193491247130759,0.21979764913076935,0.9349732620320855,0.9566
oracle_pair_uses_age_group,age_pair - no_age_pair,3,17,success,counterfactual - attribution,27,16,-0.32534495279593323,-0.38725490196078427,0.06190994916485104,-0.1305408042846768,0.24659586056644883,0.5112,0.5198898951745303,0.2030786148354588,0.9349732620320855,0.8280000000000001
prediction_confidence_bucket,higher_confidence - lower_confidence,10,10,target_helpful_shap,counterfactual - none,27,19,-0.006591850525185198,-0.025775734105789466,0.01918388358060427,-0.03564505325548883,0.07662587071590737,0.5196,0.518173348948276,0.18801542128215243,0.9349732620320855,0.7484347826086956
exogenous_geometry_k2,geometry_1 - geometry_2,15,5,confidence_gain,counterfactual - attribution,27,16,0.2396631003994831,0.2965629926870448,-0.056899892287561676,-0.2296397492450416,0.11276475577200698,0.525,0.5289180089944998,-0.18379019909994163,0.9349732620320855,0.9566
