outcome,family,comparison,group_a,group_b,n_a,n_b,mean_a,mean_b,difference,ci_low,ci_high,permutation_p,welch_p,hedges_g,beneficial_difference,beneficial_hedges_g,q_global,q_within_family
actionability,quality,attribution - none,attribution,none,16,19,0.9468749999999999,0.9315789473684211,0.01529605263157885,-0.05378700657894732,0.09605674342105278,0.7658,0.6962351167913188,0.12612427827312356,0.01529605263157885,0.12612427827312356,0.9377217391304348,0.9917
edit_l1,cost,counterfactual - none,counterfactual,none,27,19,0.5222476868402125,0.5489133379435056,-0.02666565110329311,-0.20506326874634226,0.15257464451879604,0.7724,0.7751952191590441,-0.08712128203938027,0.02666565110329311,0.08712128203938027,0.9377217391304348,0.86895
plausibility,quality,attribution - none,attribution,none,16,19,0.9409808716046875,0.9394638503055263,0.001517021299161203,-0.008522264941941258,0.012123641535413426,0.7732,0.779871184527412,0.09153304059335392,0.001517021299161203,0.09153304059335392,0.9377217391304348,0.9917
training_direction_magnitude_index,counterfactual_alignment,attribution - none,attribution,none,16,19,0.6291290880690574,0.6716355395716656,-0.04250645150260812,-0.3291281391677205,0.24587591528470984,0.7779,0.7852816622323961,-0.09165242225094382,-0.04250645150260812,-0.09165242225094382,0.9377217391304348,0.9075500000000001
move_target,performance,attribution - none,attribution,none,16,19,0.825,0.8131578947368421,0.011842105263157876,-0.0699095394736843,0.09244654605263156,0.7913,0.7845861862509171,0.08810247312754159,0.011842105263157876,0.08810247312754159,0.9377217391304348,0.8902125
subset_plausibility,quality,attribution - none,attribution,none,16,19,0.878778471403125,0.8804892067594735,-0.0017107353563484695,-0.014613833097359674,0.01064574818129726,0.7981,0.7992718809000887,-0.08473729327423518,-0.0017107353563484695,-0.08473729327423518,0.9377217391304348,0.9917
helpful_shap_efficiency,attribution_alignment,counterfactual - attribution,counterfactual,attribution,27,16,0.5711463432686872,0.59735268728815,-0.02620634401946287,-0.19831941695093402,0.14670079006389514,0.7988,0.7713696741453784,-0.08114414803466048,-0.02620634401946287,-0.08114414803466048,0.9377217391304348,0.9244363636363637
subset_plausibility,quality,counterfactual - none,counterfactual,none,27,19,0.878686456527037,0.8804892067594735,-0.0018027502324364786,-0.017956810365261814,0.012653712938581365,0.8439,0.8215214534909969,-0.0613712729364459,-0.0018027502324364786,-0.0613712729364459,0.9555750000000001,0.9917
attribution_feature_overlap,attribution_alignment,counterfactual - none,counterfactual,none,27,19,0.36854938271604937,0.3619736842105264,0.0065756985055229755,-0.057222628330084534,0.06888336582196243,0.8474,0.8477846018660453,0.05724988672828422,0.0065756985055229755,0.05724988672828422,0.9555750000000001,0.9244363636363637
cf_demo_feature_jaccard,counterfactual_alignment,counterfactual - none,counterfactual,none,27,19,0.36854938271604937,0.3619736842105264,0.0065756985055229755,-0.05671247563352822,0.0715021523716699,0.8494,0.8477846018660453,0.05724988672828422,0.0065756985055229755,0.05724988672828422,0.9555750000000001,0.9388105263157897
success,performance,attribution - none,attribution,none,16,19,0.5375,0.5473684210526316,-0.009868421052631637,-0.14606085526315785,0.1228659539473684,0.9015,0.8917004575310405,-0.04456537519142481,-0.009868421052631637,-0.04456537519142481,0.9966000000000002,0.9545294117647058
plausibility,quality,counterfactual - attribution,counterfactual,attribution,27,16,0.9412819487635185,0.9409808716046875,0.00030107715883098685,-0.00923125854629375,0.00907094514624492,0.9529,0.9496282396618617,0.01890036120813865,0.00030107715883098685,0.01890036120813865,0.9966000000000002,0.9917
target_helpful_shap,attribution_alignment,counterfactual - attribution,counterfactual,attribution,27,16,0.2715956015088889,0.2690934318420937,0.002502169666795173,-0.08695207526342015,0.08721054040192736,0.9585,0.9574995788676557,0.016540737015575114,0.002502169666795173,0.016540737015575114,0.9966000000000002,0.9585
distance_to_minimal_cf,cost,counterfactual - none,counterfactual,none,27,19,0.6057986335677777,0.6100891840044737,-0.004290550436695906,-0.15212492755952262,0.14309688206892604,0.9595,0.9564535433693275,-0.015863615008888714,0.004290550436695906,0.015863615008888714,0.9966000000000002,0.9595
target_centroid_efficiency,geometry,attribution - none,attribution,none,16,19,0.12503185400592093,0.12051324337181919,0.004518610634101736,-0.23579530573492558,0.2413474053853063,0.9709,0.9713396777091061,0.011689396575250413,0.004518610634101736,0.011689396575250413,0.9966000000000002,0.9708999999999999
cf_demo_cosine,counterfactual_alignment,attribution - none,attribution,none,16,19,0.39235989874983557,0.3944997383680535,-0.0021398396182179535,-0.13453874772199884,0.12504611765790016,0.9729,0.9750542421265783,-0.010578265800660042,-0.0021398396182179535,-0.010578265800660042,0.9966000000000002,0.9965999999999999
subset_plausibility,quality,counterfactual - attribution,counterfactual,attribution,27,16,0.878686456527037,0.878778471403125,-9.201487608800907e-05,-0.016428909928641613,0.015019037275750583,0.9917,0.9909717198882901,-0.0030888800230522203,-9.201487608800907e-05,-0.0030888800230522203,0.9966000000000002,0.9917
confidence_gain,performance,attribution - none,attribution,none,16,19,0.5278311067828222,0.5271325089183146,0.0006985978645075441,-0.13053698503733283,0.130891648743803,0.9925,0.9918979988222743,0.0033076031266458944,0.0006985978645075441,0.0033076031266458944,0.9966000000000002,0.9925000000000002
cf_demo_delta_l1_error,counterfactual_alignment,counterfactual - none,counterfactual,none,27,19,0.5792473434330144,0.5788201733544827,0.0004271700785317689,-0.14785765522869543,0.1563504858372167,0.9966,0.9957519012921664,0.0015338535378074782,-0.0004271700785317689,-0.0015338535378074782,0.9966000000000002,0.9965999999999999
