context,outcome,comparison,n_a,n_b,mean_a,mean_b,difference,ci_low,ci_high,permutation_p,welch_p,hedges_g,beneficial_difference,q_within_context
full,boundary_improvement,counterfactual - attribution,27,16,-0.004709043816481482,0.006072726601250002,-0.010781770417731484,-0.03538491718435099,0.011101684572533552,0.48225,0.3641535297659364,-0.2339607154879184,-0.010781770417731484,0.8202272727272728
full,boundary_new,counterfactual - attribution,27,16,0.1275865894114815,0.11680481899375,0.010781770417731484,-0.009755697067859392,0.03602876841388399,0.4845,0.3641535297659365,0.23396071548791836,-0.010781770417731484,0.8202272727272728
full,attribution_feature_overlap,attribution - none,16,19,0.33796875,0.3619736842105264,-0.024004934210526407,-0.099190309758772,0.04919222861842096,0.52625,0.5487963985389286,-0.20132331152611552,-0.024004934210526407,0.8202272727272728
full,cf_demo_feature_jaccard,attribution - none,16,19,0.33796875,0.3619736842105264,-0.024004934210526407,-0.10062582236842116,0.05194976699561384,0.5285,0.5487963985389286,-0.20132331152611552,-0.024004934210526407,0.8202272727272728
full,target_centroid_progress,counterfactual - attribution,27,16,0.019856216075982085,0.0806747947753278,-0.06081857869934571,-0.19832889111993526,0.0606865101602729,0.5425,0.39099205606462706,-0.22183186211305492,-0.06081857869934571,0.8202272727272728
full,boundary_improvement,counterfactual - none,27,19,-0.004709043816481482,-0.014446482149473682,0.0097374383329922,-0.025848594223625,0.04425025104430921,0.58025,0.6076796749835242,0.15854005644520563,0.0097374383329922,0.8202272727272728
full,boundary_new,counterfactual - none,27,19,0.1275865894114815,0.1373240277444737,-0.009737438332992204,-0.0450218377584162,0.024275640365241453,0.591,0.607679674983524,-0.1585400564452057,0.009737438332992204,0.8202272727272728
full,target_centroid_progress,attribution - none,16,19,0.0806747947753278,0.04967514173390882,0.030999653041418974,-0.07679244936139328,0.14491031267165017,0.6015,0.5860295005657143,0.17579694996142284,0.030999653041418974,0.8202272727272728
full,target_centroid_progress,counterfactual - none,27,19,0.019856216075982085,0.04967514173390882,-0.029818925657926737,-0.191139607010414,0.10471849819714482,0.7635,0.7025252392107966,-0.10461633920333455,-0.029818925657926737,0.964375
full,edit_l1,counterfactual - none,27,19,0.5222476868402125,0.5489133379435056,-0.02666565110329311,-0.2008405348150917,0.1498234953371586,0.7715,0.7751952191590441,-0.08712128203938027,0.02666565110329311,0.964375
full,attribution_feature_overlap,counterfactual - none,27,19,0.36854938271604937,0.3619736842105264,0.0065756985055229755,-0.05946434372969455,0.06766727582846008,0.8455,0.8477846018660453,0.05724988672828422,0.0065756985055229755,0.9778846153846155
full,cf_demo_feature_jaccard,counterfactual - none,27,19,0.36854938271604937,0.3619736842105264,0.0065756985055229755,-0.0592543047433398,0.07030868258609496,0.8475,0.8477846018660453,0.05724988672828422,0.0065756985055229755,0.9778846153846155
full,success,attribution - none,16,19,0.5375,0.5473684210526316,-0.009868421052631637,-0.1600699013157895,0.11629934210526308,0.90625,0.8917004575310405,-0.04456537519142481,-0.009868421052631637,0.9925
full,target_helpful_shap,counterfactual - attribution,27,16,0.2715956015088889,0.2690934318420937,0.002502169666795173,-0.08894001453110795,0.0900225755895956,0.958,0.9574995788676557,0.016540737015575114,0.002502169666795173,0.9925
