moderator,level,n_instances,outcome,comparison,n_a,n_b,mean_a,mean_b,difference,ci_low,ci_high,permutation_p,welch_p,hedges_g,beneficial_difference,q_global,q_within_moderator
exogenous_geometry_k2,geometry_1,15,edit_l1,counterfactual - attribution,27,16,0.5051340549703701,0.44882811658649624,0.05630593838387388,-0.08152074341946249,0.20275984617432327,0.5693333333333334,0.47007375078504376,0.1990902560431363,-0.05630593838387388,1.0,0.946923076923077
nearest_demo_pair_match_group,pair_differs_from_nearest_demo,14,boundary_improvement,counterfactual - none,27,19,0.007016096402380954,-0.0026291752898496236,0.009645271692230579,-0.02192021787575815,0.04370961402747389,0.5706666666666667,0.5810123507220777,0.1711819823415577,0.009645271692230579,1.0,0.9219607843137254
target_label_group,No Diabetes,10,boundary_improvement,counterfactual - none,27,19,-0.034638422617037035,-0.04792033674894737,0.013281914131910336,-0.03333458997091131,0.062285479594615,0.5723333333333334,0.5960975942620053,0.16293209345581375,0.013281914131910336,1.0,0.9114893617021276
target_label_group,No Diabetes,10,boundary_new,counterfactual - none,27,19,0.12041668438703702,0.13369859851894736,-0.013281914131910336,-0.06214209353324365,0.033270027203558476,0.5736666666666667,0.5960975942620055,-0.16293209345581375,0.013281914131910336,1.0,0.9114893617021276
target_label_group,Diabetes,10,target_centroid_progress,attribution - none,16,19,0.08426394409452248,0.029429712582697717,0.05483423151182476,-0.13195049708689585,0.22948249605578952,0.5753333333333334,0.5754984646846119,0.18390951513634957,0.05483423151182476,1.0,0.9114893617021276
nearest_same_training_distance_bucket,near_training,10,cf_demo_cosine,attribution - none,16,19,0.38303564497309583,0.42878113058084305,-0.045745485607747216,-0.20044687829170096,0.11075109531846557,0.5753333333333334,0.5891476962360283,-0.18005119838365707,-0.045745485607747216,1.0,0.9576271186440678
control_empirical_difficulty_group,control_hard,10,cf_demo_feature_jaccard,counterfactual - attribution,27,16,0.3651234567901235,0.3384375,0.026685956790123477,-0.0616898148148148,0.11328713348765425,0.576,0.5654959451742093,0.17912502808354955,0.026685956790123477,1.0,0.9422222222222222
exogenous_geometry_k2,geometry_1,15,boundary_new,counterfactual - none,27,19,0.11282064775728395,0.12381049948421052,-0.01098985172692657,-0.04864737522775633,0.026221023156290102,0.576,0.6048221434703467,-0.1593313696975776,0.01098985172692657,1.0,0.946923076923077
prediction_confidence_bucket,higher_confidence,10,edit_l1,counterfactual - attribution,27,16,0.554931265941705,0.5079113542845287,0.04701991165717634,-0.09386929735883585,0.19735311420113238,0.5786666666666667,0.5417257813035558,0.17982470997541578,-0.04701991165717634,1.0,0.9383783783783783
target_label_group,No Diabetes,10,cf_demo_feature_jaccard,attribution - none,16,19,0.37177083333333333,0.3920175438596491,-0.02024671052631577,-0.09590803179824556,0.04898917214912284,0.5796666666666667,0.5902388986491387,-0.18052018096374498,-0.02024671052631577,1.0,0.9114893617021276
target_label_group,Diabetes,10,target_centroid_progress,counterfactual - attribution,27,16,0.02889302828254086,0.08426394409452248,-0.05537091581198162,-0.22390937665069288,0.11160833967474082,0.584,0.5418625429340818,-0.17836984351615168,-0.05537091581198162,1.0,0.9114893617021276
