domain,training explanation condition,test case,instance id,original label,target label,strategy,attribute selection method,change amount method,maximum attributes allowed,actual attributes changed,changed attributes,sparsity,proximity,model-consistent proximity,plausibility,plausibility (subset),original target confidence,target confidence edited,target confidence gain,valid counterfactual (0/1),actionable (0/1),valid and actionable (0/1),boundary distance original,boundary distance edited,boundary distance change (edited - original)
diabetes,none,3,140202,Diabetes,No Diabetes,Current-case contribution + estimated flip amount,Current-case contribution,Estimated amount needed to flip the cognitive model,3,1,age,0.8,0.5763512727616571,0.5763512727616571,0.936823642556651,0.8827119485385981,0.0016989199229672412,0.009544327562133774,0.007845407639166533,0,0,0,0.08099124461986879,0.0611461483510331,-0.019845096268835682
diabetes,none,3,140202,Diabetes,No Diabetes,Global importance + estimated flip amount,Global importance,Estimated amount needed to flip the cognitive model,1,1,age,0.8,0.5763512727616571,0.5763512727616571,0.936823642556651,0.8827119485385981,0.0016989199229672412,0.009544327562133774,0.007845407639166533,0,0,0,0.08099124461986879,0.0611461483510331,-0.019845096268835682
diabetes,none,3,140202,Diabetes,No Diabetes,Global importance + estimated flip amount,Global importance,Estimated amount needed to flip the cognitive model,2,1,age,0.8,0.5763512727616571,0.5763512727616571,0.936823642556651,0.8827119485385981,0.0016989199229672412,0.009544327562133774,0.007845407639166533,0,0,0,0.08099124461986879,0.0611461483510331,-0.019845096268835682
diabetes,none,3,140202,Diabetes,No Diabetes,Global importance + estimated flip amount,Global importance,Estimated amount needed to flip the cognitive model,3,1,age,0.8,0.5763512727616571,0.5763512727616571,0.936823642556651,0.8827119485385981,0.0016989199229672412,0.009544327562133774,0.007845407639166533,0,0,0,0.08099124461986879,0.0611461483510331,-0.019845096268835682
diabetes,none,3,140202,Diabetes,No Diabetes,Target-profile mismatch + target centre,Target-profile mismatch,Target-profile centre,1,1,age,0.8,0.5675675675675675,0.5675675675675675,0.935066901517833,0.8844686895774161,0.0016989199229672412,0.010575042431625397,0.008876122508658156,0,0,0,0.08099124461986879,0.06091900067866157,-0.020072243941207213
diabetes,none,3,140202,Diabetes,No Diabetes,Target-profile mismatch + target centre,Target-profile mismatch,Target-profile centre,2,2,glucose / age,0.6,0.8523830751343078,0.8523830751343078,0.9562588953531156,0.9137245452680213,0.0016989199229672412,0.018365220313972936,0.016666300391005695,0,0,0,0.08099124461986879,0.10513645978848307,0.024145215168614287
diabetes,none,3,140202,Diabetes,No Diabetes,Target-profile mismatch + target centre,Target-profile mismatch,Target-profile centre,3,2,glucose / age,0.6,0.8523830751343078,0.8523830751343078,0.9562588953531156,0.9137245452680213,0.0016989199229672412,0.018365220313972936,0.016666300391005695,0,0,0,0.08099124461986879,0.10513645978848307,0.024145215168614287
diabetes,none,3,140202,Diabetes,No Diabetes,Target-profile mismatch + nearest range edge,Target-profile mismatch,Nearest target-profile range edge,1,1,age,0.8,0.5,0.5,0.9415730045200439,0.8817659868747133,0.0016989199229672412,0.004567339486769887,0.0028684195638026457,0,0,0,0.08099124461986879,0.08760768479320746,0.006616440173338678
diabetes,none,3,140202,Diabetes,No Diabetes,Target-profile mismatch + nearest range edge,Target-profile mismatch,Nearest target-profile range edge,2,2,glucose / age,0.6,0.6232783540214248,0.6232783540214248,0.9350056544450221,0.9064216576789983,0.0016989199229672412,0.0044254474165374225,0.0027265274935701815,0,0,0,0.08099124461986879,0.1495682264972193,0.0685769818773505
diabetes,none,3,140202,Diabetes,No Diabetes,Target-profile mismatch + nearest range edge,Target-profile mismatch,Nearest target-profile range edge,3,2,glucose / age,0.6,0.6232783540214248,0.6232783540214248,0.9350056544450221,0.9064216576789983,0.0016989199229672412,0.0044254474165374225,0.0027265274935701815,0,0,0,0.08099124461986879,0.1495682264972193,0.0685769818773505
diabetes,none,3,140202,Diabetes,No Diabetes,Nearest target example + example values,Nearest target example,Nearest target-example value,1,1,age,0.8,0.5405405405405406,0.5405405405405406,0.9388703018173412,0.8898740949828214,0.0016989199229672412,0.009763769368385569,0.008064849445418328,0,0,0,0.08099124461986879,0.05916581488944908,-0.021825429730419704
diabetes,none,3,140202,Diabetes,No Diabetes,Nearest target example + example values,Nearest target example,Nearest target-example value,2,2,blood_pressure / age,0.6,0.7144535840188015,0.7144535840188015,0.9421256574981333,0.9246567036784736,0.0016989199229672412,7.45951050111687e-07,-0.0016981739719171295,0,0,0,0.08099124461986879,0.2330869008501118,0.15209565623024301
diabetes,none,3,140202,Diabetes,No Diabetes,Nearest target example + example values,Nearest target example,Nearest target-example value,3,3,blood_pressure / bmi / age,0.4,0.8760158206021114,0.8760158206021114,0.9569691509951356,0.9569691509951356,0.0016989199229672412,1.3110850252962961e-05,-0.0016858090727142783,0,0,0,0.08099124461986879,0.13679671883764655,0.05580547421777776
diabetes,none,4,140300,No Diabetes,Diabetes,Current-case contribution + estimated flip amount,Current-case contribution,Estimated amount needed to flip the cognitive model,1,1,bmi,0.8,0.3174477200101557,0.3174477200101557,0.9384914301328074,0.9384914301328074,0.009660803528461104,0.19078016524965413,0.18111936172119303,0,1,0,0.0659242805367134,0.07338236135577669,0.007458080819063295
diabetes,none,4,140300,No Diabetes,Diabetes,Current-case contribution + estimated flip amount,Current-case contribution,Estimated amount needed to flip the cognitive model,2,1,bmi,0.8,0.3174477200101557,0.3174477200101557,0.9384914301328074,0.9384914301328074,0.009660803528461104,0.19078016524965413,0.18111936172119303,0,1,0,0.0659242805367134,0.07338236135577669,0.007458080819063295
diabetes,none,4,140300,No Diabetes,Diabetes,Current-case contribution + estimated flip amount,Current-case contribution,Estimated amount needed to flip the cognitive model,3,1,bmi,0.8,0.3174477200101557,0.3174477200101557,0.9384914301328074,0.9384914301328074,0.009660803528461104,0.19078016524965413,0.18111936172119303,0,1,0,0.0659242805367134,0.07338236135577669,0.007458080819063295
diabetes,none,4,140300,No Diabetes,Diabetes,Global importance + estimated flip amount,Global importance,Estimated amount needed to flip the cognitive model,1,1,age,0.8,0.3054987988762503,0.3054987988762503,0.9389002402247499,0.907521541431845,0.009660803528461104,0.0001359659582533812,-0.009524837570207723,0,0,0,0.0659242805367134,0.12794613477321318,0.06202185423649978
diabetes,none,4,140300,No Diabetes,Diabetes,Global importance + estimated flip amount,Global importance,Estimated amount needed to flip the cognitive model,2,1,age,0.8,0.3054987988762503,0.3054987988762503,0.9389002402247499,0.907521541431845,0.009660803528461104,0.0001359659582533812,-0.009524837570207723,0,0,0,0.0659242805367134,0.12794613477321318,0.06202185423649978
diabetes,none,4,140300,No Diabetes,Diabetes,Global importance + estimated flip amount,Global importance,Estimated amount needed to flip the cognitive model,3,1,age,0.8,0.3054987988762503,0.3054987988762503,0.9389002402247499,0.907521541431845,0.009660803528461104,0.0001359659582533812,-0.009524837570207723,0,0,0,0.0659242805367134,0.12794613477321318,0.06202185423649978
diabetes,none,4,140300,No Diabetes,Diabetes,Target-profile mismatch + target centre,Target-profile mismatch,Target-profile centre,1,1,bmi,0.8,0.3038072492273107,0.3038072492273107,0.9405665872126341,0.9357633359762385,0.009660803528461104,0.20312875546084896,0.19346795193238786,0,1,0,0.0659242805367134,0.07704784702365933,0.01112356648694593
diabetes,none,4,140300,No Diabetes,Diabetes,Target-profile mismatch + target centre,Target-profile mismatch,Target-profile centre,2,2,glucose / bmi,0.6,0.45684244732287266,0.45684244732287266,0.9643204121670584,0.9527672468757453,0.009660803528461104,0.6301551250053222,0.6204943214768611,1,1,1,0.0659242805367134,0.01822752608281611,-0.04769675445389729
