hidden_layers,alpha,seed,iterations,train_accuracy,train_balanced_accuracy,train_log_loss,train_brier,train_auc,dev_accuracy,dev_balanced_accuracy,dev_log_loss,dev_brier,dev_auc,dev_repeated_crossing_rate,dev_mean_boundary_crossings,accuracy_gap,selection_score,eligible,test_accuracy,test_balanced_accuracy,test_log_loss,test_brier,test_auc,test_repeated_crossing_rate,test_mean_boundary_crossings
12,0.25,11,52,0.7043795620437956,0.6157148862066895,0.5938391484409034,0.2023610389939968,0.7363838347444905,0.7068965517241379,0.6201079622132254,0.5612009327122026,0.18674472171341766,0.8380566801619433,0.041379310344827586,0.4896551724137931,-0.0025169896803423075,0.5922354154708233,False,,,,,,,
12,0.5,11,52,0.7043795620437956,0.6157148862066895,0.5955026640562603,0.20310241087730638,0.7351228006965713,0.7068965517241379,0.6201079622132254,0.56476905478203,0.18834628561316274,0.8367071524966262,0.04482758620689655,0.49310344827586206,-0.0025169896803423075,0.5983897444372024,False,,,,,,,
8x4,2.0,29,50,0.6605839416058394,0.7072299285414039,0.6285935872398462,0.21877361582630886,0.7319401909565845,0.7068965517241379,0.7550607287449393,0.6223068722337812,0.21566339728840153,0.7908232118758435,0.006896551724137931,0.4482758620689655,-0.04631261011829846,0.6274792860268846,True,,,,,,,
12,2.0,11,53,0.6970802919708029,0.5853900198162494,0.6021778453564636,0.20603291813607136,0.7295382213415001,0.7068965517241379,0.606612685560054,0.5806362576141161,0.19566872299249385,0.8164642375168691,0.07586206896551724,0.503448275862069,-0.009816259753335,0.637532809338254,False,,,,,,,
12,1.0,11,50,0.7007299270072993,0.60469585059749,0.6166850910366932,0.21282271604646538,0.6907464120578874,0.7068965517241379,0.6201079622132254,0.5959038410545573,0.20286537026839896,0.785425101214575,0.07586206896551724,0.5310344827586206,-0.006166624716838598,0.6528003927786952,False,,,,,,,
4,2.0,11,82,0.6167883211678832,0.6910166336395844,0.724599912320058,0.24975689458962866,0.7128445325166637,0.6206896551724138,0.717948717948718,0.6669932037016832,0.233735965106757,0.7813765182186234,0.006896551724137931,0.4206896551724138,-0.003901334004530632,0.6721656174947866,False,,,,,,,
4,2.0,42,65,0.6605839416058394,0.49453551912568305,0.66323619260788,0.23489938278690647,0.4289917732540683,0.6379310344827587,0.47435897435897434,0.6691565828882244,0.23799530586423315,0.4507422402159244,0.0034482758620689655,0.09655172413793103,0.022652907123080768,0.6796713072778544,False,,,,,,,
4,1.0,42,60,0.6605839416058394,0.49453551912568305,0.6694288031309991,0.23775716638292269,0.40773434216057164,0.6379310344827587,0.47435897435897434,0.6728028146442848,0.2397706098993723,0.3717948717948718,0.013793103448275862,0.1310344827586207,0.022652907123080768,0.69107615972357,False,,,,,,,
4,0.25,42,58,0.656934306569343,0.4918032786885246,0.6722885952795427,0.2389674081523767,0.37542785083768687,0.6206896551724138,0.46153846153846156,0.6735857519256191,0.24014934290446394,0.23211875843454793,0.03103448275862069,0.16551724137931034,0.03624465139692923,0.7095472419835098,False,,,,,,,
4,0.05,42,58,0.656934306569343,0.4918032786885246,0.6687882229375017,0.23716502962068925,0.43781901158950337,0.6206896551724138,0.46153846153846156,0.6717105166527972,0.23923239777868976,0.2834008097165992,0.034482758620689655,0.16551724137931034,0.03624465139692923,0.7102582136072397,False,,,,,,,
