participant,domain,xai,phase,explanation,original label,target label,case,instance id,response time (seconds),attribute values before and after,num attributes changed,distance of counterfactual to original,counterfactual label,valid counterfactual (0/1),distance to closest minimal counterfactual,confidence for target label original,confidence for target label counterfactual,delta confidence of target label,training response,training correct (0/1)
R_3OLJbpwtIN5r62B,safelimit,attribution,training,"""Alcohol Units"" - +64% toward Below Limit
""Drinking Duration"" - +36% toward Below Limit",Below Limit,,2,1025,7.433,"""Alcohol Units"" - 2(0.0629685157421)
""Weight"" - 77(0.543185904351)
""Drinking Duration"" - 248(0.847272727273)
""Gender"" - Female(0)
""Stomach Fullness"" - Full(1)",,,,,,,,,Below Limit,1
R_3OLJbpwtIN5r62B,safelimit,attribution,training,"""Alcohol Units"" - +80% toward Below Limit
""Gender"" - +20% toward Below Limit",Below Limit,,3,1230,5.525,"""Alcohol Units"" - 2.1(0.0754622688656)
""Weight"" - 66.9(0.361596548004)
""Drinking Duration"" - 147(0.48)
""Gender"" - Male(1)
""Stomach Fullness"" - Full(1)",,,,,,,,,Below Limit,1
R_3OLJbpwtIN5r62B,safelimit,attribution,training,"""Alcohol Units"" - +86% toward Below Limit
""Stomach Fullness"" - -14% toward Above Limit",Below Limit,,4,960,7.881,"""Alcohol Units"" - 3.2(0.212893553223)
""Weight"" - 72.5(0.462279755484)
""Drinking Duration"" - 162(0.534545454545)
""Gender"" - Female(0)
""Stomach Fullness"" - Empty(0)",,,,,,,,,Below Limit,1
R_3OLJbpwtIN5r62B,safelimit,attribution,training,"""Drinking Duration"" - -63% toward Above Limit
""Weight"" - -37% toward Above Limit",Above Limit,,5,239,4.747,"""Alcohol Units"" - 5.3(0.475262368816)
""Weight"" - 64.5(0.318446601942)
""Drinking Duration"" - 30(0.0545454545455)
""Gender"" - Female(0)
""Stomach Fullness"" - Empty(0)",,,,,,,,,Above Limit,1
R_3OLJbpwtIN5r62B,safelimit,attribution,training,"""Gender"" - +57% toward Below Limit
""Weight"" - +43% toward Below Limit",Below Limit,,6,124,6.425,"""Alcohol Units"" - 5.8(0.537731134433)
""Weight"" - 79.8(0.593527508091)
""Drinking Duration"" - 65(0.181818181818)
""Gender"" - Male(1)
""Stomach Fullness"" - Empty(0)",,,,,,,,,Above Limit,0
R_3OLJbpwtIN5r62B,safelimit,attribution,training,"""Weight"" - -66% toward Above Limit
""Stomach Fullness"" - -34% toward Above Limit",Above Limit,,7,143,7.132,"""Alcohol Units"" - 4.9(0.425287356322)
""Weight"" - 57.2(0.187198849335)
""Drinking Duration"" - 139(0.450909090909)
""Gender"" - Female(0)
""Stomach Fullness"" - Empty(0)",,,,,,,,,Above Limit,1
R_3OLJbpwtIN5r62B,safelimit,attribution,training,"""Drinking Duration"" - -71% toward Above Limit
""Gender"" - -29% toward Above Limit",Above Limit,,8,131,6.878,"""Alcohol Units"" - 6.2(0.587706146927)
""Weight"" - 72.3(0.458683926645)
""Drinking Duration"" - 54(0.141818181818)
""Gender"" - Female(0)
""Stomach Fullness"" - Full(1)",,,,,,,,,Above Limit,1
R_3OLJbpwtIN5r62B,safelimit,attribution,training,"""Drinking Duration"" - -68% toward Above Limit
""Stomach Fullness"" - -32% toward Above Limit",Above Limit,,9,213,4.425,"""Alcohol Units"" - 6.4(0.612693653173)
""Weight"" - 71.4(0.442502696872)
""Drinking Duration"" - 37(0.08)
""Gender"" - Male(1)
""Stomach Fullness"" - Empty(0)",,,,,,,,,Above Limit,1
R_3OLJbpwtIN5r62B,safelimit,attribution,training,"""Gender"" - +62% toward Below Limit
""Stomach Fullness"" - +38% toward Below Limit",Below Limit,,10,322,4.609,"""Alcohol Units"" - 7(0.687656171914)
""Weight"" - 71.9(0.451492268968)
""Drinking Duration"" - 80(0.236363636364)
""Gender"" - Male(1)
""Stomach Fullness"" - Full(1)",,,,,,,,,Above Limit,0
R_3OLJbpwtIN5r62B,safelimit,attribution,testing,Neither,Above Limit,Below Limit,1,87,24.865,"""Alcohol Units"" - 9.1(0.950024987506) -> 7.57904(0.76)
""Weight"" - 81.4(0.622294138799) -> 80.7162(0.61)
""Drinking Duration"" - 91(0.276363636364)
""Gender"" - Female(0)
""Stomach Fullness"" - Empty(0) -> Full(1)",3,1.20231912631,Above Limit,0,1.27503004357,2.73960287617e-19,1.03082155879e-05,1.03082155879e-05,,
R_3OLJbpwtIN5r62B,safelimit,attribution,testing,Neither,Above Limit,Below Limit,2,203,19.946,"""Alcohol Units"" - 6.5(0.625187406297) -> 5.41796(0.49)
""Weight"" - 50.3(0.0631427544049) -> 60.1368(0.24)
""Drinking Duration"" - 175(0.581818181818)
""Gender"" - Female(0)
""Stomach Fullness"" - Full(1)",2,0.312044651892,Below Limit,1,0.093157331798,3.97200592972e-12,0.999998797947,0.999998797943,,
R_3OLJbpwtIN5r62B,safelimit,attribution,testing,Neither,Above Limit,Below Limit,3,106,11.074,"""Alcohol Units"" - 7(0.687656171914) -> 6(0.56271864068)
""Weight"" - 59.6(0.230348795397) -> 67.9236(0.38)
""Drinking Duration"" - 43(0.101818181818) -> 110(0.345454545455)
""Gender"" - Female(0)
""Stomach Fullness"" - Empty(0) -> Full(1)",4,1.51822509947,Below Limit,1,1.52240363588,3.54735101294e-24,0.960332598504,0.960332598504,,
R_3OLJbpwtIN5r62B,safelimit,attribution,testing,Neither,Above Limit,Below Limit,4,143,17.791,"""Alcohol Units"" - 7.7(0.775112443778) -> 6.85868(0.67)
""Weight"" - 65.5(0.336425746134)
""Drinking Duration"" - 143(0.465454545455) -> 173(0.574545454545)
""Gender"" - Male(1)
""Stomach Fullness"" - Empty(0) -> Full(1)",3,1.21420335287,Below Limit,1,0.226697105992,1.58378488751e-10,0.99999992098,0.999999920822,,
R_3OLJbpwtIN5r62B,safelimit,attribution,testing,Neither,Above Limit,Below Limit,5,300,6.713,"""Alcohol Units"" - 7(0.687656171914) -> 5(0.437781109445)
""Weight"" - 58.3(0.206975907947) -> 65.1426(0.33)
""Drinking Duration"" - 105(0.327272727273)
""Gender"" - Female(0)
""Stomach Fullness"" - Full(1)",2,0.372899154522,Below Limit,1,0.165523651335,5.21483428954e-15,0.999999793914,0.999999793914,,
R_3OLJbpwtIN5r62B,safelimit,attribution,testing,Neither,Below Limit,Above Limit,6,98,15.905,"""Alcohol Units"" - 3.9(0.300349825087) -> 5.0978(0.45)
""Weight"" - 85.7(0.699604458828) -> 77.9352(0.56)
""Drinking Duration"" - 101(0.312727272727) -> 67(0.189090909091)
""Gender"" - Female(0)
""Stomach Fullness"" - Empty(0)",3,0.412890997377,Below Limit,0,0.304042886373,1.04360964315e-14,0.0166557799139,0.0166557799139,,
R_3OLJbpwtIN5r62B,safelimit,attribution,testing,Neither,Below Limit,Above Limit,7,261,7.944,"""Alcohol Units"" - 2.5(0.125437281359) -> 4.05728(0.32)
""Weight"" - 71.5(0.444300611291)
""Drinking Duration"" - 248(0.847272727273) -> 182(0.607272727273)
""Gender"" - Female(0)
""Stomach Fullness"" - Full(1) -> Empty(0)",3,1.43456271864,Below Limit,0,1.47217663895,0,5.72875080707e-14,5.72875080707e-14,,
R_3OLJbpwtIN5r62B,safelimit,attribution,testing,Neither,Below Limit,Above Limit,8,4,8.042,"""Alcohol Units"" - 5.1(0.450274862569) -> 6.2984(0.6)
""Weight"" - 76.4(0.532398417835)
""Drinking Duration"" - 23(0.0290909090909)
""Gender"" - Male(1)
""Stomach Fullness"" - Full(1) -> Empty(0)",2,1.14972513743,Above Limit,1,1.83114261051,1.09712905427e-10,0.999999766773,0.999999766664,,
R_3OLJbpwtIN5r62B,safelimit,attribution,testing,Neither,Below Limit,Above Limit,9,209,7.66,"""Alcohol Units"" - 4.3(0.350324837581) -> 5.73812(0.53)
""Weight"" - 75.8(0.52161093132)
""Drinking Duration"" - 279(0.96) -> 237(0.807272727273)
""Gender"" - Female(0)
""Stomach Fullness"" - Full(1) -> Empty(0)",3,1.33240243515,Below Limit,0,1.49191813184,0,1.30961241851e-09,1.30961241851e-09,,
