participant,xai,case,instance id,selected model family,model MAP subset probability,observed selection F1 model,observed selection F1 baseline,observed amount MAE model,observed amount MAE baseline,observed validity,observed boundary distance,observed plausibility,model validity,baseline validity,model plausibility,baseline plausibility,model boundary distance,baseline boundary distance
R_5PStwIHXgmZwa9J,none,19,59,feature contribution,0.4740421050852037,1.0,1.0,0.2786846168286956,0.2890389927333333,1.0,0.0280670742,0.9378552815,0.0,0.0,0.9397815004328001,0.9352060712613606,0.05867265838497884,0.0687972050296817
R_5PStwIHXgmZwa9J,none,20,15,feature contribution,0.6020718378625144,1.0,0.8,0.355054261314563,0.3698157897,1.0,0.4904078617,0.8959053051,0.0,0.0,0.8789137469679705,0.8852720843098796,0.10107622769262223,0.10937421572937064
R_5QGGlhAzSiOVePL,attribution,1,7,weighted examples,0.43821421032963565,0.5,0.5,0.16426742685550993,0.19078995499999998,0.0,0.0467113705,0.9451056272,1.0,0.0,0.9223928453910305,0.9249055530459712,0.1308400482630907,0.05706718573194941
R_5QGGlhAzSiOVePL,attribution,2,14,weighted examples,0.37309986305484094,0.5,0.5,0.06390815183632247,0.13515103666666664,1.0,0.0255787711,0.9242159612,0.0,0.0,0.9217847556901874,0.9403374297198187,0.0031767090514485674,0.2545813930247104
R_5QGGlhAzSiOVePL,attribution,3,53,weighted examples,0.3815567581474561,0.5,0.5,0.1280245175931766,0.20851844466666666,1.0,0.0932560433,0.9237012924,0.0,0.0,0.9221807876223275,0.9608073264816143,0.1538500788865864,0.13724359929544017
R_5QGGlhAzSiOVePL,attribution,4,26,weighted examples,0.42464370390096307,1.0,0.5,0.04937048552178344,0.11874028133333332,0.0,0.085492332,0.9534743064,0.0,1.0,0.9645268484603041,0.9406391560588501,0.012215958642953106,0.03306564511590465
R_5QGGlhAzSiOVePL,attribution,5,33,weighted examples,0.38686375422568947,0.5,0.0,0.18831870807793952,0.24296181536666664,1.0,0.0300388213,0.9239457495,1.0,1.0,0.959692889554771,0.9551277160483601,0.10598967012085439,0.04802266642767078
R_5QGGlhAzSiOVePL,attribution,6,35,weighted examples,0.5616350414836943,1.0,1.0,0.2614949606914233,0.47556671,1.0,0.0261064307,0.9313492764,0.0,0.0,0.8907585404975479,0.8621031998198638,0.19188970600431365,0.42552032939507567
R_5QGGlhAzSiOVePL,attribution,7,42,weighted examples,0.4490357870345209,0.5,0.5,0.1444182732467791,0.15870360213333337,1.0,0.1152233946,0.9300319307,1.0,0.0,0.9401092765377981,0.9388236297515031,0.03651472300469133,0.0006702468942351159
R_5QGGlhAzSiOVePL,attribution,8,30,weighted examples,0.5671727801191387,1.0,0.0,0.23105335151466788,0.30497174506666663,1.0,0.2398545554,0.9535458655,0.0,0.0,0.9345130549475767,0.8884953910396058,0.06731487401465946,0.13591383696484927
