participant,domain,xai,original label,target label,case,instance id,attribute values before and after,num attributes changed,distance of counterfactual to original,counterfactual label,valid counterfactual (0/1),distance to closest minimal counterfactual,confidence for target label original,confidence for target label counterfactual,delta confidence of target label
R_1J8ShU0r192gzAd,safelimit,none,Above Limit,Below Limit,5,300,"""Alcohol Units"" - 7(0.687656171914) -> 5(0.437781109445)
""Weight"" - 58.3(0.206975907947)
""Drinking Duration"" - 105(0.327272727273)
""Gender"" - Female(0)
""Stomach Fullness"" - Full(1)",1,0.249875062469,Below Limit,1,0.288547743388,5.21483428954e-15,0.975961677412,0.975961677412
R_1J8ShU0r192gzAd,safelimit,none,Below Limit,Above Limit,6,98,"""Alcohol Units"" - 3.9(0.300349825087) -> 5.25788(0.47)
""Weight"" - 85.7(0.699604458828)
""Drinking Duration"" - 101(0.312727272727)
""Gender"" - Female(0)
""Stomach Fullness"" - Empty(0)",1,0.169650174913,Below Limit,0,0.164635217451,1.04360964315e-14,6.90608431553e-08,6.90608327192e-08
R_1J8ShU0r192gzAd,safelimit,none,Below Limit,Above Limit,7,261,"""Alcohol Units"" - 2.5(0.125437281359) -> 5.01776(0.44)
""Weight"" - 71.5(0.444300611291)
""Drinking Duration"" - 248(0.847272727273)
""Gender"" - Female(0)
""Stomach Fullness"" - Full(1)",1,0.314562718641,Below Limit,0,0.592176638953,0,6.66133814775e-16,6.66133814775e-16
R_1J8ShU0r192gzAd,safelimit,none,Below Limit,Above Limit,8,4,"""Alcohol Units"" - 5.1(0.450274862569) -> 5.57804(0.51)
""Weight"" - 76.4(0.532398417835)
""Drinking Duration"" - 23(0.0290909090909)
""Gender"" - Male(1)
""Stomach Fullness"" - Full(1)",1,0.0597251374313,Below Limit,0,0.921142610513,1.09712905427e-10,1.43555920484e-08,1.4245879143e-08
R_1J8ShU0r192gzAd,safelimit,none,Below Limit,Above Limit,9,209,"""Alcohol Units"" - 4.3(0.350324837581) -> 5.25788(0.47)
""Weight"" - 75.8(0.52161093132)
""Drinking Duration"" - 279(0.96)
""Gender"" - Female(0)
""Stomach Fullness"" - Full(1)",1,0.119675162419,Below Limit,0,0.70464540457,0,0,0
R_1J8ShU0r192gzAd,safelimit,none,Below Limit,Above Limit,10,245,"""Alcohol Units"" - 5(0.437781109445) -> 6(0.56271864068)
""Weight"" - 77(0.543185904351)
""Drinking Duration"" - 213(0.72)
""Gender"" - Male(1)
""Stomach Fullness"" - Full(1)",1,0.124937531234,Below Limit,0,0.730992685475,0,2.22044604925e-16,2.22044604925e-16
R_7CymkLq1W5EbO9c,housing,attribution,Cheap,Expensive,1,3174,"""Living Area"" - 1100(0.0852272727273) -> 1852(0.298863636364)
""Bedrooms"" - 1(0) -> 4(0.666666666667)
""Bathrooms"" - 1.25(0.0909090909091)
""Floors"" - 3(1)
""Construction Grade"" - 9(0.6)",2,0.880303030303,Expensive,1,1.08001893939,0.405495881814,0.984491365974,0.57899548416
R_7CymkLq1W5EbO9c,housing,attribution,Cheap,Expensive,2,2275,"""Living Area"" - 1530(0.207386363636) -> 2438(0.465340909091)
""Bedrooms"" - 3(0.333333333333)
""Bathrooms"" - 3.25(0.818181818182)
""Floors"" - 2(0.666666666667)
""Construction Grade"" - 8(0.4)",1,0.257954545455,Expensive,1,0.548863636364,0.486463617766,0.877232898529,0.390769280764
R_7CymkLq1W5EbO9c,housing,attribution,Cheap,Expensive,3,675,"""Living Area"" - 920(0.0340909090909) -> 1684(0.251136363636)
""Bedrooms"" - 2(0) -> 3(0.333333333333)
""Bathrooms"" - 1(0) -> 2(0.363636363636)
""Floors"" - 1(0) -> 2(0.666666666667)
""Construction Grade"" - 6(0) -> 7(0.2)",5,1.78068181818,Cheap,0,1.68721590909,0.0650342540676,0.305829662423,0.240795408355
R_7CymkLq1W5EbO9c,housing,attribution,Cheap,Expensive,4,102,"""Living Area"" - 1700(0.255681818182) -> 1852(0.298863636364)
""Bedrooms"" - 4(0.666666666667)
""Bathrooms"" - 1.75(0.272727272727) -> 3.0075(0.73)
""Floors"" - 1(0) -> 2(0.666666666667)
""Construction Grade"" - 7(0.2)",3,1.16712121212,Cheap,0,1.03378787879,0.275833056192,0.235027543334,-0.0408055128583
