participant,xai,model family,k,eta,alpha,rho,lambda,beta,age actionable,in-sample loss,in-sample selection_f1,in-sample amount_mae,in-sample direction_accuracy,in-sample selection_nll,5-fold CV loss,5-fold CV selection_f1,5-fold CV amount_mae,5-fold CV direction_accuracy,5-fold CV selection_nll,selected family by CV
R_61HsCAx45Al1wLV,attribution,feature contribution,observed per instance,0.5,1.0,0.5,nan,nan,1,0.24805414782511095,0.6461831456618424,0.14229144131206428,0.7200000000000001,1.99497627392909,0.2688218436387322,0.6050743565274723,0.14271804380493663,0.6391666666666667,2.346648633297254,0
R_61HsCAx45Al1wLV,attribution,weighted examples,observed per instance,0.0,nan,0.5,6.0,0.0,1,0.21768778711240927,0.6670421877176553,0.10241776194247361,0.8400000000000001,2.0474877177447994,0.22300992169878517,0.6670421877176553,0.11306203111522559,0.8399999999999999,2.0474877177447994,1
R_6SHQ1D1ZGzH7pWU,counterfactual,feature contribution,observed per instance,0.5,1.0,1.5,nan,nan,1,0.29013032795694405,0.7160485777542895,0.2963092336681775,0.7858333333333333,1.425161155767982,0.30001324650807637,0.688431478251984,0.28845797126813694,0.7858333333333333,1.6242576927130614,0
R_6SHQ1D1ZGzH7pWU,counterfactual,weighted examples,observed per instance,0.0,nan,1.5,0.0,1.0,1,0.3482729963277351,0.7100200046678082,0.4065659973232784,0.8925000000000001,1.4561580471655344,0.3482729963277351,0.7100200046678081,0.4065659973232785,0.8924999999999998,1.4561580471655347,1
R_6a94wM1ITk1h1po,attribution,feature contribution,observed per instance,1.0,1.0,1.5,nan,nan,1,0.4006243338971169,0.47910346083836364,0.2803521286325973,0.725,1.8890416798202885,0.4325864994630718,0.48959995996999,0.35477295889613364,0.7027777777777777,3.1031899377026,1
R_6a94wM1ITk1h1po,attribution,weighted examples,observed per instance,0.0,nan,1.0,0.0,0.0,1,0.4383201533437502,0.39779049713440184,0.27443080382190216,0.6416666666666666,3.0463965210984854,0.46075943032111677,0.4089292529570369,0.3304481135992706,0.6833333333333332,4.287703478269643,0
R_6cUF1Fm2Jhe3Mu6,none,feature contribution,observed per instance,0.0,0.0,0.5,nan,nan,0,0.43326539298076605,0.3038977022864007,0.17042848824793286,0.85,1.49765412213467,0.4496178365766008,0.2711928150947311,0.17042848824793286,0.85,1.597460394293303,1
R_6cUF1Fm2Jhe3Mu6,none,weighted examples,observed per instance,0.0,nan,0.5,0.0,0.0,0,0.4339227013005395,0.24884113111998918,0.11668653372106826,0.65,1.835763481718962,0.4417274086857783,0.22880103105806135,0.112255848429618,0.65,1.9624116045445263,0
R_6g7evPfeN1c1uOR,counterfactual,feature contribution,observed per instance,0.0,1.0,0.5,nan,nan,1,0.39601594628539977,0.3318371670733101,0.1238690596441098,0.6583333333333333,2.343882737987127,0.43622302302464655,0.24270968213390662,0.11515572818319966,0.475,3.023186725078022,0
R_6g7evPfeN1c1uOR,counterfactual,weighted examples,observed per instance,0.0,nan,1.5,6.0,1.0,1,0.3616852866502171,0.34798830457523655,0.07135887787567077,0.4916666666666666,2.3345235537511586,0.38123425068758,0.3104967248076553,0.0729652261828154,0.5083333333333333,2.6140419946372573,1
R_6glWsdr4qttHZT3,none,feature contribution,observed per instance,0.0,0.0,0.5,nan,nan,1,0.39775303997530387,0.347663474808391,0.14316955475899876,0.7166666666666666,2.382920530022818,0.43390482334768815,0.3129577296409403,0.18076737633631654,0.7166666666666666,3.628426311051945,0
R_6glWsdr4qttHZT3,none,weighted examples,observed per instance,0.0,nan,1.0,6.0,0.0,1,0.3168450559766006,0.47280572897876355,0.1064958409319648,0.9083333333333334,1.7349195778308435,0.3394791793706272,0.46987658348676187,0.1488349422280164,0.875,2.983747081237639,1
R_6je4Jj1MX2gnjbr,none,feature contribution,observed per instance,0.0,1.0,0.5,nan,nan,0,0.34881971822101515,0.5174057170397306,0.21504515348176087,0.5916666666666666,2.530592049657847,0.36295121541262365,0.48914272265651365,0.21504515348176093,0.5916666666666666,2.7977423191648865,0
R_6je4Jj1MX2gnjbr,none,weighted examples,observed per instance,0.0,nan,1.0,0.0,0.0,0,0.27980037965131915,0.5889741059003648,0.14857486520300314,0.7666666666666666,2.0331062170604755,0.2798003796513191,0.5889741059003648,0.14857486520300314,0.7666666666666666,2.033106217060476,1
R_7B5Jtq7sogkM7FU,none,feature contribution,observed per instance,0.0,1.0,0.5,nan,nan,0,0.27733315421608223,0.6611762958697203,0.2158426043018849,0.65,1.5286136975047138,0.2864882500356394,0.6428661042306061,0.21584260430188493,0.65,1.7864980871007519,0
R_7B5Jtq7sogkM7FU,none,weighted examples,observed per instance,0.0,nan,1.0,6.0,0.0,0,0.20558358276303737,0.7501406994050328,0.16130786493110752,0.6916666666666667,1.1089374098200346,0.2104847627851004,0.7420470470726912,0.163016572642892,0.7041666666666666,1.1702435323117109,1
R_7O03wKSKIbtilNG,none,feature contribution,observed per instance,0.0,1.0,0.5,nan,nan,0,0.34014684774015885,0.49461912664930396,0.17491282212962175,0.8375,1.2726661419436704,0.345694263935149,0.48352429425932364,0.17491282212962173,0.8375,1.4376755777161176,0
R_7O03wKSKIbtilNG,none,weighted examples,observed per instance,0.0,nan,1.0,6.0,0.0,0,0.2727649032081244,0.5661080074851961,0.1116378139014449,0.7958333333333333,1.3667218429051804,0.2739581899247893,0.5643104971725871,0.11222687702216576,0.7958333333333333,1.403192702850129,1
R_7ezzz3LznpZsi4S,counterfactual,feature contribution,observed per instance,1.0,1.0,1.5,nan,nan,1,0.40823482360857266,0.5407548788518831,0.3572245260690285,0.4833333333333333,2.870148245503878,0.38888778810321817,0.5407012495424445,0.31847682574888075,0.6041666666666666,3.0619332730698714,0
R_7ezzz3LznpZsi4S,counterfactual,weighted examples,observed per instance,1.0,nan,1.5,6.0,0.0,1,0.35391376687592296,0.608407065650818,0.3162345994026641,0.6666666666666666,2.528574494163947,0.3555288533780079,0.606731463205046,0.3177891699610619,0.6541666666666666,2.5560562556468422,1
R_7mjEPKd4gNiFctJ,none,feature contribution,observed per instance,0.0,0.0,0.5,nan,nan,0,0.4540091574723511,0.3077219645149279,0.21574027945962998,0.9,1.5070167542303134,0.454009157472351,0.30772196451492795,0.21574027945963,0.9,1.507016754230313,0
R_7mjEPKd4gNiFctJ,none,weighted examples,observed per instance,0.0,nan,0.5,0.0,0.0,0,0.3304892725682662,0.4239874408808503,0.08496598601738269,0.9,1.1762558914028705,0.33048927256826616,0.4239874408808503,0.08496598601738267,0.9,1.1762558914028705,1
R_7rpfPxPpvihQdSp,counterfactual,feature contribution,observed per instance,0.0,1.0,0.5,nan,nan,1,0.36827767734347133,0.41957990402004575,0.15613525870698847,0.5666666666666667,2.379899132010741,0.38127962773498897,0.38353236607585706,0.1460916215458351,0.5666666666666667,2.658589326386257,0
R_7rpfPxPpvihQdSp,counterfactual,weighted examples,observed per instance,1.0,nan,1.5,2.0,0.5,1,0.29060908813008257,0.5011482498745077,0.08236642613467257,0.8166666666666667,2.1918354449204047,0.29650718241950036,0.4910014303484401,0.08401579518744082,0.8083333333333332,2.275368383278931,1
R_7wiYsAy6cA2mUR1,attribution,feature contribution,observed per instance,1.0,1.0,0.5,nan,nan,0,0.37979332561758683,0.4990655575246662,0.2586522087598399,0.6833333333333333,1.60419197544159,0.40016065038865456,0.4729555583917782,0.2732768591690872,0.6833333333333333,1.8122088416300854,1
R_7wiYsAy6cA2mUR1,attribution,weighted examples,observed per instance,0.5,nan,1.0,6.0,0.0,0,0.3630010181702218,0.525546842899882,0.25154887924032565,0.575,1.8250410238093178,0.3636103212867049,0.5058066198551809,0.23302726242859081,0.5833333333333333,1.969583146189936,0
