participant,domain,xai,case,instance id,selected model family,model MAP subset probability,observed selection F1 model,observed selection F1 baseline,observed amount MAE model,observed amount MAE baseline,observed validity,observed boundary distance,observed plausibility,model validity,baseline validity,model plausibility,baseline plausibility,model boundary distance,baseline boundary distance
R_12bqooCAAJESsRr,safelimit,attribution,1,87,feature contribution,0.7281169149842142,1.0,0.0,0.03414473810964336,0.440012494,1.0,0.3633076785,0.99674383,1.0,0.0,0.9920798000251817,0.9702997247085979,0.3291629409242561,0.369371687172108
R_12bqooCAAJESsRr,safelimit,attribution,2,203,feature contribution,0.5388597625736453,1.0,1.0,0.17543703490221466,0.12518740600000003,1.0,0.0535557245,0.983358183,0.0,0.0,0.9765236755232497,0.9815561100493198,0.12188131166229721,0.07163168276029719
R_12bqooCAAJESsRr,safelimit,attribution,3,106,feature contribution,0.5914951205825953,1.0,0.0,0.31284357791404294,0.23740629700000002,0.0,0.0422062395,0.9748214468,1.0,0.0,0.9682188879082083,0.9754026164322958,0.27063733948053353,0.5039646219393319
R_12bqooCAAJESsRr,safelimit,attribution,4,143,feature contribution,0.7292616741937501,1.0,0.0,0.04397727083796671,0.305112444,1.0,0.1358171698,0.9792356789,1.0,0.0,0.9880311330377055,0.9856575750567396,0.09092441270571983,0.17021076139869473
R_12bqooCAAJESsRr,safelimit,attribution,5,300,feature contribution,0.5919570253606474,1.0,1.0,0.15165420568922583,0.274812594,1.0,0.1413318476,0.9749677277,0.0,0.0,0.9752310824806831,0.9826732778555314,0.010322358723607539,0.13348074703460755
R_12bqooCAAJESsRr,safelimit,attribution,6,98,feature contribution,0.5859404520282595,0.0,0.0,0.29615333327057475,0.33480222950000005,0.0,0.0010538826,0.9690237991,0.0,0.0,0.9810825900670876,0.9720950682842359,0.2674008642845956,0.18698472708418923
R_12bqooCAAJESsRr,safelimit,attribution,7,261,feature contribution,0.5367851006077743,0.0,1.0,0.7827129612769228,0.6054545450000001,0.0,0.411867991,0.9687148847,1.0,0.0,0.9611562519027821,0.9647780301278213,0.1317432276992847,0.6846058066698129
R_12bqooCAAJESsRr,safelimit,attribution,8,4,feature contribution,0.4533741869353768,1.0,0.0,0.048090198367783304,0.2497251374,1.0,0.0487185588,0.9667407044,1.0,0.0,0.972175138471492,0.9806255303259422,0.09680875716159787,0.2010065797603488
R_12bqooCAAJESsRr,safelimit,attribution,9,209,feature contribution,0.6315614855777947,1.0,0.0,0.236363636,0.723636364,0.0,0.2655858805,0.97444741,0.0,0.0,0.9628455898558517,0.9824170978157092,0.14119374493918235,0.6346133783210511
R_12bqooCAAJESsRr,safelimit,attribution,10,245,feature contribution,0.5753064109736673,1.0,1.0,0.20363636399999996,0.41636363600000004,0.0,0.3475688945,0.9784923539,0.0,0.0,0.9794635964355765,0.9794757568749213,0.23662924221653037,0.6636203238991104
R_12qUeHEbPUo2PTn,housing,none,1,3174,feature contribution,0.34464739303850445,0.4,0.8,0.22946512251146411,0.305012626269697,1.0,0.1856000472,0.9915,1.0,1.0,0.935711832161008,0.9271590909090909,0.08337183991705428,0.17361106614027189
R_12qUeHEbPUo2PTn,housing,none,2,2275,feature contribution,0.3511421609548488,0.5,0.0,0.11499612199047192,0.14069602272499998,1.0,0.3509921275,0.9876704545,1.0,0.0,0.9966841449857169,0.9781818181818182,0.015872425960461956,0.05974279041468078
R_12qUeHEbPUo2PTn,housing,none,3,675,feature contribution,0.44349081417890085,0.5714285714285714,0.6666666666666666,0.27819773399968206,0.379071969675,1.0,0.3517816246,0.9986363636,1.0,0.0,0.9495704806209816,0.9798863636363636,0.17041195116223345,0.22627552265197742
R_12qUeHEbPUo2PTn,housing,none,4,102,feature contribution,0.39991420547028306,0.6666666666666666,0.6666666666666666,0.21532283951922832,0.3409848485,1.0,0.2151087584,0.9803636364,1.0,0.0,0.9282345967261356,0.9581818181818181,0.24607402844045706,0.1268350012266774
R_12qUeHEbPUo2PTn,housing,none,5,577,feature contribution,0.5180544551701834,0.0,1.0,0.5333333333333333,0.3,1.0,0.2875608104,0.98125,1.0,0.0,0.9982954545454545,0.98,0.07352070945024117,0.012554416104254562
R_12qUeHEbPUo2PTn,housing,none,6,2447,feature contribution,1.0,0.8888888888888888,0.8888888888888888,0.4662240062318981,0.5393939395818182,1.0,0.1716226045,0.9998863636,1.0,0.0,0.9555511077923863,0.9593181818181818,0.12318798986579507,0.01693925796384138
R_12qUeHEbPUo2PTn,housing,none,7,1751,feature contribution,1.0,1.0,1.0,0.411138882928786,0.5541666667999999,1.0,0.0495168267,0.9997727273,1.0,0.0,0.9621032573496944,0.9375,0.14427750790890803,0.29730547832369425
R_12qUeHEbPUo2PTn,housing,none,8,553,feature contribution,0.406171629189696,0.75,0.75,0.3886926768585804,0.39384469699999997,1.0,0.0113831202,0.9927840909,1.0,0.0,0.938511301395482,0.9398863636363637,0.1117555224348559,0.20136012955282184
R_12qUeHEbPUo2PTn,housing,none,9,172,feature contribution,0.3639832061331075,0.6666666666666666,0.3333333333333333,0.36203919014262004,0.37309090899999997,1.0,0.0578700256,0.9996363636,1.0,1.0,0.9181565265828736,0.9485227272727272,0.16293302560589512,0.14298339491079548
R_12qUeHEbPUo2PTn,housing,none,10,2728,feature contribution,0.43853406139997103,0.75,0.75,0.33961363653216947,0.3857575756,0.0,0.0807836953,0.9859090909,1.0,1.0,0.9379418531979457,0.9489772727272727,0.21016193772087927,0.015773594421157777
R_17kEVqhzQ2qsxRj,diabetes,none,1,42,feature contribution,0.4890568256905696,0.5,1.0,0.1091450804031754,0.078594664,1.0,0.0911412253,0.9478381122,0.0,0.0,0.9372215462938635,0.9388236297515031,0.09167328729198321,0.0006702468942351159
