participant,domain,xai,testing cases,model family,k,eta,alpha,rho,lambda,beta,age actionable,immutable index,in-sample loss,in-sample selection_f1,in-sample amount_mae,in-sample direction_accuracy,in-sample selection_nll,5-fold CV loss,5-fold CV selection_f1,5-fold CV amount_mae,5-fold CV direction_accuracy,5-fold CV selection_nll,selected family by CV
R_3rxDc2Hw1SSJ2Es,housing,none,20,feature contribution,observed per instance,0.0,0.5,1.5,nan,nan,1,-1,0.2782137704973876,0.7481811232539967,0.30460866424877187,0.6766666666666665,1.3765104593006496,0.2902193145482596,0.7329961152111357,0.3134347443076549,0.6766666666666666,1.5893187129444297,1
R_3rxDc2Hw1SSJ2Es,housing,none,20,weighted examples,observed per instance,0.0,nan,1.0,6.0,0.0,1,-1,0.27019252603206845,0.6997228650831795,0.24010791714731647,0.8666666666666666,2.299469587644332,0.27019252603206845,0.6997228650831795,0.24010791714731644,0.8666666666666666,2.2994695876443325,0
R_3u3Hr91OxYQ7j2h,diabetes,none,20,feature contribution,observed per instance,0.0,0.5,0.5,nan,nan,0,4,0.37283971591561926,0.4577044122449253,0.2033838440761639,0.55,1.6202995327412968,0.39405843393939755,0.41526697619736874,0.2033838440761639,0.55,1.7567160587645927,0
R_3u3Hr91OxYQ7j2h,diabetes,none,20,weighted examples,observed per instance,0.0,nan,1.0,0.0,0.0,0,4,0.33729315179535085,0.46126480867789843,0.13585111226859994,0.85,1.512488843056639,0.34677874881284876,0.46126480867789843,0.1548223063035958,0.85,1.5124888430566392,1
R_502VKXs2OjYkMTQ,diabetes,none,20,feature contribution,observed per instance,0.0,1.0,1.5,nan,nan,0,4,0.3742328222409806,0.6353126581742482,0.3837783026562094,0.5,1.579330756982526,0.37730578246581425,0.629166737724581,0.38377830265620944,0.5,1.678684685734209,0
R_502VKXs2OjYkMTQ,diabetes,none,20,weighted examples,observed per instance,0.0,nan,1.5,0.0,0.0,0,4,0.30550338077855493,0.6468720787618814,0.257878840318991,0.7125,1.4926900496657427,0.3055033807785548,0.6468720787618814,0.257878840318991,0.7125,1.4926900496657427,1
R_51KsCVvwgplPovt,housing,none,20,feature contribution,observed per instance,0.0,1.0,1.0,nan,nan,1,-1,0.3287601824391827,0.6023374807415669,0.2598578456199322,0.6841666666666666,2.0651942029737866,0.33317983923132355,0.6023374807415669,0.26869715920421405,0.6841666666666666,2.0651942029737866,1
R_51KsCVvwgplPovt,housing,none,20,weighted examples,observed per instance,0.0,nan,1.0,6.0,0.0,1,-1,0.29391258231016354,0.5928968336043965,0.18072199822472348,0.925,2.573303286599407,0.2939125823101635,0.5928968336043965,0.18072199822472346,0.925,2.573303286599407,0
R_52EcHdeCk0DGfHz,diabetes,counterfactual,20,feature contribution,observed per instance,1.0,0.0,0.5,nan,nan,1,4,0.2847754377519058,0.5413123615968122,0.11086323710062373,0.6416666666666667,2.258786319419184,0.2947556343448745,0.5213519684108748,0.11086323710062373,0.6416666666666667,2.418620888283944,0
R_52EcHdeCk0DGfHz,diabetes,counterfactual,20,weighted examples,observed per instance,1.0,nan,0.5,6.0,0.5,1,4,0.26694436090940926,0.5327021565941532,0.06659087841297175,0.7583333333333333,2.2594947647879984,0.2692097429456166,0.5289487176765967,0.06736820356782984,0.7583333333333333,2.3236037668056726,1
R_55tIhWzHfQVe7nG,diabetes,counterfactual,20,feature contribution,observed per instance,1.0,1.0,1.0,nan,nan,0,4,0.23682361809552827,0.6633326520713416,0.13697988826239801,0.7416666666666666,1.0582301185254734,0.23682361809552824,0.6633326520713416,0.13697988826239804,0.7416666666666666,1.0582301185254732,1
R_55tIhWzHfQVe7nG,diabetes,counterfactual,20,weighted examples,observed per instance,1.0,nan,1.5,2.0,1.0,0,4,0.2532485118631602,0.6567659153327703,0.16326293905909076,0.7,1.1537396482386515,0.27216573738620736,0.6148314485387587,0.1591629233111734,0.7666666666666666,1.5856906933107573,0
R_5ARKBiJcbeCMbPI,housing,none,10,feature contribution,observed per instance,0.0,0.0,1.5,nan,nan,1,-1,0.28081367916669453,0.6501668953319155,0.2117942536653044,0.7583333333333333,1.717473152686484,0.2852416557896019,0.6501668953319155,0.2206502069111192,0.7583333333333332,1.717473152686484,1
R_5ARKBiJcbeCMbPI,housing,none,10,weighted examples,observed per instance,0.0,nan,1.0,0.0,0.0,1,-1,0.27428453123106583,0.5960661964225905,0.1446352588847222,0.95,2.281096635597744,0.286372125927581,0.5960661964225905,0.16881044827775252,0.95,2.281096635597745,0
