participant,xai,case,instance id,selected model family,model MAP subset probability,observed selection F1 model,observed selection F1 baseline,observed amount MAE model,observed amount MAE baseline,observed validity,observed boundary distance,observed plausibility,model validity,baseline validity,model plausibility,baseline plausibility,model boundary distance,baseline boundary distance
R_1CWrMhp5nGpISLk,counterfactual,13,130307,feature contribution,0.35062666937715575,0.6666666666666666,0.3333333333333333,0.20905428143439814,0.18799290389950002,0.0,0.0603576735907,0.920156941703,0.0,1.0,0.9959466728529764,0.94,0.11774836521820103,0.009307263005994992
R_1CWrMhp5nGpISLk,counterfactual,14,130301,feature contribution,0.41701648357340537,0.0,0.0,0.22081181908402117,0.1730022478225,0.0,0.137938171615,0.956668318425,0.0,0.0,0.9608761714953915,0.98,0.15343173236451657,0.06242799290694792
R_1CWrMhp5nGpISLk,counterfactual,15,130303,feature contribution,0.46783322354504664,0.5,0.0,0.10404939528281561,0.1172152157975,0.0,0.114477279086,0.947717460567,0.0,1.0,0.9491488590538216,0.9429356715718652,0.06425089141507961,0.07151524697015053
R_1CWrMhp5nGpISLk,counterfactual,16,130309,feature contribution,0.35062666937715575,0.6666666666666666,0.6666666666666666,0.14379960101904715,0.1139618269545,0.0,0.212836357615,0.890684877556,0.0,0.0,0.900730570099162,0.9000256865076681,0.05135963480061578,0.08126202417262773
R_1CWrMhp5nGpISLk,counterfactual,17,130308,feature contribution,0.41701648357340537,0.0,0.0,0.18159790117530383,0.1421972464175,0.0,0.104140562148,0.941066644446,0.0,0.0,0.9361314474882722,0.9370594564701905,0.0019156715860048634,0.08071698110200487
R_1CWrMhp5nGpISLk,counterfactual,18,130305,feature contribution,0.41701648357340537,0.0,0.0,0.19008969791219738,0.15475835908949997,0.0,0.212825668227,0.958096656364,1.0,0.0,0.9658674644709211,0.98,0.06127833705603636,0.09255548273013536
R_1CWrMhp5nGpISLk,counterfactual,19,130302,feature contribution,0.41701648357340537,0.0,1.0,0.2757469927816971,0.21005338578300004,0.0,0.287137259022,0.98048329358,0.0,0.0,0.9517118800439212,0.98,0.27276736650616173,0.11520523964646741
R_1CWrMhp5nGpISLk,counterfactual,20,130304,feature contribution,0.46783322354504664,0.5,0.5,0.13459052478251668,0.1860298545165,0.0,0.0868246415591,0.942261420733,0.0,1.0,0.9603694198951196,0.96,0.05807342774763269,0.11269873946922332
R_1Gjl0Vj3LRbQDQL,counterfactual,1,130208,weighted examples,0.722184311124552,0.0,1.0,0.23082620509839008,0.0010146003464000103,0.0,0.0244873727525,0.980202920069,1.0,0.0,0.9351972966461792,0.98,0.16632463866277158,0.023472772405437103
R_1Gjl0Vj3LRbQDQL,counterfactual,2,130207,weighted examples,0.2950826158015611,0.5,0.0,0.06317156994822005,0.124527900923975,1.0,0.0259902374621,0.941998077391,1.0,0.0,0.9276347020957159,0.96,0.12860710501191558,0.11739515314392404
R_1Gjl0Vj3LRbQDQL,counterfactual,3,130209,weighted examples,0.73495800421236,0.0,0.0,0.33179695739138754,0.12024445068849998,0.0,0.0467647797402,0.971902219725,1.0,0.0,0.9414508273635149,0.98,0.03181747443794264,0.05615948306888044
