participant,domain,xai,selected model family,observed validity,model validity,baseline validity,observed boundary distance,model boundary distance,baseline boundary distance,observed plausibility,model plausibility,baseline plausibility,model selection F1,baseline selection F1,model amount MAE,baseline amount MAE
R_3dxYvw8kqqJYsmL,diabetes,none,feature contribution,0.45,0.15,0.25,0.10767196964999999,0.13647492942323497,0.13629865717364797,0.929303984365,0.9262426550826893,0.9266011015786321,0.8416666666666666,0.6416666666666666,0.10795212234054319,0.10710159735808795
R_3fTrP1eNSLr6OFA,housing,attribution,weighted examples,0.3,0.5,0.3,0.20138396068000003,0.1375144774502395,0.18389169336995223,0.98991477272,0.973467803030303,0.9767954545454547,0.31666666666666665,0.19,0.521759785420808,0.33079308715333333
R_3irfiuQFDddFGoo,diabetes,counterfactual,weighted examples,0.55,0.6,0.2,0.14181647292000002,0.07922896309958065,0.09500318195016656,0.932312926475,0.945474979496552,0.9240440409964433,0.7666666666666666,0.6566666666666665,0.26569601121896824,0.2353990364715734
R_3nxy8fTXACyezRw,housing,counterfactual,weighted examples,0.45,0.6,0.25,0.14424206848499999,0.09350840969636318,0.22914095635881182,0.9853732954549999,0.970324532921285,0.9805767045454546,0.5,0.21666666666666665,0.28684883044518716,0.29079569128999994
R_3oGxWzvzrZAX87o,diabetes,counterfactual,feature contribution,0.45,0.2,0.2,0.09394821770000002,0.11147711853483996,0.13295191586188018,0.9276159543850001,0.9242228862495375,0.9303030195668155,0.6041666666666666,0.47750000000000004,0.21362578105388183,0.21447683245408786
R_3obc8KIkN9SGl0t,diabetes,attribution,weighted examples,0.55,0.3,0.25,0.19183562973,0.08147965100358735,0.1298786322779674,0.91192561536,0.937475643417837,0.9244955002391988,0.4416666666666666,0.4416666666666666,0.2421874458778957,0.23640701086227028
R_3rxDc2Hw1SSJ2Es,housing,none,feature contribution,0.8,0.85,0.35,0.18276813190500002,0.1353602616116936,0.17286932201186478,0.9928880681850002,0.9595383421572494,0.9533437499999999,0.7672222222222222,0.7466269841269841,0.3046494971706859,0.3616349746919924
R_3u3Hr91OxYQ7j2h,diabetes,none,weighted examples,0.45,0.7,0.25,0.14386300881,0.12130291856470254,0.12902052651119242,0.9350228054449999,0.9333618608648969,0.9285241586919109,0.425,0.35,0.22679322938814123,0.1936841592203829
R_502VKXs2OjYkMTQ,diabetes,none,weighted examples,0.5,0.8,0.4,0.19986165640500003,0.17652984644519193,0.12941909019593295,0.9166330688000001,0.9261218379906273,0.9267808963665252,0.6583333333333333,0.6483333333333332,0.3177776010131725,0.3597625179787918
R_51KsCVvwgplPovt,housing,none,feature contribution,0.8,0.55,0.4,0.17057397134,0.1262463006782625,0.19869062661448883,0.99218238637,0.9669514587930108,0.9618153409090908,0.6838492063492063,0.6646825396825397,0.23079465363354731,0.2884296085790303
R_52EcHdeCk0DGfHz,diabetes,counterfactual,weighted examples,0.35,0.15,0.35,0.096985512315,0.12274586786492894,0.12914787700583322,0.9323608144050001,0.929879985938521,0.9262529825859487,0.4999999999999999,0.44833333333333336,0.0782754116589322,0.10134453364687904
R_55tIhWzHfQVe7nG,diabetes,counterfactual,feature contribution,0.55,0.35,0.45,0.128191402205,0.10264754090624939,0.1181186669779383,0.930951959445,0.9244254767089023,0.9290257327269412,0.8833333333333332,0.5166666666666666,0.12025734176098965,0.17469437157711956
R_5ARKBiJcbeCMbPI,housing,none,feature contribution,0.4,0.9,0.4,0.12421048782000002,0.08707469660073827,0.13229685384611783,0.9951056818099998,0.9667278833569195,0.9590113636363636,0.7440476190476191,0.5380952380952381,0.20958713991275002,0.2953545454425303
R_5BSmZ6kOyBcgvGO,diabetes,counterfactual,weighted examples,0.25,0.25,0.2,0.13896772268500002,0.10848281229838164,0.1397377315097598,0.92781226105,0.9346245747371281,0.921896113459236,0.6,0.4,0.09396309355108542,0.09727242452093057
R_5DSzaEugkyhB8He,housing,none,feature contribution,0.3,0.6,0.3,0.20404154074999997,0.09290537934370524,0.174213550814512,0.98478219696,0.9783657441372988,0.9846250000000001,0.25,0.06666666666666667,0.3701843760030055,0.3949384470066666
R_5JCJbR8oOgkjlA0,diabetes,attribution,feature contribution,0.95,0.35,0.3,0.151215574685,0.10383564135520514,0.1172919434924898,0.9212736612800001,0.9310650249936655,0.9237654458891837,0.7678571428571428,0.6410714285714285,0.2736463580402162,0.24506411995140964
R_5JrAewWP4QfNMDy,housing,attribution,weighted examples,0.7,0.6,0.3,0.12511819059,0.18116748538462943,0.13577766495599,0.9915409091,0.9544674242424243,0.9670454545454545,0.5666666666666667,0.5216666666666667,0.3308265152147879,0.30014141413104545
R_5OT6oo9gKTZyooh,diabetes,none,feature contribution,0.7,0.55,0.25,0.19783715395499996,0.1359674143376084,0.12410543234971991,0.9130533564300001,0.9176468017602625,0.925456066344813,1.0,0.5416666666666666,0.2939510114735098,0.3031208048
R_5PStwIHXgmZwa9J,diabetes,none,feature contribution,0.8,0.35,0.4,0.10026047370999999,0.15109437434575898,0.10742378278709748,0.932640221435,0.9243518552834938,0.9257433958676801,0.8440476190476189,0.7923809523809523,0.19763269527387953,0.20483212331615674
R_5QGGlhAzSiOVePL,diabetes,attribution,weighted examples,0.55,0.7,0.2,0.11241491049499999,0.09899063314405554,0.11728467995182232,0.9327415838799998,0.9438655597907802,0.9259702363046006,0.6,0.475,0.21363731514860054,0.23424026883350463
R_5a6S4hSnNMThfbj,diabetes,counterfactual,weighted examples,0.5,0.5,0.25,0.08284651105500002,0.0902652122472312,0.13908079194745926,0.9302063278950001,0.9176266143350867,0.9241202497398138,0.75,0.275,0.14991325019380994,0.21860063308749997
R_5aFAlypirbiSy54,housing,counterfactual,weighted examples,0.7,0.6,0.3,0.24650913912,0.19263491394792526,0.1193523048973476,0.9910499999900001,0.9501198047955883,0.9570000000000001,0.75,0.7238095238095237,0.27839063810798936,0.42917998736684854
R_5b2MBKWDgnmpE3f,diabetes,none,feature contribution,0.5,0.55,0.3,0.19746350375500002,0.16999075369773625,0.135010050596641,0.9273001492949999,0.9054558457894831,0.9234375047491483,0.6900000000000001,0.665,0.33065677355124545,0.3799776942358844
R_5c5e5Qjh8Qn7MSE,diabetes,attribution,feature contribution,0.7,0.35,0.4,0.13053496568499998,0.12118618930139095,0.11505042264072969,0.9185495558050001,0.9230552600112851,0.9220025941100907,0.8595238095238095,0.5761904761904761,0.32564370833596296,0.3018723658061594
R_5fiJADPk00t6Se9,safelimit,counterfactual,feature contribution,0.5,0.1,0.1,0.38290836212,0.1629844109186082,0.2972949194051263,0.97369441761,0.9797440053021088,0.9757136713000761,0.5357142857142858,0.3857142857142857,0.3139798997778105,0.3238412684216666
R_5g60ppMS88e6WxS,housing,none,weighted examples,0.8,0.7,0.3,0.24015251335000004,0.23573476772653362,0.13888785324617908,0.9956386363599998,0.9730299606990748,0.9692386363636363,0.5833333333333333,0.3483333333333333,0.31013612763587267,0.3014403409159697
R_5g6goAxW0POnfXS,housing,counterfactual,weighted examples,0.2,0.5,0.2,0.12940018551000002,0.17352063060470074,0.15520401725332827,0.98930681817,0.9759975618241927,0.9659886363636364,0.45,0.3,0.29077498602348634,0.2790684974266667
R_5j6OULl151xAZzJ,diabetes,attribution,feature contribution,0.35,0.3,0.2,0.144517452445,0.12317634494116123,0.12609576270443798,0.9296275958300001,0.9220737113684712,0.9240550193119701,0.625,0.3,0.10123831708295875,0.14652225647538286
