participant,domain,xai,direction,case,instance,valid,margin_pp,boundary_progress_pp,change_l1,n_changed
R_5rPkDbCA9RBiFjd,safelimit,counterfactual,Below Limit to Above Limit,3,4,0,-50.0000,-0.0000,0.180275,1
R_5rPkDbCA9RBiFjd,safelimit,counterfactual,Below Limit to Above Limit,4,209,0,-50.0000,0.0000,0.160325,1
R_5rPkDbCA9RBiFjd,safelimit,counterfactual,Below Limit to Above Limit,5,245,0,-50.0000,0.0000,0.160896,2
R_6DZbalJ8TCZtARb,safelimit,counterfactual,Above Limit to Below Limit,1,87,1,50.0000,100.0000,1.690025,2
R_6DZbalJ8TCZtARb,safelimit,counterfactual,Above Limit to Below Limit,2,203,0,-49.3729,0.6271,1.000000,1
R_6DZbalJ8TCZtARb,safelimit,counterfactual,Above Limit to Below Limit,3,106,0,-50.0000,0.0000,2.000000,2
R_6DZbalJ8TCZtARb,safelimit,counterfactual,Above Limit to Below Limit,4,143,1,50.0000,100.0000,1.545112,2
R_6DZbalJ8TCZtARb,safelimit,counterfactual,Above Limit to Below Limit,5,300,1,49.7383,99.7383,1.124938,2
R_6DZbalJ8TCZtARb,safelimit,counterfactual,Below Limit to Above Limit,1,98,1,49.9623,99.9623,0.681423,2
R_6DZbalJ8TCZtARb,safelimit,counterfactual,Below Limit to Above Limit,2,261,0,-50.0000,0.0000,0.970017,2
R_6DZbalJ8TCZtARb,safelimit,counterfactual,Below Limit to Above Limit,3,4,0,-49.9992,0.0008,1.000000,1
R_6DZbalJ8TCZtARb,safelimit,counterfactual,Below Limit to Above Limit,4,209,0,-50.0000,0.0000,0.643636,1
R_6DZbalJ8TCZtARb,safelimit,counterfactual,Below Limit to Above Limit,5,245,0,-50.0000,0.0000,1.494545,2
R_3da8jwTxaAuNxsI,housing,none,Expensive to Cheap,1,2447,1,22.5004,52.6792,2.688163,5
R_3da8jwTxaAuNxsI,housing,none,Expensive to Cheap,2,1751,1,33.6086,78.3588,2.396080,5
R_3da8jwTxaAuNxsI,housing,none,Expensive to Cheap,3,553,0,-1.9422,38.7560,2.004261,5
R_3da8jwTxaAuNxsI,housing,none,Expensive to Cheap,4,172,0,-10.6160,13.7271,1.758788,2
R_3da8jwTxaAuNxsI,housing,none,Expensive to Cheap,5,2728,0,-15.3479,24.4894,1.628788,2
R_3da8jwTxaAuNxsI,housing,none,Cheap to Expensive,1,3174,1,49.4991,58.9496,2.221705,3
R_3da8jwTxaAuNxsI,housing,none,Cheap to Expensive,2,2275,1,35.4649,36.8185,0.837595,2
R_3da8jwTxaAuNxsI,housing,none,Cheap to Expensive,3,675,0,-16.9287,26.5679,2.180777,5
R_3da8jwTxaAuNxsI,housing,none,Cheap to Expensive,4,102,0,-16.4951,5.9216,0.666667,1
R_3da8jwTxaAuNxsI,housing,none,Cheap to Expensive,5,577,0,-16.8392,-1.4954,0.666667,1
R_5aFAlypirbiSy54,housing,counterfactual,Expensive to Cheap,1,2447,1,45.4659,75.6447,2.262424,4
R_5aFAlypirbiSy54,housing,counterfactual,Expensive to Cheap,2,1751,1,22.3003,67.0505,1.894318,4
R_5aFAlypirbiSy54,housing,counterfactual,Expensive to Cheap,3,553,1,8.3016,48.9998,2.043182,5
R_5aFAlypirbiSy54,housing,counterfactual,Expensive to Cheap,4,172,1,21.2259,45.5690,1.588788,2
R_5aFAlypirbiSy54,housing,counterfactual,Expensive to Cheap,5,2728,0,-12.7019,27.1354,1.578788,2
R_5aFAlypirbiSy54,housing,counterfactual,Cheap to Expensive,1,3174,1,49.6322,59.0826,2.049545,3
