participant,xai,model family,eta,alpha,rho,lambda,beta,k,in-sample combined loss,in-sample selection F1,in-sample amount MAE,in-sample direction accuracy,5-fold CV combined loss,5-fold CV selection F1,5-fold CV amount MAE,5-fold CV direction accuracy,selected family by CV
R_5IirXiajB47ue8i,none,weighted examples,0.0,nan,0.5,0.0,0.0,observed per instance,0.38168129926363464,0.5125,0.2758625985272693,0.9642857142857143,0.3893788968338948,0.5125,0.2912577936677897,0.9666666666666668,1
R_5Qg3F8vwXGPLT2w,counterfactual,feature contribution,0.0,0.0,0.5,nan,nan,observed per instance,0.323113060547721,0.5208333333333333,0.1670594544287753,0.8425925925925926,0.323113060547721,0.5208333333333333,0.1670594544287753,0.8083333333333332,1
R_5Qg3F8vwXGPLT2w,counterfactual,weighted examples,0.0,nan,1.5,2.0,0.5,observed per instance,0.29972838979358224,0.5625,0.1619567795871646,0.8333333333333333,0.3524478601114246,0.4833333333333333,0.18822905355618233,0.775,0
R_5cuMJZcXnXdkcTS,none,feature contribution,0.0,0.0,0.5,nan,nan,observed per instance,0.3879130345322397,0.4416666666666666,0.21749273573114608,0.90625,0.38791303453223963,0.4416666666666666,0.21749273573114608,0.9111111111111111,0
R_5cuMJZcXnXdkcTS,none,weighted examples,0.0,nan,0.5,0.0,0.0,observed per instance,0.31658400859664637,0.5791666666666666,0.2123346838599595,0.8888888888888888,0.3165840085966464,0.5791666666666666,0.2123346838599595,0.8861111111111111,1
R_61FqPsVQ8CmSH4d,counterfactual,feature contribution,1.0,0.5,1.5,nan,nan,observed per instance,0.27953241047278427,0.65,0.20906482094556855,1.0,0.2795324104727843,0.65,0.20906482094556864,1.0,1
R_61FqPsVQ8CmSH4d,counterfactual,weighted examples,0.0,nan,1.5,0.0,1.0,observed per instance,0.3405378836794439,0.7,0.38107576735888793,1.0,0.38409432377034414,0.6,0.3681886475406884,1.0,0
R_61HsCAx45Al1wLV,attribution,feature contribution,0.5,1.0,0.5,nan,nan,observed per instance,0.22376123821858118,0.6891666666666667,0.13668914310382912,0.792982456140351,0.26788397053399693,0.6033333333333333,0.1391012744013272,0.8533333333333333,0
R_61HsCAx45Al1wLV,attribution,weighted examples,0.0,nan,0.5,2.0,0.0,observed per instance,0.22140622631673706,0.6666666666666666,0.10947911930014084,0.93,0.23386040078146544,0.6416666666666666,0.10938746822959752,0.9366666666666668,1
R_6SHQ1D1ZGzH7pWU,counterfactual,feature contribution,0.5,1.0,1.5,nan,nan,observed per instance,0.21472470411887362,0.8620238095238095,0.29147321776155666,0.8316666666666667,0.22801769861534563,0.8352380952380953,0.2912734924687865,0.8566666666666667,1
R_6SHQ1D1ZGzH7pWU,counterfactual,weighted examples,0.0,nan,1.5,0.0,1.0,observed per instance,0.26118763197220296,0.8602777777777778,0.3826530417221836,0.9875,0.2611876319722029,0.8602777777777778,0.3826530417221836,0.9875,0
