participant,domain,xai,direction,case,instance,valid,margin_pp,change_l1,n_changed
R_5g6goAxW0POnfXS,housing,counterfactual,Cheap to Expensive,1,3174,0,-28.4469,1.333333,1
R_5g6goAxW0POnfXS,housing,counterfactual,Cheap to Expensive,2,2275,0,-9.1164,0.711515,2
R_5g6goAxW0POnfXS,housing,counterfactual,Cheap to Expensive,3,675,0,-41.3387,0.432386,1
R_5g6goAxW0POnfXS,housing,counterfactual,Cheap to Expensive,4,102,0,-9.8274,0.500227,2
R_5g6goAxW0POnfXS,housing,counterfactual,Cheap to Expensive,5,577,1,27.6485,0.864962,2
R_5g6goAxW0POnfXS,housing,counterfactual,Expensive to Cheap,1,2447,0,-39.4959,0.960985,2
R_5g6goAxW0POnfXS,housing,counterfactual,Expensive to Cheap,2,1751,0,-38.4441,1.084848,2
R_5g6goAxW0POnfXS,housing,counterfactual,Expensive to Cheap,3,553,0,-36.5695,0.625095,2
R_5g6goAxW0POnfXS,housing,counterfactual,Expensive to Cheap,4,172,1,18.5895,1.012121,2
R_5g6goAxW0POnfXS,housing,counterfactual,Expensive to Cheap,5,2728,0,-28.6522,0.551231,2
R_12qUeHEbPUo2PTn,housing,none,Expensive to Cheap,1,2447,1,25.2349,2.906061,5
R_12qUeHEbPUo2PTn,housing,none,Expensive to Cheap,2,1751,1,11.4055,2.870833,5
R_12qUeHEbPUo2PTn,housing,none,Expensive to Cheap,3,553,1,4.4179,1.969223,4
R_12qUeHEbPUo2PTn,housing,none,Expensive to Cheap,4,172,1,10.8500,1.898788,3
R_12qUeHEbPUo2PTn,housing,none,Expensive to Cheap,5,2728,0,-26.1348,2.062121,4
R_12qUeHEbPUo2PTn,housing,none,Cheap to Expensive,1,3174,1,49.3272,1.257462,3
R_12qUeHEbPUo2PTn,housing,none,Cheap to Expensive,2,2275,1,39.6146,0.362784,2
R_12qUeHEbPUo2PTn,housing,none,Cheap to Expensive,3,675,1,36.4222,1.716288,4
R_12qUeHEbPUo2PTn,housing,none,Cheap to Expensive,4,102,1,40.2938,1.263939,3
R_12qUeHEbPUo2PTn,housing,none,Cheap to Expensive,5,577,1,36.7394,0.400000,1
R_5qAk52BxKeKkOOJ,safelimit,attribution,Below Limit to Above Limit,1,98,0,-50.0000,0.089650,1
R_5qAk52BxKeKkOOJ,safelimit,attribution,Below Limit to Above Limit,2,261,0,-50.0000,0.064563,1
R_5qAk52BxKeKkOOJ,safelimit,attribution,Below Limit to Above Limit,3,4,0,-50.0000,0.089725,1
R_5qAk52BxKeKkOOJ,safelimit,attribution,Below Limit to Above Limit,4,209,0,-50.0000,0.079675,1
R_5qAk52BxKeKkOOJ,safelimit,attribution,Below Limit to Above Limit,5,245,0,-50.0000,0.124938,1
R_5qAk52BxKeKkOOJ,safelimit,attribution,Above Limit to Below Limit,1,87,0,-50.0000,0.090025,1
R_5qAk52BxKeKkOOJ,safelimit,attribution,Above Limit to Below Limit,2,203,0,-50.0000,0.075187,1
R_5qAk52BxKeKkOOJ,safelimit,attribution,Above Limit to Below Limit,3,106,0,-50.0000,0.124938,1
R_5qAk52BxKeKkOOJ,safelimit,attribution,Above Limit to Below Limit,4,143,0,-49.9999,0.095112,1
R_5qAk52BxKeKkOOJ,safelimit,attribution,Above Limit to Below Limit,5,300,0,-50.0000,0.124938,1
R_6vdUndtY54RqpVv,housing,counterfactual,Expensive to Cheap,1,2447,0,-36.2192,0.333333,1
R_6vdUndtY54RqpVv,housing,counterfactual,Expensive to Cheap,2,1751,0,-36.7019,0.200000,1
R_6vdUndtY54RqpVv,housing,counterfactual,Expensive to Cheap,3,553,0,-26.4401,0.200000,1
R_6vdUndtY54RqpVv,housing,counterfactual,Expensive to Cheap,4,172,1,36.8594,1.333333,1
R_6vdUndtY54RqpVv,housing,counterfactual,Expensive to Cheap,5,2728,0,-4.9365,0.666667,1
R_6vdUndtY54RqpVv,housing,counterfactual,Cheap to Expensive,1,3174,0,-28.4469,1.333333,1
R_6vdUndtY54RqpVv,housing,counterfactual,Cheap to Expensive,2,2275,1,17.7985,0.333333,1
R_6vdUndtY54RqpVv,housing,counterfactual,Cheap to Expensive,3,675,0,-41.0754,0.415341,1
R_6vdUndtY54RqpVv,housing,counterfactual,Cheap to Expensive,4,102,0,-16.4951,0.666667,1
R_6vdUndtY54RqpVv,housing,counterfactual,Cheap to Expensive,5,577,0,-16.8392,0.666667,1
R_67vRcoYqomc0aH9,housing,attribution,Cheap to Expensive,1,3174,0,-14.3383,0.400000,1
R_67vRcoYqomc0aH9,housing,attribution,Cheap to Expensive,2,2275,1,49.8888,0.940057,3
R_67vRcoYqomc0aH9,housing,attribution,Cheap to Expensive,3,675,1,20.4678,2.510227,5
R_67vRcoYqomc0aH9,housing,attribution,Cheap to Expensive,4,102,1,28.5874,1.682917,4
R_67vRcoYqomc0aH9,housing,attribution,Cheap to Expensive,5,577,0,-6.2803,1.318939,3
R_67vRcoYqomc0aH9,housing,attribution,Expensive to Cheap,1,2447,0,-42.8350,1.105758,2
R_67vRcoYqomc0aH9,housing,attribution,Expensive to Cheap,2,1751,0,-45.6816,0.558788,2
R_67vRcoYqomc0aH9,housing,attribution,Expensive to Cheap,3,553,0,-29.1849,1.697841,4
R_67vRcoYqomc0aH9,housing,attribution,Expensive to Cheap,4,172,1,22.9300,0.666667,1
R_67vRcoYqomc0aH9,housing,attribution,Expensive to Cheap,5,2728,0,-4.9365,0.666667,1
