participant,xai,model family,k,eta,alpha,rho,lambda,beta,age actionable,in-sample loss,in-sample selection_f1,in-sample amount_mae,in-sample direction_accuracy,in-sample selection_nll,5-fold CV loss,5-fold CV selection_f1,5-fold CV amount_mae,5-fold CV direction_accuracy,5-fold CV selection_nll,selected family by CV
R_3B7CxgDgEzWSvrb,counterfactual,feature contribution,observed per instance,1.0,1.0,0.5,nan,nan,1,0.40212240509289254,0.3731310832920598,0.17737589347784485,0.665043738944158,2.35263566544794,0.41662094125904847,0.34363985312932016,0.17688173564741688,0.7071879413951911,3.8800377605718332,0
R_3B7CxgDgEzWSvrb,counterfactual,weighted examples,observed per instance,0.0,nan,0.5,6.0,0.5,1,0.358634847985183,0.44647399768027274,0.16374369365063882,0.7621849804131482,1.829068907024777,0.3673306270247158,0.4384438182163475,0.17310507226577893,0.7582593276284785,3.2127506766904332,1
R_3MQqO18M5uhCVdT,counterfactual,feature contribution,observed per instance,0.0,0.5,0.5,nan,nan,0,0.28949817605663253,0.5670661665061865,0.1460625186194516,0.9875,1.12780905888741,0.29374159645705106,0.5605295580454339,0.14801275095953598,0.9875,1.182869799537151,1
R_3MQqO18M5uhCVdT,counterfactual,weighted examples,observed per instance,0.0,nan,1.5,0.0,1.0,0,0.32217872230474065,0.4949807153464095,0.13933815995589094,0.8864558229226219,1.5131206624667255,0.3466509251502652,0.456667836813224,0.1499696871137544,0.8346728534797474,1.6877897852100907,0
R_3OZ3Mh6AZsBTXup,counterfactual,feature contribution,observed per instance,0.5,0.0,0.5,nan,nan,0,0.35836003159009805,0.44324839666095794,0.15996845984115407,0.7216140531726886,1.4802269055217239,0.3740207399381421,0.4184675786190857,0.1665090584953699,0.7352500265102583,1.5412144613357746,0
R_3OZ3Mh6AZsBTXup,counterfactual,weighted examples,observed per instance,0.0,nan,0.5,0.0,0.0,0,0.3942802499740895,0.41145963331821916,0.20002013326639823,0.8216203815914817,1.4573443405890647,0.39428024997408956,0.41145963331821916,0.20002013326639828,0.8216203815914817,1.457344340589065,1
R_3RUOoa2ojaPNwoF,attribution,feature contribution,observed per instance,0.5,1.0,1.5,nan,nan,0,0.3140486836195647,0.639190408837659,0.2672877760767883,0.52927119304438,1.6628554872750556,0.33101895471285536,0.6066713555241965,0.2687092649499072,0.5421314418385142,1.9714451047434558,0
R_3RUOoa2ojaPNwoF,attribution,weighted examples,observed per instance,0.0,nan,1.0,0.0,0.0,0,0.30683356062371986,0.6518254592952072,0.265492580542647,0.7888059686291934,1.6255516457385777,0.30683356062371986,0.6518254592952073,0.265492580542647,0.7888059686291934,1.6255516457385781,1
R_3cKOdqKWicLMTCx,counterfactual,feature contribution,observed per instance,0.0,0.5,0.5,nan,nan,0,0.24389351049877148,0.6635011053915228,0.15128812638906589,0.7974032409142684,1.6031870883443866,0.2628572703642978,0.6302598456291049,0.1559743863577003,0.78864669872117,1.842787176949156,0
R_3cKOdqKWicLMTCx,counterfactual,weighted examples,observed per instance,0.0,nan,0.5,0.0,0.0,0,0.19995072480036233,0.7367419942283933,0.1366434438291179,0.8542723385125207,1.0736258090250155,0.19995072480036233,0.7367419942283933,0.13664344382911792,0.854272338512521,1.0736258090250153,1
