domain,training explanation condition,test case,instance id,original label,target label,strategy,attribute selection method,change amount method,maximum attributes allowed,actual attributes changed,changed attributes,sparsity,proximity,model-consistent proximity,plausibility,plausibility (subset),original target confidence,target confidence edited,target confidence gain,valid counterfactual (0/1),actionable (0/1),valid and actionable (0/1),boundary distance original,boundary distance edited,boundary distance change (edited - original)
diabetes,counterfactual,13,130302,No Diabetes,Diabetes,Nearest target example + example values,Nearest target example,Nearest target-example value,2,2,insulin / age,0.6,0.4329652592458825,0.4329652592458825,0.917985249570943,0.9280128367645439,3.065716880357172e-06,0.017571979533630322,0.017568913816749965,0,0,0,0.20413527522306554,0.05908896733691815,-0.1450463078861474
diabetes,counterfactual,13,130302,No Diabetes,Diabetes,Nearest target example + example values,Nearest target example,Nearest target-example value,3,3,glucose / insulin / age,0.4,0.5244462998852295,0.5244462998852295,0.9362814576988123,0.9097166286366745,3.065716880357172e-06,0.08660096897470171,0.08659790325782135,0,0,0,0.20413527522306554,0.03532451199754566,-0.16881076322551988
diabetes,counterfactual,13,130302,No Diabetes,Diabetes,Similar remembered edit + copied amounts,Similar remembered edit,Remembered edit amount,1,1,insulin,0.8,0.20828177843768006,0.20828177843768006,0.958343644312464,0.875652235628887,3.065716880357172e-06,0.9742618201363598,0.9742587544194794,1,1,1,0.20413527522306554,0.05213856829648067,-0.15199670692658487
diabetes,counterfactual,13,130302,No Diabetes,Diabetes,Similar remembered edit + copied amounts,Similar remembered edit,Remembered edit amount,2,2,glucose / insulin,0.6,0.3082647745267806,0.3082647745267806,0.9623891191612299,0.8717769172646899,3.065716880357172e-06,0.9993689656713988,0.9993658999545184,1,1,1,0.20413527522306554,0.10616385407823278,-0.09797142114483276
diabetes,counterfactual,13,130302,No Diabetes,Diabetes,Similar remembered edit + copied amounts,Similar remembered edit,Remembered edit amount,3,2,glucose / insulin,0.6,0.3082647745267806,0.3082647745267806,0.9623891191612299,0.8717769172646899,3.065716880357172e-06,0.9993689656713988,0.9993658999545184,1,1,1,0.20413527522306554,0.10616385407823278,-0.09797142114483276
diabetes,counterfactual,14,130303,No Diabetes,Diabetes,Current-case contribution + estimated flip amount,Current-case contribution,Estimated amount needed to flip the cognitive model,1,1,glucose,0.8,0.09817674218979078,0.09817674218979078,0.9803646515620419,0.7990747066165863,0.0003454347816943537,0.043627127112703,0.04328169233100865,0,1,0,0.17190989610682528,0.07392836009089099,-0.09798153601593429
diabetes,counterfactual,14,130303,No Diabetes,Diabetes,Current-case contribution + estimated flip amount,Current-case contribution,Estimated amount needed to flip the cognitive model,2,1,glucose,0.8,0.09817674218979078,0.09817674218979078,0.9803646515620419,0.7990747066165863,0.0003454347816943537,0.043627127112703,0.04328169233100865,0,1,0,0.17190989610682528,0.07392836009089099,-0.09798153601593429
diabetes,counterfactual,14,130303,No Diabetes,Diabetes,Current-case contribution + estimated flip amount,Current-case contribution,Estimated amount needed to flip the cognitive model,3,1,glucose,0.8,0.09817674218979078,0.09817674218979078,0.9803646515620419,0.7990747066165863,0.0003454347816943537,0.043627127112703,0.04328169233100865,0,1,0,0.17190989610682528,0.07392836009089099,-0.09798153601593429
diabetes,counterfactual,14,130303,No Diabetes,Diabetes,Global importance + estimated flip amount,Global importance,Estimated amount needed to flip the cognitive model,1,1,glucose,0.8,0.09817674218979078,0.09817674218979078,0.9803646515620419,0.7990747066165863,0.0003454347816943537,0.043627127112703,0.04328169233100865,0,1,0,0.17190989610682528,0.07392836009089099,-0.09798153601593429
diabetes,counterfactual,14,130303,No Diabetes,Diabetes,Global importance + estimated flip amount,Global importance,Estimated amount needed to flip the cognitive model,2,1,glucose,0.8,0.09817674218979078,0.09817674218979078,0.9803646515620419,0.7990747066165863,0.0003454347816943537,0.043627127112703,0.04328169233100865,0,1,0,0.17190989610682528,0.07392836009089099,-0.09798153601593429
diabetes,counterfactual,14,130303,No Diabetes,Diabetes,Global importance + estimated flip amount,Global importance,Estimated amount needed to flip the cognitive model,3,1,glucose,0.8,0.09817674218979078,0.09817674218979078,0.9803646515620419,0.7990747066165863,0.0003454347816943537,0.043627127112703,0.04328169233100865,0,1,0,0.17190989610682528,0.07392836009089099,-0.09798153601593429
diabetes,counterfactual,14,130303,No Diabetes,Diabetes,Target-profile mismatch + target centre,Target-profile mismatch,Target-profile centre,1,1,age,0.8,0.2972972972972973,0.2972972972972973,0.9405405405405405,0.8354758338475452,0.0003454347816943537,5.9430611748179096e-05,-0.0002860041699461746,0,0,0,0.17190989610682528,0.21111291393227244,0.03920301782544716
diabetes,counterfactual,14,130303,No Diabetes,Diabetes,Target-profile mismatch + target centre,Target-profile mismatch,Target-profile centre,2,2,insulin / age,0.6,0.3808162282549809,0.3808162282549809,0.9238367543490038,0.8521796200390819,0.0003454347816943537,0.0007849946338440716,0.00043955985214971793,0,0,0,0.17190989610682528,0.17896934136156406,0.007059445254738783
diabetes,counterfactual,14,130303,No Diabetes,Diabetes,Target-profile mismatch + target centre,Target-profile mismatch,Target-profile centre,3,3,insulin / bmi / age,0.4,0.6477451408708839,0.6477451408708839,0.9428212032789207,0.9041605135484946,0.0003454347816943537,0.09726876664768147,0.09692333186598712,0,0,0,0.17190989610682528,0.04466771966466937,-0.1272421764421559
diabetes,counterfactual,14,130303,No Diabetes,Diabetes,Target-profile mismatch + nearest range edge,Target-profile mismatch,Nearest target-profile range edge,1,1,age,0.8,0.14189189189189189,0.14189189189189189,0.9716216216216216,0.8069686554444876,0.0003454347816943537,0.00019416127677152062,-0.0001512735049228331,0,0,0,0.17190989610682528,0.18348126902494222,0.01157137291811694
diabetes,counterfactual,14,130303,No Diabetes,Diabetes,Target-profile mismatch + nearest range edge,Target-profile mismatch,Nearest target-profile range edge,2,2,insulin / age,0.6,0.20530441354494794,0.20530441354494794,0.9589391172910104,0.8170772570970753,0.0003454347816943537,0.0007540676489210529,0.0004086328672266992,0,0,0,0.17190989610682528,0.15573677482427495,-0.01617312128255033
diabetes,counterfactual,14,130303,No Diabetes,Diabetes,Target-profile mismatch + nearest range edge,Target-profile mismatch,Nearest target-profile range edge,3,3,insulin / bmi / age,0.4,0.24657302832438016,0.24657302832438016,0.950685394335124,0.8253309800529618,0.0003454347816943537,0.003397904814008479,0.003052470032314125,0,0,0,0.17190989610682528,0.1441922657242785,-0.027717630382546765
