participant,direction-qualified cohort (0/1),xai,model family held fixed,parameter,parameter label,null value,full fitted value,full value differs from null (0/1),primary metric,full CV loss,full CV selection_f1,full CV amount_mae,full CV direction_accuracy,full CV selection_nll,ablated CV loss,ablated CV selection_f1,ablated CV amount_mae,ablated CV direction_accuracy,ablated CV selection_nll,delta CV loss (ablated - full),delta CV selection_f1 (ablated - full),delta CV amount_mae (ablated - full),delta CV direction_accuracy (ablated - full),delta CV selection_nll (ablated - full),ablated fitted eta,ablated fitted alpha,ablated fitted rho,ablated fitted lambda,ablated fitted beta,ablated fitted age actionable
R_1ReJOex9cmkqbNa,1,counterfactual,weighted examples,age actionable,Age-actionability flexibility,1,0.0,1,selection_nll,0.3384710834619004,0.4486253005403629,0.12556746746416375,1.0,1.8150258242139288,0.3343460323630022,0.45402303001272254,0.12271509473872691,1.0,1.5715232304269917,-0.004125051098898214,0.005397729472359614,-0.0028523727254368414,0.0,-0.24350259378693706,1.0,nan,0.1,2.0,1.0,1
R_1ReJOex9cmkqbNa,1,counterfactual,weighted examples,beta,Remembered-change reliance (β),0.0,1.0,1,selection_nll,0.3384710834619004,0.4486253005403629,0.12556746746416375,1.0,1.8150258242139288,0.39014763820164783,0.41954742631517633,0.19984270271847204,0.7083333333333333,1.9403927221839345,0.051676554739747416,-0.029077874225186595,0.07427523525430829,-0.29166666666666674,0.12536689797000578,0.0,nan,0.0,6.0,0.0,0
R_1ReJOex9cmkqbNa,1,counterfactual,weighted examples,eta,Explanation reliance (η),0.0,1.0,1,selection_nll,0.3384710834619004,0.4486253005403629,0.12556746746416375,1.0,1.8150258242139288,0.3397183535198359,0.4428762783340446,0.12231298537371635,1.0,1.9745676679909736,0.0012472700579355123,-0.005749022206318344,-0.0032544820904474026,0.0,0.15954184377704483,0.0,nan,0.1,2.0,1.0,0
R_1ReJOex9cmkqbNa,1,counterfactual,weighted examples,lambda,Exemplar locality (λ),0.0,2.0,1,selection_nll,0.3384710834619004,0.4486253005403629,0.12556746746416375,1.0,1.8150258242139288,0.3310921952194143,0.46645340429614635,0.12863779473497508,1.0,1.6929439025086712,-0.007378888242486115,0.01782810375578342,0.0030703272708113294,0.0,-0.12208192170525756,0.0,nan,0.1,0.0,1.0,0
R_1ReJOex9cmkqbNa,1,counterfactual,weighted examples,rho,Additive change margin (ρ),0.0,0.1,1,amount_mae,0.3384710834619004,0.4486253005403629,0.12556746746416375,1.0,1.8150258242139288,0.35309632835739285,0.4486253005403629,0.15481795725514863,1.0,1.8150258242139288,0.01462524489549244,0.0,0.02925048979098488,0.0,0.0,1.0,nan,0.0,2.0,1.0,0
R_1TZbMIIo6RtFnsb,1,attribution,feature contribution,age actionable,Age-actionability flexibility,1,0.0,1,selection_nll,0.20975025168111064,0.7193919261867376,0.13889242954895892,0.9875,0.6942874947954651,0.2524327074221334,0.6060601073089388,0.11092552215320568,0.9875,1.2123218149805206,0.04268245574102278,-0.11333181887779886,-0.027966907395753235,0.0,0.5180343201850555,1.0,0.0,0.15,nan,nan,1
R_1TZbMIIo6RtFnsb,1,attribution,feature contribution,alpha,Global relevance reliance (α),0.0,0.0,0,selection_nll,0.20975025168111064,0.7193919261867376,0.13889242954895892,0.9875,0.6942874947954651,0.20975025168111064,0.7193919261867376,0.13889242954895892,0.9875,0.6942874947954651,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.15,nan,nan,0
R_1TZbMIIo6RtFnsb,1,attribution,feature contribution,eta,Explanation reliance (η),0.0,0.5,1,selection_nll,0.20975025168111064,0.7193919261867376,0.13889242954895892,0.9875,0.6942874947954651,0.20730066479544199,0.7304571665651475,0.14505849615603122,1.0,0.6925857433145682,-0.002449586885668653,0.011065240378409835,0.006166066607072307,0.012499999999999956,-0.001701751480896907,0.0,0.0,0.1,nan,nan,0
R_1TZbMIIo6RtFnsb,1,attribution,feature contribution,rho,Additive change margin (ρ),0.0,0.15,1,amount_mae,0.20975025168111064,0.7193919261867376,0.13889242954895892,0.9875,0.6942874947954651,0.22560776399802415,0.7193919261867376,0.17060745418278603,0.9875,0.6942874947954651,0.015857512316913513,0.0,0.03171502463382711,0.0,0.0,0.5,0.0,0.0,nan,nan,0
R_1WAqgPTkRSdmI9W,1,counterfactual,feature contribution,age actionable,Age-actionability flexibility,1,1.0,0,selection_nll,0.20797128117518038,0.6944215220455202,0.11036408439588101,0.95,1.0085228510190862,0.20797128117518038,0.6944215220455202,0.11036408439588101,0.95,1.0085228510190862,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,nan,nan,1
R_1WAqgPTkRSdmI9W,1,counterfactual,feature contribution,alpha,Global relevance reliance (α),0.0,1.0,1,selection_nll,0.20797128117518038,0.6944215220455202,0.11036408439588101,0.95,1.0085228510190862,0.24890716538611457,0.6171113706634774,0.11492570143570655,0.8666666666666666,1.7101226157109894,0.04093588421093419,-0.07731015138204278,0.004561617039825536,-0.08333333333333337,0.7015997646919032,0.0,0.0,0.2,nan,nan,1
R_1WAqgPTkRSdmI9W,1,counterfactual,feature contribution,eta,Explanation reliance (η),0.0,0.0,0,selection_nll,0.20797128117518038,0.6944215220455202,0.11036408439588101,0.95,1.0085228510190862,0.20797128117518038,0.6944215220455202,0.11036408439588101,0.95,1.0085228510190862,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,nan,nan,1
R_1WAqgPTkRSdmI9W,1,counterfactual,feature contribution,rho,Additive change margin (ρ),0.0,0.2,1,amount_mae,0.20797128117518038,0.6944215220455202,0.11036408439588101,0.95,1.0085228510190862,0.24523960735755193,0.6944215220455202,0.1849007367606241,0.95,1.0085228510190862,0.03726832618237155,0.0,0.07453665236474309,0.0,0.0,0.0,1.0,0.0,nan,nan,1
R_1bN1m4OYZIanJ5K,1,none,feature contribution,age actionable,Age-actionability flexibility,1,0.0,1,selection_nll,0.327463278968827,0.5423825115881826,0.19730906952583666,0.975,1.1508807189357753,0.42737186455034654,0.3425653404251435,0.19730906952583666,0.975,2.227971466283848,0.09990858558151955,-0.1998171711630391,0.0,0.0,1.0770907473480729,0.0,0.0,0.0,nan,nan,1
R_1bN1m4OYZIanJ5K,1,none,feature contribution,alpha,Global relevance reliance (α),0.0,0.0,0,selection_nll,0.327463278968827,0.5423825115881826,0.19730906952583666,0.975,1.1508807189357753,0.327463278968827,0.5423825115881826,0.19730906952583666,0.975,1.1508807189357753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0
R_1bN1m4OYZIanJ5K,1,none,feature contribution,rho,Additive change margin (ρ),0.0,0.0,0,amount_mae,0.327463278968827,0.5423825115881826,0.19730906952583666,0.975,1.1508807189357753,0.32575968998838983,0.5423825115881826,0.19390189156496232,0.975,1.1508807189357753,-0.001703588980437154,0.0,-0.0034071779608743358,0.0,0.0,0.0,0.0,0.0,nan,nan,0
