variant,representation,scope,lapse_global,decay,distance,selection_spread,edit_blend,age_actionable,margin,in_sample_selection_nll,in_sample_expected_selection_f1,in_sample_map_selection_f1,in_sample_exact_subset_accuracy,in_sample_cardinality_mae,in_sample_amount_mae,in_sample_direction_accuracy,in_sample_zero_amount_mae,cv_selection_nll,cv_expected_selection_f1,cv_map_selection_f1,cv_exact_subset_accuracy,cv_cardinality_mae,cv_amount_mae,cv_direction_accuracy,cv_zero_amount_mae,participant,xai,testing_cases,selected_by_cv
base_exemplar,base,exemplar,0.4,0.0,24.0,0.5,0.0,0,0.0,3.2052645773261426,0.36851375522368135,0.39166666666666666,0.0,0.95,0.20665168270440964,0.6153846153846154,0.21635133791628766,3.3130429024868753,0.3651941662944716,0.4083333333333333,0.05,0.85,0.21294562919676566,0.6182539682539682,0.21644835779947574,R_1RVUILTQODF6RIQ,attribution,20,1
base_prototype,base,prototype,0.4,0.0,nan,0.5,0.0,0,0.0,3.306285822614035,0.35806666591567404,0.29166666666666663,0.0,0.95,0.21483753678037024,0.6153846153846154,0.21635133791628766,3.402071519051855,0.3408822580750843,0.2916666666666667,0.0,0.95,0.21605472839132395,0.6218253968253968,0.21644835779947574,R_1RVUILTQODF6RIQ,attribution,20,0
additive_exemplar,additive,exemplar,0.4,0.0,0.0,0.5,0.0,0,0.0,2.9341609446911874,0.35619228660951435,0.45833333333333337,0.25,0.7,0.2729881862579037,0.5588235294117647,0.2544926535481529,3.0122463998888938,0.3402244655083691,0.425,0.25,0.7,0.2687319569679411,0.5416666666666667,0.2574040056036256,R_1mET1MXZqXfaCMF,counterfactual,20,0
additive_prototype,additive,prototype,0.4,0.0,nan,0.5,0.0,0,0.0,2.9341609446911874,0.35619228660951435,0.45833333333333337,0.25,0.7,0.2729881862579037,0.5588235294117647,0.2544926535481529,2.9621621927641177,0.34798359272174223,0.4583333333333333,0.25,0.7,0.27920146468006224,0.5416666666666667,0.2574040056036256,R_1mET1MXZqXfaCMF,counterfactual,20,0
base_exemplar,base,exemplar,0.4,0.0,24.0,0.025,0.0,1,0.0,3.081431976621287,0.29034484331913496,0.175,0.05,0.7,0.23880760624242575,0.5294117647058824,0.2544926535481529,3.0951162896983404,0.2885806298667388,0.08333333333333333,0.05,0.7,0.24020356180734992,0.4714285714285714,0.2574040056036256,R_1mET1MXZqXfaCMF,counterfactual,20,0
base_prototype,base,prototype,0.4,0.0,nan,0.025,0.0,1,0.0,3.0820237981226164,0.29004454993708745,0.14166666666666666,0.05,0.7,0.2367563289884875,0.5294117647058824,0.2544926535481529,3.0892422008124427,0.28909548992203626,0.075,0.05,0.7,0.23962285170285808,0.525,0.2574040056036256,R_1mET1MXZqXfaCMF,counterfactual,20,0
counterfactual_exemplar,counterfactual,exemplar,0.4,0.0,0.0,0.5,1.0,0,0.1,2.8692149779424634,0.36339362386663304,0.4416666666666667,0.2,0.7,0.2329140187925367,0.5294117647058824,0.2544926535481529,2.9098484827221123,0.35335534031885474,0.3583333333333333,0.15,0.7,0.24130142296211074,0.5333333333333333,0.2574040056036256,R_1mET1MXZqXfaCMF,counterfactual,20,1
counterfactual_prototype,counterfactual,prototype,0.4,0.0,nan,0.5,1.0,0,0.1,2.8692149779424634,0.36339362386663304,0.4416666666666667,0.2,0.7,0.2329140187925367,0.5294117647058824,0.2544926535481529,2.9943671454794125,0.3333484704215163,0.275,0.1,0.7,0.250373356105254,0.4666666666666666,0.2574040056036256,R_1mET1MXZqXfaCMF,counterfactual,20,0
additive_exemplar,additive,exemplar,0.4,0.0,24.0,0.25,0.0,0,0.0,2.698206146707733,0.31973285074805885,0.39999999999999997,0.3,0.5,0.18560672178550305,0.5666666666666667,0.173423620832159,2.752853295541913,0.3194579064318289,0.35,0.25,0.5,0.1852089284716499,0.525,0.168766226423495,R_1oOTnAKNxXabpDz,attribution,20,1
additive_prototype,additive,prototype,0.4,4.0,nan,0.1,0.0,0,0.0,2.7687936662152315,0.29204507097560717,0.2833333333333333,0.15,0.5,0.2150556813303049,0.4,0.173423620832159,2.853047195895409,0.28688980666219255,0.25,0.15,0.5,0.19649404939258458,0.4583333333333333,0.168766226423495,R_1oOTnAKNxXabpDz,attribution,20,0
base_exemplar,base,exemplar,0.4,4.0,24.0,0.05,0.0,0,0.0,2.795651588701647,0.28135932376249556,0.11666666666666665,0.05,0.5,0.18898196156618974,0.4666666666666667,0.173423620832159,2.8079475573915977,0.2816526478273498,0.11666666666666665,0.05,0.5,0.18299296940377743,0.475,0.168766226423495,R_1oOTnAKNxXabpDz,attribution,20,0
base_prototype,base,prototype,0.4,4.0,nan,0.025,0.0,0,0.0,2.799231948698808,0.27887918906897685,0.03333333333333333,0.0,0.5,0.19599503451986802,0.4,0.173423620832159,2.808088399058996,0.27916129594516664,0.03333333333333333,0.0,0.5,0.18828336088921221,0.4333333333333333,0.168766226423495,R_1oOTnAKNxXabpDz,attribution,20,0
additive_exemplar,additive,exemplar,0.4,0.0,0.0,1.0,0.0,0,0.0,3.2208589169704753,0.42756743905569056,0.315,0.05,0.95,0.3348706795473396,0.47619047619047616,0.3276572166310548,3.276102347510226,0.42107216159667554,0.28833333333333333,0.0,0.95,0.33604812363948705,0.5845238095238094,0.3298967542237826,R_31Mz4GTXDqENy8N,attribution,20,0
additive_prototype,additive,prototype,0.4,0.0,nan,1.0,0.0,0,0.0,3.2208589169704753,0.42756743905569056,0.315,0.05,0.95,0.3348706795473396,0.47619047619047616,0.3276572166310548,3.276102347510226,0.42107216159667554,0.28833333333333333,0.0,0.95,0.33604812363948705,0.5845238095238094,0.3298967542237826,R_31Mz4GTXDqENy8N,attribution,20,1
base_exemplar,base,exemplar,0.4,1.0,24.0,0.5,0.0,0,0.0,3.454562534582812,0.35513644862715266,0.175,0.0,1.1,0.3188049937558974,0.5238095238095238,0.3276572166310548,3.5316481596900586,0.35243529516583944,0.16666666666666666,0.0,1.0,0.3253148423385362,0.5503968253968254,0.3298967542237826,R_31Mz4GTXDqENy8N,attribution,20,0
