cohort,xai,xai label,parameter,parameter label,parameter value,metric,metric label,applicable participants,mean,95% bootstrap CI low,95% bootstrap CI high
direction-qualified 46,counterfactual,Counterfactual example,alpha,Global relevance reliance (α),1.0,edit L1,Normalized edit distance (L1),10,0.4679036718890591,0.38165730142684196,0.5621044185592883
direction-qualified 46,counterfactual,Counterfactual example,beta,Remembered-change reliance (β),0.0,success,Counterfactual success rate,7,0.6142857142857142,0.5428571428571429,0.6785714285714287
direction-qualified 46,counterfactual,Counterfactual example,beta,Remembered-change reliance (β),0.0,target confidence gain,Target-confidence gain,7,0.569533802554661,0.4965253153838394,0.6405646018062892
direction-qualified 46,counterfactual,Counterfactual example,beta,Remembered-change reliance (β),0.0,boundary improvement,Boundary-distance improvement,7,0.03980058524865704,0.02131693147464558,0.053144587296735504
direction-qualified 46,counterfactual,Counterfactual example,beta,Remembered-change reliance (β),0.0,plausibility,Plausibility,7,0.941835484771702,0.9369745798278625,0.9468370855393582
direction-qualified 46,counterfactual,Counterfactual example,beta,Remembered-change reliance (β),0.0,actionability,Actionability rate,7,0.5642857142857143,0.32142857142857145,0.8071428571428572
direction-qualified 46,counterfactual,Counterfactual example,beta,Remembered-change reliance (β),0.0,edit L1,Normalized edit distance (L1),7,0.5754267781571448,0.42755495873482724,0.7414317767214964
direction-qualified 46,counterfactual,Counterfactual example,beta,Remembered-change reliance (β),0.5,success,Counterfactual success rate,7,0.5428571428571429,0.4642857142857143,0.6142857142857142
direction-qualified 46,counterfactual,Counterfactual example,beta,Remembered-change reliance (β),0.5,target confidence gain,Target-confidence gain,7,0.5373591896576311,0.45529517697643646,0.6151889798596683
direction-qualified 46,counterfactual,Counterfactual example,beta,Remembered-change reliance (β),0.5,boundary improvement,Boundary-distance improvement,7,0.04573432309721275,0.029455210819415826,0.058516263603758153
direction-qualified 46,counterfactual,Counterfactual example,beta,Remembered-change reliance (β),0.5,plausibility,Plausibility,7,0.9491434556726849,0.9434515506507852,0.9552950244931638
direction-qualified 46,counterfactual,Counterfactual example,beta,Remembered-change reliance (β),0.5,actionability,Actionability rate,7,0.6,0.35714285714285715,0.8357142857142856
direction-qualified 46,counterfactual,Counterfactual example,beta,Remembered-change reliance (β),0.5,edit L1,Normalized edit distance (L1),7,0.4325121266081086,0.3016264609716529,0.5875580955293561
direction-qualified 46,counterfactual,Counterfactual example,beta,Remembered-change reliance (β),1.0,success,Counterfactual success rate,7,0.5499999999999999,0.4214285714285714,0.6714285714285714
direction-qualified 46,counterfactual,Counterfactual example,beta,Remembered-change reliance (β),1.0,target confidence gain,Target-confidence gain,7,0.5503853680047022,0.43392682097083224,0.6529563119047538
direction-qualified 46,counterfactual,Counterfactual example,beta,Remembered-change reliance (β),1.0,boundary improvement,Boundary-distance improvement,7,0.0028803113343677036,-0.02705130068242429,0.025976005971909095
direction-qualified 46,counterfactual,Counterfactual example,beta,Remembered-change reliance (β),1.0,plausibility,Plausibility,7,0.9442442155008636,0.9358688398089938,0.9531586909422577
direction-qualified 46,counterfactual,Counterfactual example,beta,Remembered-change reliance (β),1.0,actionability,Actionability rate,7,1.0,1.0,1.0
direction-qualified 46,counterfactual,Counterfactual example,beta,Remembered-change reliance (β),1.0,edit L1,Normalized edit distance (L1),7,0.3814781011530615,0.2529443744388658,0.5297918324701428
