participant,direction-qualified cohort (0/1),xai,model family,parameter,parameter label,parameter value,case,instance id,success,target confidence gain,boundary improvement,plausibility,actionability,edit L1
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,rho,Additive change margin (ρ),0.05,4,160201,0.0,0.0011658896659819083,0.11916663568499847,0.9409495457466077,1.0,0.3869402721435037
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,rho,Additive change margin (ρ),0.05,5,160214,1.0,0.9959601766541535,-0.18029974345385597,0.949974169976493,1.0,0.34787860360172473
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,rho,Additive change margin (ρ),0.05,6,160212,1.0,0.9854774772598954,-0.10463062628414363,0.940505383835222,1.0,0.3524456912323381
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,rho,Additive change margin (ρ),0.05,7,160202,1.0,0.9625816461402876,-0.01111937717166999,0.9495140309760279,1.0,0.25242984511986033
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,rho,Additive change margin (ρ),0.05,8,160203,1.0,0.9111604420228833,0.010494431670887427,0.9675689789324656,1.0,0.16215510533767163
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,rho,Additive change margin (ρ),0.05,9,160213,0.0,-0.005644064667249057,0.049700519331466214,0.9514175385707355,1.0,0.2429123071463224
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,rho,Additive change margin (ρ),0.05,10,160204,1.0,0.9685006534697359,-0.1352394289025788,0.9291268833809185,1.0,0.35436558309540733
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,rho,Additive change margin (ρ),0.05,11,160206,0.0,-1.260398452274103e-10,-0.14359480592159135,0.963203169094627,1.0,0.183984154526865
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,rho,Additive change margin (ρ),0.05,12,160205,0.0,-1.87516149322553e-05,-0.08479089468527518,0.9687060885763529,1.0,0.18722880535304198
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,rho,Additive change margin (ρ),0.05,13,160217,0.0,-0.1246902312638205,-0.03752152330949246,0.9655291238782673,1.0,0.3768781195545295
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,rho,Additive change margin (ρ),0.05,14,160209,0.0,8.211745655939406e-05,0.056791141507787635,0.9600797727712972,1.0,0.19960113614351394
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,rho,Additive change margin (ρ),0.05,15,160218,1.0,0.9760411338549153,-0.09640566625098741,0.9237738155192039,1.0,0.48131776274759186
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,rho,Additive change margin (ρ),0.05,16,160207,0.0,0.000811375092409472,0.10014929017233165,0.9585412121199103,1.0,0.20729393940044838
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,rho,Additive change margin (ρ),0.05,17,160219,1.0,0.9473156493463117,-0.1797684324407356,0.9438187497481465,1.0,0.4961436682722966
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,rho,Additive change margin (ρ),0.05,18,160215,1.0,0.8077990623995073,0.00847529089227659,0.9576389346418596,1.0,0.39633546812382786
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,rho,Additive change margin (ρ),0.05,19,160216,1.0,0.9402274553597546,-0.13476298597044295,0.9164477337589053,1.0,0.5007742731431396
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,rho,Additive change margin (ρ),0.05,20,160208,0.0,0.2630022164795157,0.06791998607455732,0.9614101638847536,1.0,0.19294918057623167
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,rho,Additive change margin (ρ),0.1,1,160200,0.0,0.30390793814185213,0.0782318804028795,0.9478799240259523,1.0,0.36981869163704295
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,rho,Additive change margin (ρ),0.1,2,160210,1.0,0.9920401854546421,0.015899008659717342,0.8956744860451555,1.0,0.3423684709024367
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,rho,Additive change margin (ρ),0.1,3,160211,0.0,0.20850441056958363,0.031509660573624004,0.9450974866444735,1.0,0.35030718928700083
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,rho,Additive change margin (ρ),0.1,4,160201,0.0,0.0037164316001653598,0.1679682671040499,0.9259978781758001,1.0,0.5369402721435037
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,rho,Additive change margin (ρ),0.1,5,160214,1.0,0.995960243613079,-0.278303561258655,0.944421238955743,1.0,0.4978786036017247
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,rho,Additive change margin (ρ),0.1,6,160212,1.0,0.9854776315789637,-0.21944865535022218,0.910505383835222,1.0,0.5024456912323381
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,rho,Additive change margin (ρ),0.1,7,160202,1.0,0.9771420638895276,-0.09737004594129112,0.9393502678256255,1.0,0.3524298451198604
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,rho,Additive change margin (ρ),0.1,8,160203,1.0,0.9645728150125132,-0.016535733367851968,0.9575689789324656,1.0,0.21215510533767168
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,rho,Additive change margin (ρ),0.1,9,160213,0.0,0.17144785865803244,0.08268759992856103,0.9599721193910187,1.0,0.3429123071463224
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,rho,Additive change margin (ρ),0.1,10,160204,1.0,0.9685110059200585,-0.1793652464678304,0.9211272205458052,1.0,0.5043655830954074
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,rho,Additive change margin (ρ),0.1,11,160206,0.0,-1.2613909916581179e-10,-0.03100241878751775,0.953203169094627,1.0,0.23398415452686494
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,rho,Additive change margin (ρ),0.1,12,160205,0.0,-1.8793400234584645e-05,-0.1057564827992244,0.9587060885763529,1.0,0.23722880535304203
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,rho,Additive change margin (ρ),0.1,13,160217,0.0,0.05724071242659634,-0.0012311448736586628,0.9560331717019924,1.0,0.4768781195545296
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,rho,Additive change margin (ρ),0.1,14,160209,0.0,0.00014789762482836366,0.06552588399718051,0.9500797727712972,1.0,0.24960113614351398
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,rho,Additive change margin (ρ),0.1,15,160218,1.0,0.9760856153440871,-0.20345074003410085,0.927974911075779,1.0,0.6313177627475918
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,rho,Additive change margin (ρ),0.1,16,160207,0.0,0.0034752948572265296,0.11308490011502056,0.9485412121199103,1.0,0.2572939394004484
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,rho,Additive change margin (ρ),0.1,17,160219,1.0,0.9485783065982745,-0.178801175186212,0.9457847310628317,1.0,0.6461436682722967
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,rho,Additive change margin (ρ),0.1,18,160215,1.0,0.8984808246732781,-0.005641014748168242,0.9411693528876521,1.0,0.4963354681238279
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,rho,Additive change margin (ρ),0.1,19,160216,1.0,0.9418578129132295,-0.14462215611817048,0.907183366499211,1.0,0.6507742731431396
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,rho,Additive change margin (ρ),0.1,20,160208,0.0,0.34519338316858483,0.07851897800960961,0.9514101638847536,1.0,0.24294918057623172
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,rho,Additive change margin (ρ),0.15,1,160200,1.0,0.858180454325453,0.05935058449164017,0.9510383551518409,1.0,0.46981869163704293
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,rho,Additive change margin (ρ),0.15,2,160210,1.0,0.9965425981477363,0.0007859462829248459,0.8840552612165777,1.0,0.42752352212508443
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,rho,Additive change margin (ρ),0.15,3,160211,0.0,0.00030171821894277306,-0.050816511986330554,0.9404634297212745,1.0,0.4503071892870008
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,rho,Additive change margin (ρ),0.15,4,160201,0.0,0.03712616205706678,0.20755033250226684,0.9334768982235568,1.0,0.6869402721435035
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,rho,Additive change margin (ρ),0.15,5,160214,1.0,0.9959602436407833,-0.3473652861323634,0.9504816302976626,1.0,0.6478786036017247
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,rho,Additive change margin (ρ),0.15,6,160212,1.0,0.9854776316317913,-0.2678055877501455,0.8805053838352219,1.0,0.6524456912323381
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,rho,Additive change margin (ρ),0.15,7,160202,1.0,0.9773871737325208,-0.20342706229397692,0.9307958006174466,1.0,0.4524298451198604
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,rho,Additive change margin (ρ),0.15,8,160203,1.0,0.9707673310621009,-0.01579236298319958,0.9475689789324657,1.0,0.26215510533767167
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,rho,Additive change margin (ρ),0.15,9,160213,1.0,0.9469623635243752,0.07016876010609488,0.9407492895379443,1.0,0.44291230714632235
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,rho,Additive change margin (ρ),0.15,10,160204,1.0,0.9685112851015043,-0.2187824397437833,0.9311272205458052,1.0,0.6543655830954073
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,rho,Additive change margin (ρ),0.15,11,160206,0.0,-1.261490911730334e-10,-0.05171416390509054,0.943203169094627,1.0,0.2839841545268649
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,rho,Additive change margin (ρ),0.15,12,160205,0.0,-1.8802089411407152e-05,-0.12903036593096323,0.948706088576353,1.0,0.28722880535304196
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,rho,Additive change margin (ρ),0.15,13,160217,0.0,0.343072960176974,0.03062247391820755,0.9392421286196118,1.0,0.5768781195545296
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,rho,Additive change margin (ρ),0.15,14,160209,0.0,0.00031930042304195716,0.060944409454391224,0.9400797727712972,1.0,0.299601136143514
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,rho,Additive change margin (ρ),0.15,15,160218,1.0,0.9760881593852605,-0.3282553049419071,0.9195241670338384,1.0,0.7813177627475919
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,rho,Additive change margin (ρ),0.15,16,160207,0.0,0.01053828040924043,0.12836533766245967,0.9385412121199104,1.0,0.30729393940044836
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,rho,Additive change margin (ρ),0.15,17,160219,1.0,0.9486294632253407,-0.22862222741626848,0.9357847310628317,1.0,0.7961436682722964
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,rho,Additive change margin (ρ),0.15,18,160215,1.0,0.9168828260071737,-0.03684531853536004,0.930411818290695,1.0,0.5963354681238279
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,rho,Additive change margin (ρ),0.15,19,160216,1.0,0.9421670314369172,-0.15652730585159474,0.9164067893052319,1.0,0.8007742731431398
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,rho,Additive change margin (ρ),0.15,20,160208,0.0,0.46395914390676574,0.08807512196825731,0.9414101638847536,1.0,0.29294918057623165
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,rho,Additive change margin (ρ),0.2,1,160200,1.0,0.9859055288520563,-0.011378250934108616,0.9686388548322565,1.0,0.569818691637043
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,rho,Additive change margin (ρ),0.2,2,160210,1.0,0.9969851078497379,0.0009843600090964216,0.8740552612165777,1.0,0.4775235221250845
