cohort,xai,xai label,parameter,parameter label,low endpoint,high endpoint,metric,metric label,applicable participants,mean change (high - low),95% bootstrap CI low,95% bootstrap CI high
all 62,counterfactual,Counterfactual example,alpha,Global relevance reliance (α),0.0,1.0,actionability,Actionability rate,19,0.1789473684210526,0.07625000000000003,0.2947368421052632
all 62,counterfactual,Counterfactual example,alpha,Global relevance reliance (α),0.0,1.0,boundary improvement,Boundary-distance improvement,19,-0.044303374331715335,-0.056499844203488546,-0.033172962637075636
all 62,counterfactual,Counterfactual example,alpha,Global relevance reliance (α),0.0,1.0,edit L1,Normalized edit distance (L1),19,-0.07730217355958979,-0.09319057045507904,-0.06257010910430343
all 62,counterfactual,Counterfactual example,alpha,Global relevance reliance (α),0.0,1.0,plausibility,Plausibility,19,-0.009652487470690316,-0.013691643335396212,-0.0059534574580184
all 62,counterfactual,Counterfactual example,alpha,Global relevance reliance (α),0.0,1.0,success,Counterfactual success rate,19,0.015789473684210534,-0.02894736842105262,0.05526315789473688
all 62,counterfactual,Counterfactual example,alpha,Global relevance reliance (α),0.0,1.0,target confidence gain,Target-confidence gain,19,-0.000586576366079089,-0.03267995033341373,0.032612511591214366
all 62,counterfactual,Counterfactual example,beta,Remembered-change reliance (β),0.0,1.0,actionability,Actionability rate,8,0.425,0.20625,0.6375
all 62,counterfactual,Counterfactual example,beta,Remembered-change reliance (β),0.0,1.0,boundary improvement,Boundary-distance improvement,8,-0.036265697912215754,-0.04815911609884084,-0.02288866172813964
all 62,counterfactual,Counterfactual example,beta,Remembered-change reliance (β),0.0,1.0,edit L1,Normalized edit distance (L1),8,-0.19528027854404806,-0.2182472092550122,-0.16990879329299602
all 62,counterfactual,Counterfactual example,beta,Remembered-change reliance (β),0.0,1.0,plausibility,Plausibility,8,0.003539536071962751,-0.0008165411454382487,0.007736907157311675
all 62,counterfactual,Counterfactual example,beta,Remembered-change reliance (β),0.0,1.0,success,Counterfactual success rate,8,-0.05624999999999999,-0.14375,0.0375
all 62,counterfactual,Counterfactual example,beta,Remembered-change reliance (β),0.0,1.0,target confidence gain,Target-confidence gain,8,-0.01995230483307122,-0.10993127246813057,0.05946396199771409
all 62,counterfactual,Counterfactual example,eta,Explanation reliance (η),0.0,1.0,actionability,Actionability rate,27,0.2351851851851852,0.10925925925925926,0.37407407407407406
all 62,counterfactual,Counterfactual example,eta,Explanation reliance (η),0.0,1.0,boundary improvement,Boundary-distance improvement,27,0.03212132059759698,0.0196334403379147,0.04553056974522327
all 62,counterfactual,Counterfactual example,eta,Explanation reliance (η),0.0,1.0,edit L1,Normalized edit distance (L1),27,-0.04851913018916108,-0.0661398937520067,-0.032058068976080926
all 62,counterfactual,Counterfactual example,eta,Explanation reliance (η),0.0,1.0,plausibility,Plausibility,27,0.007976018231072734,0.005516226025057047,0.010663241934073026
all 62,counterfactual,Counterfactual example,eta,Explanation reliance (η),0.0,1.0,success,Counterfactual success rate,27,-0.016666666666666677,-0.07222222222222223,0.03703703703703703
all 62,counterfactual,Counterfactual example,eta,Explanation reliance (η),0.0,1.0,target confidence gain,Target-confidence gain,27,-0.008838931981346318,-0.05415201206418496,0.034746690023795414
all 62,counterfactual,Counterfactual example,lambda,Exemplar locality (λ),0.0,6.0,actionability,Actionability rate,8,0.0,0.0,0.0
all 62,counterfactual,Counterfactual example,lambda,Exemplar locality (λ),0.0,6.0,boundary improvement,Boundary-distance improvement,8,0.00923226555894364,-0.0018456267038571583,0.020691510992014845
all 62,counterfactual,Counterfactual example,lambda,Exemplar locality (λ),0.0,6.0,edit L1,Normalized edit distance (L1),8,-0.02559195459483254,-0.029748236241445677,-0.02183881115132155
all 62,counterfactual,Counterfactual example,lambda,Exemplar locality (λ),0.0,6.0,plausibility,Plausibility,8,0.0038539780280246877,0.0013579826420382496,0.006178735221918596
all 62,counterfactual,Counterfactual example,lambda,Exemplar locality (λ),0.0,6.0,success,Counterfactual success rate,8,0.050000000000000024,-0.04374999999999997,0.15000000000000002
all 62,counterfactual,Counterfactual example,lambda,Exemplar locality (λ),0.0,6.0,target confidence gain,Target-confidence gain,8,0.07856836717172141,0.0036179965540307987,0.15466717442454725
all 62,counterfactual,Counterfactual example,rho,Additive change margin (ρ),0.0,0.3,actionability,Actionability rate,27,0.0,0.0,0.0
all 62,counterfactual,Counterfactual example,rho,Additive change margin (ρ),0.0,0.3,boundary improvement,Boundary-distance improvement,27,-0.11616554253716681,-0.13685664412284215,-0.09603636183572639
all 62,counterfactual,Counterfactual example,rho,Additive change margin (ρ),0.0,0.3,edit L1,Normalized edit distance (L1),27,0.580449530004307,0.505047925722881,0.6558744035584667
all 62,counterfactual,Counterfactual example,rho,Additive change margin (ρ),0.0,0.3,plausibility,Plausibility,27,-0.04086557344916564,-0.04485951931510805,-0.03719329405244623
all 62,counterfactual,Counterfactual example,rho,Additive change margin (ρ),0.0,0.3,success,Counterfactual success rate,27,0.32777777777777783,0.24444444444444446,0.4037037037037038
all 62,counterfactual,Counterfactual example,rho,Additive change margin (ρ),0.0,0.3,target confidence gain,Target-confidence gain,27,0.32528311145933775,0.2500212598682126,0.3936079352896496
all 62,none,No XAI,age actionable,Age actionable,0.0,1.0,actionability,Actionability rate,19,-0.618421052631579,-0.6894736842105263,-0.531578947368421
