variant,representation,scope,lapse_global,decay,distance,selection_spread,edit_blend,age_actionable,margin,in_sample_selection_nll,in_sample_expected_selection_f1,in_sample_map_selection_f1,in_sample_exact_subset_accuracy,in_sample_cardinality_mae,in_sample_amount_mae,in_sample_direction_accuracy,in_sample_zero_amount_mae,cv_selection_nll,cv_expected_selection_f1,cv_map_selection_f1,cv_exact_subset_accuracy,cv_cardinality_mae,cv_amount_mae,cv_direction_accuracy,cv_zero_amount_mae,participant,xai,testing_cases,selected_by_cv,locked_feature,fixed_cardinality
base_prototype,base,prototype,0.4,0.0,nan,0.1,0.0,1,0.0,1.3823480287976389,0.25261844842926223,0.3,0.3,0.0,0.15100375185822082,0.9,0.21846499242653503,1.5165136029331379,0.23055658116475403,0.3,0.3,0.0,0.1756559818571193,0.9,0.218464992426535,R_50DGG380VPVbOcp,none,20,0,glucose,1
base_exemplar,base,exemplar,0.4,0.0,0.0,1.0,0.0,1,0.3,1.2717005760040498,0.3148904716296541,0.55,0.55,0.0,0.16830204713511382,0.9,0.47169220548339996,1.4216389740019093,0.2783926840534531,0.4,0.4,0.0,0.1990903349712412,0.9,0.47169220548339996,R_5MWWICk2p3HwIcJ,none,20,0,glucose,1
base_prototype,base,prototype,0.4,0.0,nan,1.0,0.0,1,0.3,1.2717005760040498,0.3148904716296541,0.55,0.55,0.0,0.16830204713511382,0.9,0.47169220548339996,1.4216389740019093,0.2783926840534531,0.4,0.4,0.0,0.1990903349712412,0.9,0.47169220548339996,R_5MWWICk2p3HwIcJ,none,20,1,glucose,1
additive_exemplar,additive,exemplar,0.4,4.0,24.0,0.025,0.0,1,0.0,1.398222861497556,0.24716773261619526,0.15,0.15,0.0,0.11341337554733115,0.4,0.0430996845442285,1.4121721657114774,0.24362407473016767,0.0,0.0,0.0,0.10595820018193658,0.3,0.043099684544228495,R_5dyiDVxpY3uvP1p,attribution,20,0,glucose,1
additive_prototype,additive,prototype,0.4,4.0,nan,0.025,0.0,1,0.0,1.4061039332559964,0.24514838610130701,0.05,0.05,0.0,0.12651240079520865,0.35,0.0430996845442285,1.4106091707890362,0.24399693033876035,0.0,0.0,0.0,0.13095781317478464,0.35,0.043099684544228495,R_5dyiDVxpY3uvP1p,attribution,20,0,glucose,1
base_exemplar,base,exemplar,0.4,0.0,6.0,0.025,0.0,1,0.0,1.389150913178264,0.2493832818284681,0.25,0.25,0.0,0.10632413727991707,0.7,0.0430996845442285,1.5308668728600814,0.23956886540345756,0.1,0.1,0.0,0.07232269196863285,0.75,0.043099684544228495,R_5dyiDVxpY3uvP1p,attribution,20,0,glucose,1
base_prototype,base,prototype,0.4,0.0,nan,0.025,0.0,1,0.0,1.3892602720545508,0.24934884969079252,0.25,0.25,0.0,0.12069971862212259,0.7,0.0430996845442285,1.4037059893791886,0.24596416432746104,0.25,0.25,0.0,0.12069971862212259,0.7,0.043099684544228495,R_5dyiDVxpY3uvP1p,attribution,20,1,glucose,1
additive_exemplar,additive,exemplar,0.4,1.0,12.0,0.05,0.0,1,0.0,1.3832150307878899,0.25116418344357266,0.2,0.2,0.0,0.18881658289011632,0.7,0.10458603533720498,1.4323501698911514,0.24022273744447736,0.15,0.15,0.0,0.18494047806766373,0.7,0.10458603533720501,R_5meYpVpIaQ4Mrnr,counterfactual,20,0,glucose,1
additive_prototype,additive,prototype,0.4,0.0,nan,0.025,0.0,1,0.0,1.387050526406716,0.24992352508745355,0.2,0.2,0.0,0.2159058633563738,0.7,0.10458603533720498,1.404674482754118,0.24599603453407842,0.2,0.2,0.0,0.2159058633563738,0.7,0.10458603533720501,R_5meYpVpIaQ4Mrnr,counterfactual,20,0,glucose,1
base_exemplar,base,exemplar,0.4,0.0,0.0,0.025,0.0,1,0.0,1.3854382075594278,0.2503314008268162,0.3,0.3,0.0,0.1222389681406787,0.7,0.10458603533720498,1.4686124888195573,0.23613468300599832,0.3,0.3,0.0,0.12223896814067867,0.7,0.10458603533720501,R_5meYpVpIaQ4Mrnr,counterfactual,20,0,glucose,1
base_prototype,base,prototype,0.4,0.0,nan,0.025,0.0,1,0.0,1.3854382075594278,0.2503314008268162,0.3,0.3,0.0,0.1222389681406787,0.7,0.10458603533720498,1.4686124888195573,0.23613468300599832,0.3,0.3,0.0,0.12223896814067867,0.7,0.10458603533720501,R_5meYpVpIaQ4Mrnr,counterfactual,20,0,glucose,1
counterfactual_exemplar,counterfactual,exemplar,0.4,0.0,2.0,0.025,0.5,1,0.0,1.3879123315921797,0.24968674750216152,0.25,0.25,0.0,0.09496150025642852,0.45,0.10458603533720498,1.401699535731703,0.24670201903217973,0.25,0.25,0.0,0.09496150025642854,0.45,0.10458603533720501,R_5meYpVpIaQ4Mrnr,counterfactual,20,1,glucose,1
counterfactual_prototype,counterfactual,prototype,0.4,0.0,nan,0.025,0.5,1,0.0,1.3889946259555521,0.24941998026390094,0.2,0.2,0.0,0.09570762339111077,0.45,0.10458603533720498,1.4042569264668774,0.24612513730120159,0.2,0.2,0.0,0.09570762339111079,0.45,0.10458603533720501,R_5meYpVpIaQ4Mrnr,counterfactual,20,0,glucose,1
additive_exemplar,additive,exemplar,0.4,1.0,24.0,0.025,0.0,1,0.2,1.3944809694648939,0.2480981228987055,0.15,0.15,0.0,0.20044958305834282,0.85,0.3377218177735499,1.4021473656193977,0.24614375194260232,0.1,0.1,0.0,0.20921361304093442,0.85,0.33772181777355,R_60AvEj9fZiC8nae,attribution,20,0,glucose,1
additive_prototype,additive,prototype,0.4,4.0,nan,0.025,0.0,1,0.2,1.3970892753473183,0.2474294926512465,0.15,0.15,0.0,0.14989053637334246,0.95,0.3377218177735499,1.397089275347318,0.24742949265124645,0.15,0.15,0.0,0.1498905363733425,0.95,0.33772181777355,R_60AvEj9fZiC8nae,attribution,20,0,glucose,1
base_exemplar,base,exemplar,0.4,0.0,0.0,1.0,0.0,1,0.1,1.2220444805541133,0.3245351504111125,0.55,0.55,0.0,0.11294696240798348,0.95,0.3377218177735499,1.3884089935912876,0.31497516117735913,0.45,0.45,0.0,0.17172155494514857,0.85,0.33772181777355,R_60AvEj9fZiC8nae,attribution,20,0,glucose,1
base_prototype,base,prototype,0.4,0.0,nan,1.0,0.0,1,0.1,1.2220444805541133,0.3245351504111125,0.55,0.55,0.0,0.11294696240798348,0.95,0.3377218177735499,1.2408631413371958,0.3281942367008478,0.55,0.55,0.0,0.11294696240798352,0.95,0.33772181777355,R_60AvEj9fZiC8nae,attribution,20,1,glucose,1
additive_exemplar,additive,exemplar,0.4,0.0,0.0,1.0,0.0,1,0.05,1.21748207210852,0.3291934083119245,0.45,0.45,0.0,0.18282440205735978,0.65,0.2353075445634,1.4876283260693148,0.2651388261968506,0.4,0.4,0.0,0.19511873210869207,0.65,0.2353075445634,R_61LUcA8btLtAme9,counterfactual,20,0,glucose,1
additive_prototype,additive,prototype,0.4,0.0,nan,1.0,0.0,1,0.05,1.21748207210852,0.3291934083119245,0.45,0.45,0.0,0.18282440205735978,0.65,0.2353075445634,1.3678272164255472,0.2914521083092067,0.45,0.45,0.0,0.1916378698376667,0.65,0.2353075445634,R_61LUcA8btLtAme9,counterfactual,20,0,glucose,1
