participant,direction-qualified cohort (0/1),xai,model family held fixed,fold,trial index,selected inverse temperature gamma,current selection NLL,current observed subset probability,current observed subset rank,current top-1 hit,current top-3 hit,current observed subset impossible,current maximum subset probability,current normalized entropy,current effective subset count,current possible subset count,temperature-scaled selection NLL,temperature-scaled observed subset probability,temperature-scaled observed subset rank,temperature-scaled top-1 hit,temperature-scaled top-3 hit,temperature-scaled observed subset impossible,temperature-scaled maximum subset probability,temperature-scaled normalized entropy,temperature-scaled effective subset count,temperature-scaled possible subset count
R_60Vourt3Kluat5u,1,attribution,feature contribution,2,17,0.0,3.364980538479081,0.03456268875394903,4,0,0,0,0.542962609587244,0.7950332642387923,3.01063232400039,4,1.3862943611198906,0.25,1,1,1,0,0.25,1.0,4.0,4
R_60Vourt3Kluat5u,1,attribution,feature contribution,3,3,0.0,0.8792909644595832,0.41507711179436385,1,1,1,0,0.41507711179436385,0.760413018564573,3.905857019904685,6,1.791759469228055,0.16666666666666666,1,1,1,0,0.16666666666666666,0.9999999999999999,5.999999999999998,6
R_60Vourt3Kluat5u,1,attribution,feature contribution,3,8,0.0,0.37434759447159227,0.687737816414374,1,1,1,0,0.687737816414374,0.6652092004725315,2.5147559563127113,4,1.3862943611198906,0.25,1,1,1,0,0.25,1.0,4.0,4
R_60Vourt3Kluat5u,1,attribution,feature contribution,3,13,0.0,4.359796778372385,0.012780984758157574,6,0,0,0,0.6101589586880403,0.6828867211561057,3.399297351841148,6,1.791759469228055,0.16666666666666666,1,1,1,0,0.16666666666666666,0.9999999999999999,5.999999999999998,6
R_60Vourt3Kluat5u,1,attribution,feature contribution,3,18,0.0,3.4345600911160155,0.03223958959475304,4,0,0,0,0.36490307687588047,0.8642155949835737,3.3136728816389027,4,1.3862943611198906,0.25,1,1,1,0,0.25,1.0,4.0,4
R_60Vourt3Kluat5u,1,attribution,feature contribution,4,4,0.0,1.2879432863397002,0.27583751887645386,2,0,1,0,0.43702507492043485,0.76125832139548,3.9117772324816427,6,1.791759469228055,0.16666666666666666,1,1,1,0,0.16666666666666666,0.9999999999999999,5.999999999999998,6
R_60Vourt3Kluat5u,1,attribution,feature contribution,4,9,0.0,-0.0,1.0,1,1,1,0,1.0,0.0,1.0,1,-0.0,1.0,1,1,1,0,1.0,0.0,1.0,1
R_60Vourt3Kluat5u,1,attribution,feature contribution,4,14,0.0,4.116518525978275,0.016301167858450885,6,0,0,0,0.5161002104368417,0.730318646500956,3.700823455474078,6,1.791759469228055,0.16666666666666666,1,1,1,0,0.16666666666666666,0.9999999999999999,5.999999999999998,6
R_60Vourt3Kluat5u,1,attribution,feature contribution,4,19,0.0,2.52511920765745,0.08004876979160419,4,0,0,0,0.5500680896126897,0.7158757856247132,3.6062816140042013,6,1.791759469228055,0.16666666666666666,1,1,1,0,0.16666666666666666,0.9999999999999999,5.999999999999998,6
R_61hCu6g2tcWoJo7,1,attribution,feature contribution,0,0,0.5,1.2914177557592403,0.27488079287243894,2,0,1,0,0.5461422226017221,0.7816699299670548,2.9553722509425486,4,1.2509297745392598,0.28623853579525466,2,0,1,0,0.4034677077798422,0.9272044401054761,3.616035597502536,4
