participant,domain,xai,testing cases,memory variant,model family,k,attention rate,xai weight,specificity,alpha,rho,beta,memory decay,age actionable,in-sample loss,in-sample selection_f1,in-sample amount_mae,in-sample direction_accuracy,in-sample selection_nll,5-fold CV loss,5-fold CV selection_f1,5-fold CV amount_mae,5-fold CV direction_accuracy,5-fold CV selection_nll,selected family by CV
R_3Qv0QTQ49yAIRot,diabetes,attribution,20,perfect memory,feature contribution,observed per instance,0.25,0.0,0.0,1.0,0.05,nan,nan,0,0.48530652871008373,0.25,0.2206130574201676,1.0,1.3862943611198906,0.5041945755754078,0.21663414588089375,0.22502329703170942,1.0,1.644807068256156,1
R_3Qv0QTQ49yAIRot,diabetes,attribution,20,perfect memory,weighted examples,observed per instance,1.0,1.0,6.0,nan,0.15,0.0,nan,0,0.3820084653710183,0.3047645325687898,0.06878146331082653,1.0,1.7098844854483068,0.38920680457170365,0.29376318483190583,0.07217679397531325,1.0,1.8293089783669927,0
R_3pZ1OVs4kWTC7GB,diabetes,none,20,memory variation,feature contribution,observed per instance,0.25,0.0,0.0,1.0,0.0,nan,0.0,0,0.4377216584575324,0.35,0.22544331691506486,0.7,1.5484804043631564,0.4377216584575324,0.35,0.22544331691506486,0.7,1.5484804043631564,1
R_3pZ1OVs4kWTC7GB,diabetes,none,20,memory variation,weighted examples,observed per instance,0.25,0.0,0.0,nan,0.05,0.0,0.0,0,0.3804552585914029,0.39603958949722295,0.15695010668002876,0.95,1.750304517422921,0.3846939132542876,0.3899701888539861,0.15935801536256128,0.95,1.7862676876455754,0
R_3pZ1OVs4kWTC7GB,diabetes,none,20,perfect memory,feature contribution,observed per instance,0.25,0.0,0.0,1.0,0.0,nan,nan,0,0.4664710119132859,0.35,0.28294202382657185,0.725,1.5484804043631564,0.46647101191328594,0.35,0.28294202382657185,0.725,1.5484804043631564,1
R_3pZ1OVs4kWTC7GB,diabetes,none,20,perfect memory,weighted examples,observed per instance,0.25,0.0,0.0,nan,0.05,0.0,nan,0,0.3804552585914029,0.39603958949722295,0.15695010668002876,0.95,1.750304517422921,0.3841222167583751,0.39075585047368944,0.15900028399043964,0.95,1.781118562108332,0
R_5ASRudX4WuOaMDD,diabetes,counterfactual,20,memory variation,feature contribution,observed per instance,0.25,0.0,0.0,1.0,0.0,nan,4.0,0,0.35040006904406773,0.5125,0.2133001380881355,0.7458333333333333,1.4791656863071618,0.3527746002344613,0.5029105353237473,0.2084597357926699,0.7458333333333333,1.638493528242734,1
R_5ASRudX4WuOaMDD,diabetes,counterfactual,20,memory variation,weighted examples,observed per instance,1.0,1.0,6.0,nan,0.15,0.5,0.5,0,0.3040558917087671,0.5472532294517147,0.15536501286924895,0.7666666666666666,1.5192614557114095,0.34662076042942414,0.4858730405891841,0.17911456144803242,0.775,1.9170638101773947,0
R_5ASRudX4WuOaMDD,diabetes,counterfactual,20,perfect memory,feature contribution,observed per instance,1.0,1.0,2.0,0.5,0.1,nan,nan,0,0.3333569976717676,0.5624991914297969,0.22921318677333202,0.8,1.4663438634488912,0.36449214363767873,0.5037992991617537,0.23278358643711114,0.8,1.745817619774123,1
R_5ASRudX4WuOaMDD,diabetes,counterfactual,20,perfect memory,weighted examples,observed per instance,1.0,0.5,6.0,nan,0.15,0.5,nan,0,0.30655012262974535,0.5483511277934763,0.161451373052967,0.75,1.5192625405078095,0.35690682333044793,0.4740207872156631,0.18783443387655904,0.75,1.9110665625030017,0
